Start AMS reading...
Step 1: Read control type definition data
Read 69 link types from file C:\NEXTA_OpenSource\Software_release\sample_data_sets\2. Importing_Creating_Traffic_Modeling_Data_Sets\3.VISUM_sample_GIS_files\input_link_type.csv
1: node block---
node id,control_type,TAZ,name,x,y
132738588,0,0,,-111.992,40.698,
132738589,0,0,,-111.992,40.698,
132738593,0,0,,-111.968,40.698,
132738596,0,0,,-111.964,40.698,
132738597,0,0,,-111.963,40.698,
132738600,0,0,,-111.959,40.698,
132738601,0,0,,-111.962,40.698,
132738602,0,0,,-111.961,40.698,
132738603,0,0,,-111.992,40.698,
132738604,0,0,,-111.992,40.698,
132738607,0,0,,-111.959,40.698,
132738611,0,0,,-111.993,40.697,
132738612,0,0,,-111.992,40.697,
132738617,0,0,,-111.964,40.697,
132738633,0,0,,-112.002,40.697,
132738634,0,0,,-112.001,40.697,
132738635,0,0,,-111.955,40.697,
132738636,0,0,,-112.000,40.697,
132738637,0,0,,-111.994,40.697,
132738638,0,0,,-111.954,40.697,
132738639,5,0,,-111.996,40.697,
132738640,5,0,,-111.990,40.697,
132738641,0,0,,-111.992,40.697,
132738642,0,0,,-111.993,40.697,
132738643,0,0,,-111.991,40.697,
132738644,5,0,,-111.987,40.697,
132738645,5,0,,-111.981,40.697,
132738647,0,0,,-111.948,40.697,
132738648,0,0,,-111.979,40.697,
132738649,5,0,,-111.977,40.697,
132738651,5,0,,-111.968,40.697,
132738652,0,0,,-111.971,40.697,
132738653,0,0,,-111.964,40.697,
132738654,0,0,,-111.962,40.697,
132738655,0,0,,-111.963,40.697,
132738656,0,0,,-111.959,40.697,
132738657,5,0,3500 S @ 2700 W,-111.958,40.697,
132738658,5,0,,-111.960,40.697,
132738676,0,0,,-111.974,40.696,
132738677,5,0,,-111.974,40.697,
132738678,0,0,,-111.972,40.696,
132738680,0,0,,-111.971,40.696,
132738681,0,0,,-111.970,40.696,
132738682,0,0,,-111.969,40.696,
132738693,0,0,,-111.963,40.695,
132738694,0,0,,-111.964,40.695,
132738696,0,0,,-111.973,40.695,
