timing_plan_name,node_id,QEM_reference_node_id,CycleLength,Offset,up_node_id,dest_node_id,name,turn_type,turn_direction,prohibited_flag,protected_flag,permitted_flag,sim_turn_volume,sim_turn_hourly_volume,sim_turn_percentage,sim_turn_delay_in_second,obs_turn_volume,obs_turn_hourly_volume,obs_turn_percentage,obs_turn_delay_in_second,QEM_TurnVolume,LinkVolume,Lanes,Shared,Width,Storage,StLanes,Grade,Speed,IdealFlow,LostTime,Phase1,PermPhase1,DetectPhase1,EffectiveGreen,Capacity,VOC,Delay,LOS,SatFlowRatePerLaneGroup,GreenStartTime,GreenEndTime,geometry,
ALLDAY,1349, ,0,0,11181,5219, ,Right,NBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,21.1765,1900,4,0,2,0,0,0,0,0, ,0,0,0,"<LineString><coordinates></coordinates></LineString>",,
ALLDAY,1352, ,0,0,5209,6256, ,Through,EBT,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,12,0,0,0,21.1765,1900,4,4,0,0,0,0,0,0, ,0,0,0,"<LineString><coordinates></coordinates></LineString>",,
ALLDAY,1352, ,0,0,5209,11181, ,Left,EBL,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,12,0,0,0,21.1765,1900,4,0,4,0,0,0,0,0, ,0,0,0,"<LineString><coordinates></coordinates></LineString>",,
ALLDAY,1352, ,0,0,5209,11261, ,Right,EBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,21.1765,1900,4,0,4,0,0,0,0,0, ,0,0,0,"<LineString><coordinates></coordinates></LineString>",,
ALLDAY,1352, ,0,0,6256,5209, ,Through,WBT,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,12,0,0,0,21.1765,1900,4,6,0,0,0,0,0,0, ,0,0,0,"<LineString><coordinates></coordinates></LineString>",,
ALLDAY,1352, ,0,0,6256,11181, ,Right,WBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,21.1765,1900,4,0,6,0,0,0,0,0, ,0,0,0,"<LineString><coordinates></coordinates></LineString>",,
ALLDAY,1352, ,0,0,6256,11261, ,Left,WBL,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,12,0,0,0,21.1765,1900,4,0,6,0,0,0,0,0, ,0,0,0,"<LineString><coordinates></coordinates></LineString>",,
ALLDAY,1352, ,0,0,11181,5209, ,Right,SWR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,21.1765,1900,4,0,6,0,0,0,0,0, ,0,0,0,"<LineString><coordinates></coordinates></LineString>",,
ALLDAY,1352, ,0,0,11181,6256, ,Left,SWL,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,12,0,0,0,21.1765,1900,4,0,6,0,0,0,0,0, ,0,0,0,"<LineString><coordinates></coordinates></LineString>",,
ALLDAY,1352, ,0,0,11181,11261, ,Through,SWT,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,12,0,0,0,21.1765,1900,4,6,0,0,0,0,0,0, ,0,0,0,"<LineString><coordinates></coordinates></LineString>",,
ALLDAY,1352, ,0,0,11261,5209, ,Left,NBL,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,12,0,0,0,21.1765,1900,4,0,2,0,0,0,0,0, ,0,0,0,"<LineString><coordinates></coordinates></LineString>",,
ALLDAY,1352, ,0,0,11261,6256, ,Right,NBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,21.1765,1900,4,0,2,0,0,0,0,0, ,0,0,0,"<LineString><coordinates></coordinates></LineString>",,
