timing_plan_name,node_id,QEM_reference_node_id,CycleLength,Offset,up_node_id,dest_node_id,name,turn_type,turn_direction,prohibited_flag,protected_flag,permitted_flag,sim_turn_volume,sim_turn_hourly_volume,sim_turn_percentage,sim_turn_delay_in_second,obs_turn_volume,obs_turn_hourly_volume,obs_turn_percentage,obs_turn_delay_in_second,QEM_TurnVolume,LinkVolume,Lanes,Shared,Width,Storage,StLanes,Grade,Speed,IdealFlow,LostTime,Phase1,PermPhase1,DetectPhase1,EffectiveGreen,Capacity,VOC,Delay,LOS,SatFlowRatePerLaneGroup,GreenStartTime,GreenEndTime,geometry,
ALLDAY,1349, ,0,0,5219,11181, ,Left,WBL,0,0,0,163,27.1667,86.7021,0.00647455,0,0,0,0,27,0,7,0,12,0,0,0,21.1765,1900,4,6,0,0,0,0,0,0, ,0,0,0,"<LineString><coordinates></coordinates></LineString>",,
ALLDAY,1349, ,0,0,11181,5210, ,Left,NBL,0,0,0,31,5.16667,15.4229,0.00736707,0,0,0,0,5,0,7,0,12,0,0,0,21.1765,1900,4,2,0,0,0,0,0,0, ,0,0,0,"<LineString><coordinates></coordinates></LineString>",,
ALLDAY,1349, ,0,0,11181,5219, ,Right,NBR,0,0,0,170,28.3333,84.5771,0.00736709,0,0,0,0,28,0,0,0,12,0,0,0,21.1765,1900,4,2,0,0,0,0,0,0, ,0,0,0,"<LineString><coordinates></coordinates></LineString>",,
ALLDAY,1352, ,0,0,5209,6256, ,Through,EBT,0,0,0,35,5.83333,28.9256,0.0059796,0,0,0,0,5,0,7,0,12,0,0,0,21.1765,1900,4,4,0,0,0,0,0,0, ,0,0,0,"<LineString><coordinates></coordinates></LineString>",,
ALLDAY,1352, ,0,0,5209,11181, ,Left,EBL,0,0,0,71,11.8333,58.6777,0.00599154,0,0,0,0,11,0,7,0,12,0,0,0,21.1765,1900,4,4,0,0,0,0,0,0, ,0,0,0,"<LineString><coordinates></coordinates></LineString>",,
ALLDAY,1352, ,0,0,5209,11261, ,Right,EBR,0,0,0,15,2.5,12.3967,0.00598076,0,0,0,0,2,0,0,0,12,0,0,0,21.1765,1900,4,4,0,0,0,0,0,0, ,0,0,0,"<LineString><coordinates></coordinates></LineString>",,
ALLDAY,1352, ,0,0,6256,5209, ,Through,WBT,0,0,0,88,14.6667,66.6667,0.00925304,0,0,0,0,14,0,7,0,12,0,0,0,21.1765,1900,4,6,0,0,0,0,0,0, ,0,0,0,"<LineString><coordinates></coordinates></LineString>",,
ALLDAY,1352, ,0,0,6256,11181, ,Right,WBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,21.1765,1900,4,6,0,0,0,0,0,0, ,0,0,0,"<LineString><coordinates></coordinates></LineString>",,
ALLDAY,1352, ,0,0,6256,11261, ,Left,WBL,0,0,0,44,7.33333,33.3333,0.0124321,0,0,0,0,7,0,7,0,12,0,0,0,21.1765,1900,4,6,0,0,0,0,0,0, ,0,0,0,"<LineString><coordinates></coordinates></LineString>",,
ALLDAY,1352, ,0,0,11181,5209, ,Right,SBR,0,0,0,114,19,47.8992,0.00941765,0,0,0,0,19,0,0,0,12,0,0,0,21.1765,1900,4,8,0,0,0,0,0,0, ,0,0,0,"<LineString><coordinates></coordinates></LineString>",,
ALLDAY,1352, ,0,0,11181,6256, ,Left,SBL,0,0,0,17,2.83333,7.14286,0.00941765,0,0,0,0,2,0,7,0,12,0,0,0,21.1765,1900,4,8,0,0,0,0,0,0, ,0,0,0,"<LineString><coordinates></coordinates></LineString>",,
ALLDAY,1352, ,0,0,11181,11261, ,Through,SBT,0,0,0,107,17.8333,44.958,0.00941879,0,0,0,0,17,0,7,0,12,0,0,0,21.1765,1900,4,8,0,0,0,0,0,0, ,0,0,0,"<LineString><coordinates></coordinates></LineString>",,
ALLDAY,1352, ,0,0,11261,5209, ,Left,NBL,0,0,0,5,0.833333,0.821018,0.00918548,0,0,0,0,0,0,7,0,12,0,0,0,21.1765,1900,4,2,0,0,0,0,0,0, ,0,0,0,"<LineString><coordinates></coordinates></LineString>",,
ALLDAY,1352, ,0,0,11261,6256, ,Right,NBR,0,0,0,385,64.1667,63.2184,0.00917364,0,0,0,0,64,0,0,0,12,0,0,0,21.1765,1900,4,2,0,0,0,0,0,0, ,0,0,0,"<LineString><coordinates></coordinates></LineString>",,
ALLDAY,1352, ,0,0,11261,11181, ,Through,NBT,0,0,0,219,36.5,35.9606,0.00917801,0,0,0,0,36,0,7,0,12,0,0,0,21.1765,1900,4,2,0,0,0,0,0,0, ,0,0,0,"<LineString><coordinates></coordinates></LineString>",,
ALLDAY,1353, ,0,0,5589,11172, ,Right,SBR,0,0,0,27,4.5,24.7706,0.00610554,0,0,0,0,4,0,0,0,12,0,0,0,21.1765,1900,4,8,0,0,0,0,0,0, ,0,0,0,"<LineString><coordinates></coordinates></LineString>",,
