RECORDNAME,INTID,NBL2,NBL,NBT,NBR,NBR2,SBL2,SBL,SBT,SBR,SBR2,EBL2,EBL,EBT,EBR,EBR2,WBL2,WBL,WBT,WBR,WBR2,NEL,NET,NER,NWL,NWT,NWR,SEL,SET,SER,SWL,SWT,SWR,PED,HOLD,
Speed,1299,,,21.1765,,,,,,,,,,,,,,,,,,,,,,,,,21.1765,,,,,,,
Up Node,1314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dest Node,1314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StreetName,1314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TurnVolume,1314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lanes,1314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shared,1314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Width,1314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Storage,1314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StLanes,1314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grade,1314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Speed,1314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Up Node,1316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dest Node,1316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StreetName,1316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TurnVolume,1316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lanes,1316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shared,1316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Width,1316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Storage,1316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StLanes,1316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grade,1316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Speed,1316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Up Node,1318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dest Node,1318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StreetName,1318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TurnVolume,1318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lanes,1318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shared,1318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Width,1318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Storage,1318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StLanes,1318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grade,1318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Speed,1318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Up Node,1319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dest Node,1319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StreetName,1319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TurnVolume,1319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lanes,1319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shared,1319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Width,1319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Storage,1319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StLanes,1319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grade,1319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Speed,1319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Up Node,1320,,,,,,,,5820,,,,,11148,,,,,,,,,,,,,,,,,,,,,,
Dest Node,1320,,,,,,,,11148,,,,,5820,,,,,,,,,,,,,,,,,,,,,,
StreetName,1320,,,,,,,,Cent,,,,,Cent,,,,,,,,,,,,,,,,,,,,,,
TurnVolume,1320,,,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Lanes,1320,,,,,,,,7,,,,,7,,,,,,,,,,,,,,,,,,,,,,
Shared,1320,,,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Width,1320,,,,,,,,12,,,,,12,,,,,,,,,,,,,,,,,,,,,,
Storage,1320,,,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,
StLanes,1320,,,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Grade,1320,,,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Speed,1320,,,,,,,,21.1765,,,,,21.1765,,,,,,,,,,,,,,,,,,,,,,
Up Node,1322,,,,5589,,,,,,,,,,,,,11161,,,,,,,,,,,,,,,,,,
Dest Node,1322,,,,11161,,,,,,,,,,,,,5589,,,,,,,,,,,,,,,,,,
StreetName,1322,,,,,,,,,,,,,,,,,Cent,,,,,,,,,,,,,,,,,,
TurnVolume,1322,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
Lanes,1322,,,,0,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,
Shared,1322,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
