Vehicle Selection Mode,--,Network-wide,--
,,10:45_11:00,1956.68
Category,15-min Departure Time Interval,Avg Travel Time (min),
,,05:00_05:15, 6.32
,,05:15_05:30, 7.48
,,05:30_05:45, 8.28
,,05:45_06:00,10.24
,,06:00_06:15,26.26
,,06:15_06:30,71.15
,,06:30_06:45,136.98
,,06:45_07:00,212.18
,,07:00_07:15,266.74
,,07:15_07:30,311.42
,,07:30_07:45,314.95
,,07:45_08:00,314.54
,,08:00_08:15,314.91
,,08:15_08:30,308.03
,,08:30_08:45,299.18
,,08:45_09:00,289.04
,,09:00_09:15,288.73
,,09:15_09:30,276.28
,,09:30_09:45,267.21
,,09:45_10:00,255.53
,,10:00_10:15,231.82
,,10:15_10:30,202.27
,,10:30_10:45,189.55
,,10:45_11:00,177.35
Category,15-min Departure Time Interval,Avg Travel Distance (mile),
,,05:00_05:15, 2.99
,,05:15_05:30, 2.99
,,05:30_05:45, 2.99
,,05:45_06:00, 2.98
,,06:00_06:15, 2.98
,,06:15_06:30, 2.98
,,06:30_06:45, 2.94
,,06:45_07:00, 2.83
,,07:00_07:15, 2.74
,,07:15_07:30, 2.55
,,07:30_07:45, 2.41
,,07:45_08:00, 2.25
,,08:00_08:15, 2.15
,,08:15_08:30, 2.14
,,08:30_08:45, 2.15
,,08:45_09:00, 2.16
,,09:00_09:15, 2.21
,,09:15_09:30, 2.26
,,09:30_09:45, 2.23
,,09:45_10:00, 2.13
,,10:00_10:15, 2.21
,,10:15_10:30, 2.24
,,10:30_10:45, 2.24
,,10:45_11:00, 2.24
Category,15-min Departure Time Interval,Avg Speed (mile/hour),
,,05:00_05:15,28.35
,,05:15_05:30,23.96
,,05:30_05:45,21.70
,,05:45_06:00,17.46
,,06:00_06:15, 6.82
,,06:15_06:30, 2.51
,,06:30_06:45, 1.29
,,06:45_07:00, 0.80
,,07:00_07:15, 0.62
,,07:15_07:30, 0.49
,,07:30_07:45, 0.46
,,07:45_08:00, 0.43
,,08:00_08:15, 0.41
,,08:15_08:30, 0.42
,,08:30_08:45, 0.43
,,08:45_09:00, 0.45
,,09:00_09:15, 0.46
,,09:15_09:30, 0.49
,,09:30_09:45, 0.50
,,09:45_10:00, 0.50
,,10:00_10:15, 0.57
,,10:15_10:30, 0.66
,,10:30_10:45, 0.71
,,10:45_11:00, 0.76
Category,15-min Departure Time Interval,Avg Travel Time Per Mile (min/mile),
,,05:00_05:15, 2.12
,,05:15_05:30, 2.49
,,05:30_05:45, 2.78
,,05:45_06:00, 3.33
,,06:00_06:15, 8.68
,,06:15_06:30,23.96
,,06:30_06:45,47.09
,,06:45_07:00,82.10
,,07:00_07:15,122.95
,,07:15_07:30,175.56
,,07:30_07:45,195.10
,,07:45_08:00,212.87
,,08:00_08:15,230.70
,,08:15_08:30,223.38
,,08:30_08:45,210.66
,,08:45_09:00,199.33
,,09:00_09:15,188.69
,,09:15_09:30,160.45
,,09:30_09:45,161.20
,,09:45_10:00,159.24
,,10:00_10:15,141.13
,,10:15_10:30,119.66
,,10:30_10:45,112.42
,,10:45_11:00,104.35
Category,15-min Departure Time Interval,Travel Time Index: mean/FFTT,
,,05:00_05:15, 1.19
,,05:15_05:30, 1.40
,,05:30_05:45, 1.54
,,05:45_06:00, 1.91
,,06:00_06:15, 4.88
,,06:15_06:30,13.15
,,06:30_06:45,25.14
,,06:45_07:00,40.46
,,07:00_07:15,51.34
,,07:15_07:30,63.56
,,07:30_07:45,67.95
,,07:45_08:00,72.34
,,08:00_08:15,76.01
,,08:15_08:30,74.88
,,08:30_08:45,71.11
,,08:45_09:00,67.58
,,09:00_09:15,66.01
,,09:15_09:30,62.20
,,09:30_09:45,60.81
,,09:45_10:00,60.57
,,10:00_10:15,53.22
,,10:15_10:30,45.52
,,10:30_10:45,42.64
,,10:45_11:00,39.87
Category,15-min Departure Time Interval,Avg Travel Time STD (min),
,,05:00_05:15, 3.80
,,05:15_05:30, 4.82
,,05:30_05:45, 5.76
,,05:45_06:00, 9.35
,,06:00_06:15,50.88
,,06:15_06:30,116.13
,,06:30_06:45,163.47
,,06:45_07:00,182.50
,,07:00_07:15,178.38
,,07:15_07:30,158.36
,,07:30_07:45,153.88
,,07:45_08:00,148.13
,,08:00_08:15,127.14
,,08:15_08:30,119.36
,,08:30_08:45,110.36
,,08:45_09:00,99.73
,,09:00_09:15,74.26
,,09:15_09:30,72.99
,,09:30_09:45,74.24
,,09:45_10:00,78.50
,,10:00_10:15,74.29
,,10:15_10:30,64.06
,,10:30_10:45,63.74
,,10:45_11:00,60.64
Category,15-min Departure Time Interval,95th Percentile Travel Time (min),
,,05:00_05:15,12.97
,,05:15_05:30,16.16
,,05:30_05:45,19.23
,,05:45_06:00,28.15
,,06:00_06:15,69.17
,,06:15_06:30,403.64
,,06:30_06:45,469.21
,,06:45_07:00,490.65
,,07:00_07:15,502.68
,,07:15_07:30,496.70
,,07:30_07:45,483.42
,,07:45_08:00,475.31
,,08:00_08:15,459.77
,,08:15_08:30,442.06
,,08:30_08:45,430.94
,,08:45_09:00,418.67
,,09:00_09:15,396.74
,,09:15_09:30,380.74
,,09:30_09:45,363.04
,,09:45_10:00,359.15
,,10:00_10:15,350.09
,,10:15_10:30,327.71
,,10:30_10:45,310.72
