Vehicle Selection Mode,--,Network-wide,--
,,0.4_0.6,1824.23
,,0.6_0.8,2052.36
,,0.8_1.0,5592.92
,,1.0_1.2,2487.45
,,1.2_1.4,5223.50
,,1.4_1.6,4662.43
,,1.6_1.8,3391.84
,,1.8_2.0,3418.40
,,2.0_2.2,14048.03
,,2.2_2.4,7793.74
,,2.4_2.6,7564.16
,,2.6_2.8,6696.12
,,2.8_3.0,4932.50
,,3.0_3.2,5403.85
,,3.2_3.4,3702.71
,,3.4_3.6,3770.51
,,3.6_3.8,5227.01
,,3.8_4.0,4380.33
,,4.0_4.2,6307.07
,,4.2_4.4,10425.55
,,4.4_4.6,6762.54
,,4.6_4.8,3580.18
,,4.8_5.0,5685.56
,,5.0_5.2,11820.53
,,5.2_5.4,5353.01
,,5.4_5.6,4050.62
,,5.6_5.8,1291.96
,,5.8_6.0,4364.56
,,6.0_6.2,1563.32
,,6.2_6.4,2516.92
,,6.4_6.6,1721.61
,,6.6_6.8,1415.10
,,6.8_7.0,2354.32
,,7.0_7.2,558.52
,,7.2_7.4,445.13
,,7.4_7.6,330.17
,,7.6_7.8,491.43
,,7.8_8.0,331.72
,,8.0_8.2,430.08
,,8.2_8.4,216.76
,,8.4_8.6,314.92
,,8.6_8.8,287.23
,,8.8_9.0,133.37
,,9.0_9.2,145.48
,,9.2_9.4,111.62
,,9.4_9.6,66.53
,,9.6_9.8,77.50
,,9.8_10.0,29.74
,,10.0_10.2,60.48
,,10.4_10.6,31.38
,,10.6_10.8,32.10
,,10.8_11.0,10.91
,,11.0_11.2,22.18
Category,Distance Bin (1 ml Interval),Number of Vehicles,
,,0_1,12673.00
,,1_2,13111.00
,,2_3,17344.00
,,3_4,6479.00
,,4_5,7388.00
,,5_6,5007.00
,,6_7,1476.00
,,7_8,290.00
,,8_9,164.00
,,9_10,46.00
,,10_11,13.00
,,11_12, 2.00
Category,Distance Bin (1 ml Interval),Cumulative Number of Vehicles,
,,0_1,12673.00
,,1_2,25784.00
,,2_3,43128.00
,,3_4,49607.00
,,4_5,56995.00
,,5_6,62002.00
,,6_7,63478.00
,,7_8,63768.00
,,8_9,63932.00
,,9_10,63978.00
,,10_11,63991.00
,,11_12,63993.00
Category,Distance Bin (1 ml Interval),Total Travel Time (min),
,,0_1,2314662.00
,,1_2,2409376.00
,,2_3,3582281.00
,,3_4,1438705.63
,,4_5,1720698.00
,,5_6,1059423.25
,,6_7,343673.16
,,7_8,93477.53
,,8_9,63112.00
,,9_10,14002.62
,,10_11,5086.84
,,11_12,773.52
Category,Distance Bin (1 ml Interval),Total Travel Distance (mile),
,,0_1,9536.80
,,1_2,19183.46
,,2_3,41035.56
,,3_4,22484.45
,,4_5,32760.54
,,5_6,26880.97
,,6_7,9571.27
,,7_8,2156.97
,,8_9,1382.36
,,9_10,430.87
,,10_11,134.88
,,11_12,22.18
Category,Distance Bin (1 ml Interval),Avg Travel Time (min),
,,0_1,182.65
,,1_2,183.77
,,2_3,206.54
,,3_4,222.06
,,4_5,232.90
,,5_6,211.59
,,6_7,232.84
,,7_8,322.34
,,8_9,384.83
,,9_10,304.40
,,10_11,391.30
,,11_12,386.76
Category,Distance Bin (1 ml Interval),Avg Travel Distance (mile),
,,0_1, 0.75
,,1_2, 1.46
,,2_3, 2.37
,,3_4, 3.47
,,4_5, 4.43
,,5_6, 5.37
,,6_7, 6.48
,,7_8, 7.44
,,8_9, 8.43
,,9_10, 9.37
,,10_11,10.38
,,11_12,11.09
Category,Distance Bin (1 ml Interval),Avg Speed (mile/hour),
,,0_1, 0.25
,,1_2, 0.48
,,2_3, 0.69
,,3_4, 0.94
,,4_5, 1.14
,,5_6, 1.52
,,6_7, 1.67
,,7_8, 1.38
,,8_9, 1.31
,,9_10, 1.85
,,10_11, 1.59
,,11_12, 1.72
Category,Distance Bin (1 ml Interval),Avg Travel Time Per Mile (min/mile),
,,0_1,259.55
,,1_2,127.82
,,2_3,88.22
,,3_4,64.32
,,4_5,52.62
,,5_6,39.65
,,6_7,36.23
,,7_8,43.30
,,8_9,45.70
,,9_10,32.60
,,10_11,37.79
,,11_12,34.89
Category,Distance Bin (1 ml Interval),Travel Time Index: mean/FFTT,
,,0_1,122.13
,,1_2,68.36
,,2_3,47.85
,,3_4,34.36
,,4_5,25.80
,,5_6,22.11
,,6_7,19.42
,,7_8,20.94
,,8_9,21.89
,,9_10,15.35
,,10_11,17.98
,,11_12,17.12
Category,Distance Bin (1 ml Interval),Avg Travel Time STD (min),
,,0_1,159.41
,,1_2,156.53
,,2_3,171.89
,,3_4,166.98
,,4_5,182.22
,,5_6,196.31
,,6_7,191.36
,,7_8,161.09
,,8_9,125.57
,,9_10,150.14
,,10_11,107.35
,,11_12,12.95
Category,Distance Bin (1 ml Interval),95th Percentile Travel Time (min),
,,0_1,422.40
,,1_2,431.93
,,2_3,462.26
,,3_4,465.50
,,4_5,477.07
,,5_6,508.01
,,6_7,479.24
,,7_8,490.75
,,8_9,487.20
,,9_10,509.93
,,10_11,493.50
,,11_12,399.71
Category,Distance Bin (1 ml Interval),90th Percentile Travel Time (min),
,,0_1,395.01
,,1_2,398.72
,,2_3,428.10
,,3_4,424.81
,,4_5,455.19
,,5_6,486.67
,,6_7,464.60
,,7_8,469.01
,,8_9,479.34
,,9_10,500.16
,,10_11,464.73
,,11_12,399.71
Category,Distance Bin (1 ml Interval),80th Percentile Travel Time (min),
,,0_1,349.30
,,1_2,348.92
,,2_3,371.72
,,3_4,381.86
,,4_5,421.51
,,5_6,433.08
,,6_7,437.70
,,7_8,449.03
,,8_9,469.46
,,9_10,431.92
,,10_11,449.06
,,11_12,399.71
Category,Distance Bin (1 ml Interval),Planning Time Index: 95th percentile/FFTT,
,,0_1,282.45
,,1_2,160.68
,,2_3,107.10
,,3_4,72.03
,,4_5,52.85
,,5_6,53.09
,,6_7,39.97
,,7_8,31.88
,,8_9,27.71
,,9_10,25.72
,,10_11,22.67
,,11_12,17.69
Category,Distance Bin (1 ml Interval),Buffer Index: (95th percentile - mean)/mean,
,,0_1, 1.31
,,1_2, 1.35
,,2_3, 1.24
,,3_4, 1.10
,,4_5, 1.05
,,5_6, 1.40
,,6_7, 1.06
,,7_8, 0.52
,,8_9, 0.27
,,9_10, 0.68
,,10_11, 0.26
,,11_12, 0.03
Category,Distance Bin (1 ml Interval),Skew Index: (90th %ile-median)/(median-10th %ile),
,,0_1, 1.28
,,1_2, 1.22
,,2_3, 0.83
,,3_4, 0.61
,,4_5, 0.59
,,5_6, 4.48
,,6_7, 0.63
,,7_8, 0.23
,,8_9, 0.13
,,9_10, 0.59
,,10_11, 0.46
Category,Distance Bin (1 ml Interval),Travel Time Per Mile STD (min/mile),
,,0_1,244.60
,,1_2,111.46
,,2_3,74.54
,,3_4,48.77
,,4_5,41.37
,,5_6,37.00
,,6_7,29.94
,,7_8,21.72
,,8_9,15.03
,,9_10,16.14
,,10_11,10.52
,,11_12, 1.25
Category,Distance Bin (1 ml Interval),95th Percentile Travel Time Per Mile (min/mile),
,,0_1,688.20
,,1_2,317.74
,,2_3,206.25
,,3_4,136.60
,,4_5,108.83
,,5_6,97.27
,,6_7,75.70
,,7_8,66.11
,,8_9,58.63
,,9_10,54.18
,,10_11,48.40
,,11_12,36.13
Category,Distance Bin (1 ml Interval),90th Percentile Travel Time Per Mile (min/mile),
,,0_1,634.20
,,1_2,285.72
,,2_3,185.93
,,3_4,123.37
,,4_5,103.52
,,5_6,91.97
,,6_7,73.04
,,7_8,63.63
,,8_9,56.91
,,9_10,52.89
,,10_11,46.45
,,11_12,36.13
Category,Distance Bin (1 ml Interval),80th Percentile Travel Time Per Mile (min/mile),
,,0_1,529.25
,,1_2,237.72
,,2_3,160.18
,,3_4,109.49
,,4_5,95.58
,,5_6,80.90
,,6_7,67.91
,,7_8,59.93
,,8_9,56.00
,,9_10,47.17
,,10_11,44.87
,,11_12,36.13
Category,Distance Bin (1 ml Interval),Total Generalized Time:TT+Toll/VOT (min),
,,0_1,2314662.00
,,1_2,2409376.00
,,2_3,3582281.00
,,3_4,1438705.63
,,4_5,1720698.00
,,5_6,1059423.25
,,6_7,343673.16
,,7_8,93477.53
,,8_9,63112.00
,,9_10,14002.62
,,10_11,5086.84
,,11_12,773.52
Category,Distance Bin (1 ml Interval),Avg Generalized Travel Time:TT+Toll/VOT (min),
,,0_1,182.65
,,1_2,183.77
,,2_3,206.54
,,3_4,222.06
,,4_5,232.90
,,5_6,211.59
,,6_7,232.84
,,7_8,322.34
,,8_9,384.83
,,9_10,304.40
,,10_11,391.30
,,11_12,386.76
Category,Distance Bin (1 ml Interval),Avg Miles per Gallon,
,,0_1,9536.80
,,1_2,19183.46
,,2_3,41035.56
,,3_4,22484.45
,,4_5,32760.54
,,5_6,26880.97
,,6_7,9571.27
,,7_8,2156.97
,,8_9,1382.36
,,9_10,430.87
,,10_11,134.88
,,11_12,22.18
Category,Distance Bin (2 ml Interval),Number of Vehicles,
,,0_2,25784.00
,,2_4,23823.00
,,4_6,12395.00
,,6_8,1766.00
,,8_10,210.00
,,10_12,15.00
Category,Distance Bin (2 ml Interval),Cumulative Number of Vehicles,
,,0_2,25784.00
,,2_4,49607.00
,,4_6,62002.00
,,6_8,63768.00
,,8_10,63978.00
,,10_12,63993.00
Category,Distance Bin (2 ml Interval),Total Travel Time (min),
,,0_2,4724043.00
,,2_4,5020987.00
,,4_6,2780118.50
,,6_8,437150.88
,,8_10,77114.62
,,10_12,5860.36
Category,Distance Bin (2 ml Interval),Total Travel Distance (mile),
,,0_2,28719.78
,,2_4,63518.74
,,4_6,59642.14
,,6_8,11728.24
,,8_10,1813.23
,,10_12,157.05
Category,Distance Bin (2 ml Interval),Avg Travel Time (min),
,,0_2,183.22
,,2_4,210.76
,,4_6,224.29
,,6_8,247.54
,,8_10,367.21
,,10_12,390.69
Category,Distance Bin (2 ml Interval),Avg Travel Distance (mile),
,,0_2, 1.11
,,2_4, 2.67
,,4_6, 4.81
,,6_8, 6.64
,,8_10, 8.63
,,10_12,10.47
Category,Distance Bin (2 ml Interval),Avg Speed (mile/hour),
,,0_2, 0.36
,,2_4, 0.76
,,4_6, 1.29
,,6_8, 1.61
,,8_10, 1.41
,,10_12, 1.61
Category,Distance Bin (2 ml Interval),Avg Travel Time Per Mile (min/mile),
,,0_2,192.56
,,2_4,81.72
,,4_6,47.38
,,6_8,37.39
,,8_10,42.83
,,10_12,37.40
Category,Distance Bin (2 ml Interval),Travel Time Index: mean/FFTT,
,,0_2,87.17
,,2_4,43.01
,,4_6,24.26
,,6_8,19.72
,,8_10,20.32
,,10_12,17.86
Category,Distance Bin (2 ml Interval),Avg Travel Time STD (min),
,,0_2,157.95
,,2_4,170.71
,,4_6,188.33
,,6_8,189.65
,,8_10,135.49
,,10_12,100.07
Category,Distance Bin (2 ml Interval),95th Percentile Travel Time (min),
,,0_2,427.08
,,2_4,463.28
,,4_6,491.20
,,6_8,480.55
,,8_10,488.70
,,10_12,493.50
Category,Distance Bin (2 ml Interval),90th Percentile Travel Time (min),
,,0_2,396.61
,,2_4,427.44
,,4_6,466.85
,,6_8,466.01
,,8_10,480.35
,,10_12,464.73
Category,Distance Bin (2 ml Interval),80th Percentile Travel Time (min),
,,0_2,349.08
,,2_4,375.47
,,4_6,424.03
,,6_8,439.43
,,8_10,466.92
,,10_12,449.06
Category,Distance Bin (2 ml Interval),Planning Time Index: 95th percentile/FFTT,
,,0_2,203.18
,,2_4,94.54
,,4_6,53.13
,,6_8,38.29
,,8_10,27.04
,,10_12,22.56
Category,Distance Bin (2 ml Interval),Buffer Index: (95th percentile - mean)/mean,
,,0_2, 1.33
,,2_4, 1.20
,,4_6, 1.19
,,6_8, 0.94
,,8_10, 0.33
,,10_12, 0.26
Category,Distance Bin (2 ml Interval),Skew Index: (90th %ile-median)/(median-10th %ile),
,,0_2, 1.25
,,2_4, 0.75
,,4_6, 0.89
,,6_8, 0.41
,,8_10, 0.16
,,10_12, 1.43
Category,Distance Bin (2 ml Interval),Travel Time Per Mile STD (min/mile),
,,0_2,200.15
,,2_4,69.32
,,4_6,40.17
,,6_8,28.87
,,8_10,16.21
,,10_12, 9.85
Category,Distance Bin (2 ml Interval),95th Percentile Travel Time Per Mile (min/mile),
,,0_2,632.11
,,2_4,198.21
,,4_6,105.01
,,6_8,74.74
,,8_10,58.42
,,10_12,48.40
Category,Distance Bin (2 ml Interval),90th Percentile Travel Time Per Mile (min/mile),
,,0_2,525.01
,,2_4,175.40
,,4_6,99.35
,,6_8,72.21
,,8_10,56.71
,,10_12,46.45
Category,Distance Bin (2 ml Interval),80th Percentile Travel Time Per Mile (min/mile),
,,0_2,335.79
,,2_4,146.93
,,4_6,90.06
,,6_8,66.08
,,8_10,55.48
,,10_12,44.87
Category,Distance Bin (2 ml Interval),Total Generalized Time:TT+Toll/VOT (min),
,,0_2,4724043.00
,,2_4,5020987.00
,,4_6,2780118.50
,,6_8,437150.88
,,8_10,77114.62
,,10_12,5860.36
Category,Distance Bin (2 ml Interval),Avg Generalized Travel Time:TT+Toll/VOT (min),
,,0_2,183.22
,,2_4,210.76
,,4_6,224.29
,,6_8,247.54
,,8_10,367.21
,,10_12,390.69
Category,Distance Bin (2 ml Interval),Avg Miles per Gallon,
,,0_2,28719.78
,,2_4,63518.74
,,4_6,59642.14
,,6_8,11728.24
,,8_10,1813.23
,,10_12,157.05
Category,Distance Bin (5 ml Interval),Number of Vehicles,
,,0_5,56995.00
,,5_10,6983.00
,,10_15,15.00
Category,Distance Bin (5 ml Interval),Cumulative Number of Vehicles,
,,0_5,56995.00
,,5_10,63978.00
,,10_15,63993.00
Category,Distance Bin (5 ml Interval),Total Travel Time (min),
,,0_5,11465681.00
,,5_10,1573688.38
,,10_15,5860.36
Category,Distance Bin (5 ml Interval),Total Travel Distance (mile),
,,0_5,124995.77
,,5_10,40422.44
,,10_15,157.05
Category,Distance Bin (5 ml Interval),Avg Travel Time (min),
,,0_5,201.17
,,5_10,225.36
,,10_15,390.69
Category,Distance Bin (5 ml Interval),Avg Travel Distance (mile),
,,0_5, 2.19
,,5_10, 5.79
,,10_15,10.47
Category,Distance Bin (5 ml Interval),Avg Speed (mile/hour),
,,0_5, 0.65
,,5_10, 1.54
,,10_15, 1.61
Category,Distance Bin (5 ml Interval),Avg Travel Time Per Mile (min/mile),
,,0_5,128.09
,,5_10,39.17
,,10_15,37.40
Category,Distance Bin (5 ml Interval),Travel Time Index: mean/FFTT,
,,0_5,48.25
,,5_10,21.30
,,10_15,17.86
Category,Distance Bin (5 ml Interval),Avg Travel Time STD (min),
,,0_5,167.59
,,5_10,195.31
,,10_15,100.07
Category,Distance Bin (5 ml Interval),95th Percentile Travel Time (min),
,,0_5,452.52
,,5_10,501.20
,,10_15,493.50
Category,Distance Bin (5 ml Interval),90th Percentile Travel Time (min),
,,0_5,420.70
,,5_10,479.28
,,10_15,464.73
Category,Distance Bin (5 ml Interval),80th Percentile Travel Time (min),
,,0_5,369.51
,,5_10,438.92
,,10_15,449.06
Category,Distance Bin (5 ml Interval),Planning Time Index: 95th percentile/FFTT,
,,0_5,108.55
,,5_10,47.38
,,10_15,22.56
Category,Distance Bin (5 ml Interval),Buffer Index: (95th percentile - mean)/mean,
,,0_5, 1.25
,,5_10, 1.22
,,10_15, 0.26
Category,Distance Bin (5 ml Interval),Skew Index: (90th %ile-median)/(median-10th %ile),
,,0_5, 1.02
,,5_10, 1.30
,,10_15, 1.43
Category,Distance Bin (5 ml Interval),Travel Time Per Mile STD (min/mile),
,,0_5,154.50
,,5_10,34.66
,,10_15, 9.85
Category,Distance Bin (5 ml Interval),95th Percentile Travel Time Per Mile (min/mile),
,,0_5,501.05
,,5_10,94.88
,,10_15,48.40
Category,Distance Bin (5 ml Interval),90th Percentile Travel Time Per Mile (min/mile),
,,0_5,315.35
,,5_10,88.28
,,10_15,46.45
Category,Distance Bin (5 ml Interval),80th Percentile Travel Time Per Mile (min/mile),
,,0_5,199.94
,,5_10,74.36
,,10_15,44.87
Category,Distance Bin (5 ml Interval),Total Generalized Time:TT+Toll/VOT (min),
,,0_5,11465681.00
,,5_10,1573688.38
,,10_15,5860.36
Category,Distance Bin (5 ml Interval),Avg Generalized Travel Time:TT+Toll/VOT (min),
,,0_5,201.17
,,5_10,225.36
,,10_15,390.69
Category,Distance Bin (5 ml Interval),Avg Miles per Gallon,
,,0_5,124995.77
,,5_10,40422.44
,,10_15,157.05
Category,Distance Bin (10 ml Interval),Number of Vehicles,
,,0_10,63978.00
,,10_20,15.00
Category,Distance Bin (10 ml Interval),Cumulative Number of Vehicles,
,,0_10,63978.00
,,10_20,63993.00
Category,Distance Bin (10 ml Interval),Total Travel Time (min),
,,0_10,13039331.00
,,10_20,5860.36
Category,Distance Bin (10 ml Interval),Total Travel Distance (mile),
,,0_10,165421.56
,,10_20,157.05
Category,Distance Bin (10 ml Interval),Avg Travel Time (min),
,,0_10,203.81
,,10_20,390.69
Category,Distance Bin (10 ml Interval),Avg Travel Distance (mile),
,,0_10, 2.59
,,10_20,10.47
Category,Distance Bin (10 ml Interval),Avg Speed (mile/hour),
,,0_10, 0.76
,,10_20, 1.61
Category,Distance Bin (10 ml Interval),Avg Travel Time Per Mile (min/mile),
,,0_10,118.39
,,10_20,37.40
Category,Distance Bin (10 ml Interval),Travel Time Index: mean/FFTT,
,,0_10,41.86
,,10_20,17.86
Category,Distance Bin (10 ml Interval),Avg Travel Time STD (min),
,,0_10,171.00
,,10_20,100.07
Category,Distance Bin (10 ml Interval),95th Percentile Travel Time (min),
,,0_10,462.79
,,10_20,493.50
Category,Distance Bin (10 ml Interval),90th Percentile Travel Time (min),
,,0_10,428.81
,,10_20,464.73
Category,Distance Bin (10 ml Interval),80th Percentile Travel Time (min),
,,0_10,376.96
,,10_20,449.06
Category,Distance Bin (10 ml Interval),Planning Time Index: 95th percentile/FFTT,
,,0_10,95.06
,,10_20,22.56
Category,Distance Bin (10 ml Interval),Buffer Index: (95th percentile - mean)/mean,
,,0_10, 1.27
,,10_20, 0.26
Category,Distance Bin (10 ml Interval),Skew Index: (90th %ile-median)/(median-10th %ile),
,,0_10, 1.06
,,10_20, 1.43
Category,Distance Bin (10 ml Interval),Travel Time Per Mile STD (min/mile),
,,0_10,148.88
,,10_20, 9.85
Category,Distance Bin (10 ml Interval),95th Percentile Travel Time Per Mile (min/mile),
,,0_10,466.40
,,10_20,48.40
Category,Distance Bin (10 ml Interval),90th Percentile Travel Time Per Mile (min/mile),
,,0_10,295.92
,,10_20,46.45
Category,Distance Bin (10 ml Interval),80th Percentile Travel Time Per Mile (min/mile),
,,0_10,186.45
,,10_20,44.87
Category,Distance Bin (10 ml Interval),Total Generalized Time:TT+Toll/VOT (min),
,,0_10,13039331.00
,,10_20,5860.36
Category,Distance Bin (10 ml Interval),Avg Generalized Travel Time:TT+Toll/VOT (min),
,,0_10,203.81
,,10_20,390.69
Category,Distance Bin (10 ml Interval),Avg Miles per Gallon,
,,0_10,165421.56
,,10_20,157.05
Category,Travel Time Bin (2 min Interval),Number of Vehicles,
,,0_2,1281.00
,,2_4,2774.00
,,4_6,2865.00
,,6_8,1903.00
,,8_10,1679.00
,,10_12,1975.00
,,12_14,1217.00
,,14_16,1042.00
,,16_18,828.00
,,18_20,660.00
,,20_22,946.00
,,22_24,665.00
,,24_26,564.00
,,26_28,492.00
,,28_30,516.00
,,30_32,448.00
,,32_34,440.00
,,34_36,403.00
,,36_38,341.00
,,38_40,347.00
,,40_42,309.00
,,42_44,290.00
,,44_46,252.00
,,46_48,277.00
,,48_50,237.00
,,50_52,223.00
,,52_54,235.00
,,54_56,212.00
,,56_58,222.00
,,58_60,232.00
,,60_62,225.00
,,62_64,222.00
,,64_66,174.00
,,66_68,154.00
,,68_70,165.00
,,70_72,142.00
,,72_74,158.00
,,74_76,146.00
,,76_78,148.00
,,78_80,139.00
,,80_82,147.00
,,82_84,147.00
,,84_86,137.00
,,86_88,138.00
,,88_90,122.00
,,90_92,102.00
,,92_94,110.00
,,94_96,133.00
,,96_98,142.00
,,98_100,105.00
,,100_102,96.00
,,102_104,101.00
,,104_106,81.00
,,106_108,84.00
,,108_110,81.00
,,110_112,71.00
,,112_114,75.00
,,114_116,61.00
,,116_118,63.00
,,118_120,68.00
,,120_122,63.00
,,122_124,67.00
,,124_126,50.00
,,126_128,52.00
,,128_130,52.00
,,130_132,66.00
,,132_134,58.00
,,134_136,68.00
,,136_138,65.00
,,138_140,68.00
,,140_142,69.00
,,142_144,70.00
,,144_146,91.00
,,146_148,77.00
,,148_150,100.00
,,150_152,84.00
,,152_154,89.00
,,154_156,95.00
,,156_158,55.00
,,158_160,86.00
,,160_162,78.00
,,162_164,90.00
,,164_166,88.00
,,166_168,112.00
,,168_170,115.00
,,170_172,106.00
,,172_174,120.00
,,174_176,150.00
,,176_178,118.00
,,178_180,115.00
,,180_182,124.00
,,182_184,188.00
,,184_186,153.00
,,186_188,111.00
,,188_190,142.00
,,190_192,116.00
,,192_194,108.00
,,194_196,93.00
,,196_198,100.00
,,198_200,122.00
,,200_202,104.00
,,202_204,113.00
,,204_206,107.00
,,206_208,126.00
,,208_210,111.00
,,210_212,117.00
,,212_214,124.00
,,214_216,112.00
,,216_218,121.00
,,218_220,127.00
,,220_222,124.00
,,222_224,118.00
,,224_226,123.00
,,226_228,95.00
,,228_230,103.00
,,230_232,117.00
,,232_234,128.00
,,234_236,117.00
,,236_238,96.00
,,238_240,102.00
,,240_242,140.00
,,242_244,147.00
,,244_246,162.00
,,246_248,149.00
,,248_250,147.00
,,250_252,144.00
,,252_254,137.00
,,254_256,137.00
,,256_258,169.00
,,258_260,133.00
,,260_262,144.00
,,262_264,121.00
,,264_266,168.00
,,266_268,161.00
,,268_270,142.00
,,270_272,120.00
,,272_274,137.00
,,274_276,142.00
,,276_278,152.00
,,278_280,131.00
,,280_282,174.00
,,282_284,200.00
,,284_286,166.00
,,286_288,161.00
,,288_290,185.00
,,290_292,171.00
,,292_294,204.00
,,294_296,235.00
,,296_298,227.00
,,298_300,243.00
,,300_302,232.00
,,302_304,233.00
,,304_306,221.00
,,306_308,328.00
,,308_310,291.00
,,310_312,297.00
,,312_314,292.00
,,314_316,298.00
,,316_318,270.00
,,318_320,335.00
,,320_322,295.00
,,322_324,297.00
,,324_326,311.00
,,326_328,304.00
,,328_330,324.00
,,330_332,300.00
,,332_334,331.00
,,334_336,349.00
,,336_338,321.00
,,338_340,331.00
,,340_342,311.00
,,342_344,364.00
,,344_346,351.00
,,346_348,410.00
,,348_350,341.00
,,350_352,376.00
,,352_354,396.00
,,354_356,472.00
,,356_358,465.00
,,358_360,400.00
,,360_362,380.00
,,362_364,366.00
,,364_366,390.00
,,366_368,323.00
,,368_370,362.00
,,370_372,262.00
,,372_374,281.00
,,374_376,300.00
,,376_378,307.00
,,378_380,267.00
,,380_382,306.00
,,382_384,266.00
,,384_386,236.00
,,386_388,277.00
,,388_390,266.00
,,390_392,232.00
,,392_394,235.00
,,394_396,249.00
,,396_398,252.00
,,398_400,245.00
,,400_402,235.00
,,402_404,250.00
,,404_406,241.00
,,406_408,217.00
,,408_410,215.00
,,410_412,240.00
,,412_414,225.00
,,414_416,254.00
,,416_418,221.00
,,418_420,275.00
,,420_422,258.00
,,422_424,238.00
,,424_426,224.00
,,426_428,239.00
,,428_430,215.00
,,430_432,194.00
,,432_434,203.00
,,434_436,213.00
,,436_438,238.00
,,438_440,224.00
,,440_442,212.00
,,442_444,200.00
,,444_446,180.00
,,446_448,178.00
,,448_450,172.00
,,450_452,189.00
,,452_454,151.00
,,454_456,154.00
,,456_458,151.00
,,458_460,171.00
,,460_462,171.00
,,462_464,182.00
,,464_466,154.00
,,466_468,171.00
,,468_470,157.00
,,470_472,143.00
,,472_474,142.00
,,474_476,143.00
,,476_478,112.00
,,478_480,151.00
,,480_482,124.00
,,482_484,128.00
,,484_486,104.00
,,486_488,105.00
,,488_490,109.00
,,490_492,112.00
,,492_494,82.00
,,494_496,77.00
,,496_498,87.00
,,498_500,96.00
,,500_502,77.00
,,502_504,91.00
,,504_506,73.00
,,506_508,72.00
,,508_510,70.00
,,510_512,63.00
,,512_514,58.00
,,514_516,48.00
,,516_518,45.00
,,518_520,49.00
,,520_522,36.00
,,522_524,28.00
,,524_526,19.00
,,526_528,27.00
,,528_530,22.00
,,530_532,18.00
,,532_534,14.00
,,534_536,15.00
,,536_538,12.00
,,538_540, 5.00
,,540_542, 9.00
,,542_544, 3.00
,,544_546, 7.00
,,546_548, 4.00
,,548_550, 4.00
,,550_552, 7.00
,,552_554, 1.00
,,554_556, 7.00
,,556_558, 2.00
,,558_560, 1.00
,,560_562, 2.00
,,562_564, 2.00
,,564_566, 1.00
,,566_568, 1.00
,,568_570, 1.00
,,572_574, 1.00
,,576_578, 1.00
,,582_584, 1.00
,,584_586, 1.00
Category,Travel Time Bin (2 min Interval),Cumulative Number of Vehicles,
,,0_2,1281.00
,,2_4,4055.00
,,4_6,6920.00
,,6_8,8823.00
,,8_10,10502.00
,,10_12,12477.00
,,12_14,13694.00
,,14_16,14736.00
,,16_18,15564.00
,,18_20,16224.00
,,20_22,17170.00
,,22_24,17835.00
,,24_26,18399.00
,,26_28,18891.00
,,28_30,19407.00
,,30_32,19855.00
,,32_34,20295.00
,,34_36,20698.00
,,36_38,21039.00
,,38_40,21386.00
,,40_42,21695.00
,,42_44,21985.00
,,44_46,22237.00
,,46_48,22514.00
,,48_50,22751.00
,,50_52,22974.00
,,52_54,23209.00
,,54_56,23421.00
,,56_58,23643.00
,,58_60,23875.00
,,60_62,24100.00
,,62_64,24322.00
,,64_66,24496.00
,,66_68,24650.00
,,68_70,24815.00
,,70_72,24957.00
,,72_74,25115.00
,,74_76,25261.00
,,76_78,25409.00
,,78_80,25548.00
,,80_82,25695.00
,,82_84,25842.00
,,84_86,25979.00
,,86_88,26117.00
,,88_90,26239.00
,,90_92,26341.00
,,92_94,26451.00
,,94_96,26584.00
,,96_98,26726.00
,,98_100,26831.00
,,100_102,26927.00
,,102_104,27028.00
,,104_106,27109.00
,,106_108,27193.00
,,108_110,27274.00
,,110_112,27345.00
,,112_114,27420.00
,,114_116,27481.00
,,116_118,27544.00
,,118_120,27612.00
,,120_122,27675.00
,,122_124,27742.00
,,124_126,27792.00
,,126_128,27844.00
,,128_130,27896.00
,,130_132,27962.00
,,132_134,28020.00
,,134_136,28088.00
,,136_138,28153.00
,,138_140,28221.00
,,140_142,28290.00
,,142_144,28360.00
,,144_146,28451.00
,,146_148,28528.00
,,148_150,28628.00
,,150_152,28712.00
,,152_154,28801.00
,,154_156,28896.00
,,156_158,28951.00
,,158_160,29037.00
,,160_162,29115.00
,,162_164,29205.00
,,164_166,29293.00
,,166_168,29405.00
,,168_170,29520.00
,,170_172,29626.00
,,172_174,29746.00
,,174_176,29896.00
,,176_178,30014.00
,,178_180,30129.00
,,180_182,30253.00
,,182_184,30441.00
,,184_186,30594.00
,,186_188,30705.00
,,188_190,30847.00
,,190_192,30963.00
,,192_194,31071.00
,,194_196,31164.00
,,196_198,31264.00
,,198_200,31386.00
,,200_202,31490.00
,,202_204,31603.00
,,204_206,31710.00
,,206_208,31836.00
,,208_210,31947.00
,,210_212,32064.00
,,212_214,32188.00
,,214_216,32300.00
,,216_218,32421.00
,,218_220,32548.00
,,220_222,32672.00
,,222_224,32790.00
,,224_226,32913.00
,,226_228,33008.00
,,228_230,33111.00
,,230_232,33228.00
,,232_234,33356.00
,,234_236,33473.00
,,236_238,33569.00
,,238_240,33671.00
,,240_242,33811.00
,,242_244,33958.00
,,244_246,34120.00
,,246_248,34269.00
,,248_250,34416.00
,,250_252,34560.00
,,252_254,34697.00
,,254_256,34834.00
,,256_258,35003.00
,,258_260,35136.00
