origin_zone_no,destination_zone_no,number_of_vehicles,number_of_vehicles_completing_trips,trip_time_in_min,distance_in_mile
31,21,22,14,99.8348,4.64536
31,22,2,1,20.7048,5.53394
31,23,14,14,210.605,4.57007
31,25,32,32,157.656,2.30221
31,26,24,24,119.971,2.16111
31,27,32,32,128.899,1.94233
31,28,12,12,165.809,5.61516
31,30,6,6,242.918,4.95536
31,32,54,54,114.233,1.83412
31,33,8,8,202.523,3.0411
31,34,164,164,99.7533,1.32084
31,35,14,14,116.673,2.24292
31,36,4,4,241.692,3.67639
31,37,67,67,125.997,1.61587
31,38,33,33,170.959,3.62947
31,39,1,1,279.564,4.34358
31,41,165,165,144.522,2.59982
32,1,291,291,75.3713,0.932268
32,2,176,176,100.833,1.14193
32,3,115,115,198.799,2.63053
32,5,21,20,242.016,4.5863
32,6,21,20,249.146,5.20386
32,7,25,21,261.362,5.20078
32,8,3,2,16.9575,6.55579
32,9,39,17,237.659,6.6694
32,10,2,2,209.902,5.50762
32,11,54,54,169.029,4.19162
32,13,75,75,151.849,2.78954
32,14,62,62,88.9828,2.59273
32,15,40,40,93.3963,2.58638
32,16,56,56,76.1296,1.43244
32,17,159,159,61.1175,0.500529
32,18,21,21,77.8157,1.46386
32,19,17,17,224.509,4.0436
32,20,3,3,342.415,4.74019
32,21,10,6,142.835,6.64466
32,22,2,1,210.77,6.2912
32,23,7,6,197.041,5.96823
32,26,9,9,189.958,3.48791
32,27,9,9,245.113,3.1802
32,28,3,3,116.22,5.18682
32,30,3,3,264.108,4.32716
32,31,47,47,153.229,1.98871
32,33,2,2,193.766,3.8475
32,34,61,61,154.662,1.99637
32,35,11,11,62.9093,1.08818
32,36,5,5,128.457,2.66663
32,37,26,26,231.228,2.97434
32,38,16,13,337.121,5.18075
32,40,4,4,279.816,2.60206
32,41,249,249,75.482,1.18273
33,1,22,11,294.481,5.3443
33,3,68,68,255.434,1.95876
33,5,55,55,94.2349,0.918911
33,6,44,44,92.4072,1.29301
33,7,36,36,98.4146,1.59878
33,9,41,41,115.401,2.81656
33,11,27,27,258.758,4.50733
33,13,13,6,338.278,5.79115
33,14,15,5,309.205,6.7067
0,0,7,0,0,0
33,16,8,4,350.553,5.89522
33,17,9,6,270.487,4.23411
0,0,1,0,0,0
33,19,40,40,93.4863,0.504
33,20,4,4,228.43,1.16343
33,21,17,17,105.697,2.68002
33,22,1,1,6.76572,2.9016
33,26,5,5,238.176,2.75204
33,27,13,13,228.849,1.51023
33,28,6,6,176.213,4.36973
33,31,12,11,256.306,2.78149
33,32,6,4,328.62,4.09958
33,34,20,14,278.063,2.86877
33,37,26,26,210.391,1.39161
33,38,26,26,97.1973,1.47826
33,41,21,9,365.172,4.8536
34,1,182,179,158.775,2.42594
34,2,189,184,123.695,1.44903
34,3,361,361,123.01,1.61381
34,5,58,58,192.47,3.40621
34,6,73,73,194.536,3.69351
34,7,57,57,180.902,4.11483
34,9,94,56,165.45,5.20485
34,10,9,9,197.918,3.95856
34,11,130,130,131.515,3.89139
34,12,26,26,114.772,2.68269
34,13,145,144,125.378,2.55549
34,14,93,90,252.189,2.87931
34,15,51,50,267.326,2.8336
34,16,55,54,82.6644,2.10118
34,17,94,91,127.592,1.72203
34,18,20,18,139.422,2.93238
34,19,35,35,188.902,2.85709
34,20,9,9,260.515,3.20558
34,21,24,15,107.106,4.54889
34,22,5,2,10.6881,5.19494
34,23,12,12,147.073,4.28944
34,25,49,49,138.966,2.14061
34,26,30,30,104.741,2.42425
34,27,31,31,123.039,2.15711
34,28,21,21,141.246,4.8235
34,30,16,16,161.336,4.04202
34,31,196,192,104.619,1.26616
34,32,72,70,125.856,1.94619
34,33,12,12,195.693,2.55981
34,35,16,16,104.918,1.67116
34,36,5,5,132.906,2.65755
34,37,80,80,122.307,1.76258
34,38,39,39,195.414,3.80964
34,40,8,8,152.269,2.53341
34,41,218,210,151.77,2.58622
35,1,64,64,110.922,1.45312
35,2,43,43,95.5139,1.64398
35,3,39,39,181.766,3.01312
35,6,7,7,219.762,5.70385
35,9,17,17,281.435,5.84266
35,11,22,22,133.031,3.64645
35,13,32,32,132.123,2.2056
35,14,25,25,65.5118,2.16647
35,15,18,18,63.2072,2.13022
35,16,40,40,55.27,0.961002
35,17,67,67,38.9921,0.49431
35,18,4,4,92.2983,1.4823
35,19,3,3,222.378,4.48813
35,20,2,2,83.7254,4.15823
35,21,4,4,239.583,5.40212
35,27,6,6,158.722,3.58936
35,28,4,4,143.061,4.69851
35,30,1,1,185.424,3.83885
35,31,13,13,136.8,2.47672
35,32,19,19,70.3319,1.19092
35,33,3,3,206.021,4.36769
35,34,20,20,84.9126,1.60697
35,37,6,6,166.063,3.78835
35,38,10,7,177.43,5.33756
35,41,58,58,107.159,1.74345
36,1,14,14,261.706,2.27445
36,2,10,10,83.8877,2.43113
36,3,11,11,236.228,3.78833
36,6,2,2,378.025,5.91862
36,9,9,9,274.27,6.68192
36,10,1,1,210.711,3.945
36,11,14,14,92.5507,2.40674
36,13,49,49,49.0686,0.638475
36,14,34,34,79.9791,0.957289
36,15,29,29,82.1953,0.992825
36,16,7,7,218.947,1.60299
36,17,8,8,181.667,2.22849
36,18,3,3,103.59,2.54389
36,19,2,2,300.545,5.12961
36,21,1,1,343.579,6.14261
36,27,1,1,306.759,4.51815
36,28,1,1,8.83908,3.67841
36,30,1,1,173.957,2.58225
36,34,9,9,78.3644,2.50416
36,37,4,4,212.04,4.00776
36,38,3,3,276.479,6.10387
36,41,18,18,244.375,2.56259
37,1,99,85,252.054,3.37229
37,2,96,92,240.53,2.55866
37,3,527,527,131.26,1.0982
37,5,86,86,128.957,1.8993
37,6,94,94,133.467,2.26431
37,7,101,101,179.401,2.1327
37,9,120,114,218.956,3.35937
37,11,125,125,166.569,4.34261
37,12,9,9,218.194,4.45451
37,13,69,69,213.544,4.17666
37,14,49,31,298.28,4.16832
37,15,33,21,279.657,4.18652
37,16,29,24,245.968,3.82376
37,17,50,50,251.671,2.99402
37,18,9,9,294.913,3.92825
37,19,60,60,133.334,1.17632
37,20,10,10,177.604,1.61155
37,21,28,28,175.133,3.0541
37,22,9,9,163.625,3.46187
37,23,14,14,174.986,2.75872
37,25,60,60,124.143,1.0804
37,26,24,24,89.1837,1.39088
37,27,49,49,115.554,1.07058
37,28,16,16,173.052,4.09116
37,30,10,10,161.498,3.27088
37,31,62,59,177.015,1.72783
37,32,32,29,270.223,3.10761
37,33,26,26,118.155,1.29333
37,34,110,110,153.236,1.70271
37,35,7,7,204.319,3.31485
37,36,3,3,214.164,4.15092
37,38,57,57,136.803,2.29475
37,40,8,8,255.55,3.85407
37,41,99,76,260.667,3.82942
38,1,244,55,236.549,6.17686
38,3,646,171,195.389,3.27924
38,9,677,635,289.908,2.62822
38,10,29,29,268.037,3.35748
38,11,321,321,285.927,4.86611
38,13,165,44,223.9,6.88508
38,14,130,20,199.189,7.14
38,20,78,78,252.766,1.82115
38,21,216,214,281.269,2.3866
38,30,36,36,270.455,4.35793
38,36,11,3,277.922,7.00475
38,41,251,56,217.482,6.28871
39,1,1,1,31.5147,5.53717
39,7,2,2,269.348,2.445
39,9,2,2,247.034,2.33594
39,11,1,1,5.53549,2.17271
40,14,456,456,191.455,1.08109
41,1,2396,1010,212.479,0.62696
41,2,521,159,208.358,1.90291
41,3,1165,296,209.181,3.3329
41,5,478,101,201.317,5.18321
41,6,1888,407,200.632,5.54758
41,7,94,19,210.136,5.6453
41,9,937,154,130.351,6.84409
41,10,9,2,239.041,6.21355
41,11,927,313,191.752,4.67601
41,13,291,101,185.979,3.12949
41,14,344,118,184.23,2.29843
41,15,212,73,186.544,2.27788
41,16,360,151,218.164,1.12349
41,17,412,155,220.561,1.20586
41,18,122,53,208.941,1.15432
41,19,56,13,194.068,4.63649
41,20,7,2,259.394,5.04698
41,21,41,6,103.796,6.57901
41,22,10,1,50.156,6.95021
41,23,26,6,311.813,6.34383
41,24,2,1,355.436,4.27425
41,25,48,12,216.684,4.39705
41,26,31,7,290.681,4.08384
41,27,41,12,289.427,3.69207
41,28,24,9,201.713,5.63973
41,30,19,6,180.362,5.17408
41,31,150,37,210.324,2.77941
41,32,265,99,221.473,1.21369
41,33,18,3,280.484,4.55343
41,34,211,61,213.688,2.6655
41,35,52,21,212.295,1.7047
41,36,16,7,149.285,2.35882
41,37,100,25,218.419,3.77361
41,38,74,16,192.972,5.55688
41,40,29,11,193.701,2.7158
