origin_zone_no,destination_zone_no,number_of_vehicles,number_of_vehicles_completing_trips,trip_time_in_min,distance_in_mile
6,21,86,32,266.94,2.72125
6,22,11,3,7.58171,2.88999
6,23,30,10,233.464,3.9136
6,25,43,11,263.869,2.59746
6,26,24,5,110.567,3.53842
6,27,44,11,233.956,2.22678
6,28,23,7,230.468,5.93634
6,30,19,7,222.862,4.54558
6,31,58,9,152.866,3.91679
6,32,33,5,45.2831,4.63569
6,33,48,22,280.365,1.31359
6,34,76,13,141.58,3.7097
6,35,10,3,177.069,5.62487
6,37,129,34,265.9,2.13856
6,38,177,94,273.611,1.47541
6,40,7,2,236.201,5.73793
6,41,1081,166,156.811,5.7882
7,1,555,79,161.791,5.66504
7,2,313,53,137.31,4.81775
7,3,325,58,155.659,2.9773
7,4,40,8,167.975,1.99279
7,5,349,88,199.111,1.33748
7,6,294,77,208.139,1.70748
7,9,451,173,253.766,2.15591
7,10,27,10,291.319,2.8987
7,11,201,91,275.929,4.42065
7,12,14,7,366.429,5.23092
7,13,87,39,266.203,5.31384
7,14,413,73,93.3958,5.96203
7,15,175,35,154.205,6.20304
7,16,769,123,166.075,5.86883
7,17,52,7,145.766,5.35332
7,18,50,5,31.3016,5.82536
7,19,169,85,267.54,1.10145
7,20,51,24,275.847,1.28974
7,21,147,59,258.461,1.89481
7,22,20,8,253.117,2.29329
7,23,44,20,268.498,3.17554
0,0,1,0,0,0
7,25,94,47,271.139,1.9226
7,26,28,14,342.465,2.84855
7,27,50,10,341.116,2.41659
7,28,31,13,326.292,4.40989
7,30,21,10,295.666,3.83283
7,31,63,11,102.338,4.51042
7,32,37,6,99.2715,4.93942
7,33,41,10,274.819,1.59945
7,34,80,15,205.536,4.18024
7,35,9,6,345.02,4.4535
7,36,2,1,424.525,5.21624
7,37,103,33,210.018,1.74468
7,38,225,89,260.116,1.41708
7,40,6,1,10.0672,5.06255
7,41,132,19,158.999,5.74955
8,1,13,2,161.213,7.29123
8,2,10,2,321.044,6.484
8,6,10,3,123.449,2.68878
8,9,209,209,149.838,0.31998
8,10,1,1,12.5309,2.72442
8,11,36,36,215.255,4.23661
8,13,12,12,269.907,6.79017
8,14,14,3,138.912,7.365
8,15,8,1,363.67,9.22225
8,16,4,2,448.217,6.50077
8,17,3,1,409.375,5.54941
8,19,5,5,225.399,2.20321
8,21,18,18,180.587,0.85649
8,22,4,4,226.747,0.45597
8,26,1,1,376.568,3.95339
8,28,8,8,183.532,4.31909
0,0,1,0,0,0
8,34,9,3,267.504,5.80507
8,37,6,5,261.698,2.68027
8,41,10,2,273.059,7.92397
9,1,251,25,158.151,6.64795
9,2,210,18,109.958,5.72208
9,3,1597,165,119.517,4.14626
9,4,38,6,202.086,3.16723
9,5,2786,383,183.378,2.47438
9,6,919,128,187.962,2.83886
9,7,530,140,285.63,2.14556
9,11,2130,593,271.183,4.3024
9,13,351,90,307.137,6.37414
9,14,256,25,64.2696,6.99964
9,15,154,14,62.3286,6.9703
9,16,79,13,273.622,6.63204
9,17,113,13,218.744,6.06306
9,18,31,2,28.7747,6.84812
9,19,185,52,284.832,2.26903
9,20,99,28,261.15,1.45252
9,21,700,205,255.052,0.921708
9,22,248,79,260.926,0.52119
9,23,282,80,269.429,3.04036
9,24,2,1,46.2404,4.58353
9,26,75,23,299.472,4.02677
9,27,74,10,107.903,3.71334
9,28,259,70,256.464,4.31037
9,31,139,18,192.135,5.13453
9,32,68,8,150.077,6.18338
9,34,162,15,187.706,4.92297
9,35,20,4,372.775,5.64581
9,36,15,5,386.082,6.3863
9,37,186,31,205.06,3.19913
9,38,283,58,252.827,2.58624
9,40,24,7,355.12,6.86608
9,41,1212,120,144.402,6.91451
10,1,514,142,204.956,6.1215
10,2,237,67,186.046,5.15539
10,4,750,532,233.581,2.60046
10,9,198,135,239.311,2.79914
10,11,98,73,224.191,1.88553
10,13,35,19,257.046,3.93917
10,14,392,150,239.361,4.87045
10,15,169,61,224.583,4.84509
10,16,103,75,250.13,5.54969
10,18,40,9,207.237,6.62091
10,21,30,21,233.861,2.59825
10,31,12,4,395.989,5.03252
10,38,19,11,242.116,3.35021
10,41,26,7,163.274,6.36905
11,1,293,47,169.187,5.028
11,2,262,65,217.585,3.9082
11,3,3276,674,189.229,5.14361
11,5,607,205,266.802,4.78551
11,6,647,215,265.862,5.15568
11,7,397,157,298.511,4.40392
11,8,57,20,258.026,4.22499
11,9,1906,723,273.05,4.2942
11,10,65,26,225.669,1.89006
11,13,492,159,250.415,2.84696
11,14,333,79,217.453,3.10258
11,15,206,49,219.068,3.10084
11,16,104,18,219.517,4.07209
11,17,136,38,219.412,4.09388
11,18,37,5,106.4,4.96741
11,19,94,37,264.831,3.79394
11,20,35,14,307.422,3.49247
11,21,188,74,283.815,4.1009
11,22,69,29,272.768,4.43543
11,23,163,69,253.035,1.59768
11,24,9,4,295.951,0.62994
