from_node_id,to_node_id,type_code,start_time_in_min,end_time_in_min,total_link_volume,lane_capacity_in_vhc_per_hour,volume_over_capacity_ratio,avg_waiting_time_on_loading_buffer_(min),speed_limit,speed,percentage_of_speed_limit,level_of_service,sensor_data_flag,sensor_link_volume,simulated_link_volume,measurement_error,abs_measurement_error_percentage,simulated_AADT,TotalEnergy_(J/hr),CO2_(g/hr),NOX_(g/hr),CO_(g/hr),HC_(g/hr),sov_volume,hov_volume,truck_volume,intermodal_volume,geometry,from_node_id,to_node_id,vol_d1,vol_d2,spd_d1,spd_d2,
1299,11129,f,300,660,110,1428.6000,0.0018,0.0598,21.0000,0.4033,2,F,0,0.0000,110,0.0000,0.0000,1100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,110,0,0,0,"<LineString><coordinates>-111.908069,40.616173,0.0 -111.907654,40.610910,0.0</coordinates></LineString>",1299,11129,
11129,1299,f,300,660,818,1428.6000,0.0136,0.0000,21.0000,20.8770,99,A,0,0.0000,818,0.0000,0.0000,8180.0000,0.0000,0.0000,0.0000,0.0000,0.0000,818,0,0,0,"<LineString><coordinates>-111.907623,40.610912,0.0 -111.908038,40.616175,0.0</coordinates></LineString>",11129,1299,
1314,11146,f,300,660,407,1428.6000,0.0068,0.0512,21.0000,0.3121,1,F,0,0.0000,407,0.0000,0.0000,4070.0000,0.0000,0.0000,0.0000,0.0000,0.0000,407,0,0,0,"<LineString><coordinates>-111.944075,40.606310,0.0 -111.938859,40.605883,0.0</coordinates></LineString>",1314,11146,
11146,1314,f,300,660,212,1428.6000,0.0035,0.0000,21.0000,20.6483,98,A,0,0.0000,212,0.0000,0.0000,2120.0000,0.0000,0.0000,0.0000,0.0000,0.0000,212,0,0,0,"<LineString><coordinates>-111.938857,40.605914,0.0 -111.944072,40.606341,0.0</coordinates></LineString>",11146,1314,
1316,11148,f,300,660,431,1428.6000,0.0072,0.0543,21.0000,0.2687,1,F,0,0.0000,431,0.0000,0.0000,4310.0000,0.0000,0.0000,0.0000,0.0000,0.0000,431,0,0,0,"<LineString><coordinates>-111.943562,40.597991,0.0 -111.938790,40.599023,0.0</coordinates></LineString>",1316,11148,
11148,1316,f,300,660,206,1428.6000,0.0034,0.0000,21.0000,19.6730,94,A,0,0.0000,206,0.0000,0.0000,2060.0000,0.0000,0.0000,0.0000,0.0000,0.0000,206,0,0,0,"<LineString><coordinates>-111.938796,40.599054,0.0 -111.943568,40.598022,0.0</coordinates></LineString>",11148,1316,
1318,11160,f,300,660,382,1428.6000,0.0064,0.0613,21.0000,0.2252,1,F,0,0.0000,382,0.0000,0.0000,3820.0000,0.0000,0.0000,0.0000,0.0000,0.0000,382,0,0,0,"<LineString><coordinates>-111.943411,40.590875,0.0 -111.938878,40.590829,0.0</coordinates></LineString>",1318,11160,
11160,1318,f,300,660,235,1428.6000,0.0039,0.0000,21.0000,20.4307,97,A,0,0.0000,235,0.0000,0.0000,2350.0000,0.0000,0.0000,0.0000,0.0000,0.0000,235,0,0,0,"<LineString><coordinates>-111.938878,40.590860,0.0 -111.943410,40.590906,0.0</coordinates></LineString>",11160,1318,
1319,11124,f,300,660,838,1428.6000,0.0140,38.6811,21.0000,0.1925,1,F,0,0.0000,838,0.0000,0.0000,8380.0000,0.0000,0.0000,0.0000,0.0000,0.0000,838,0,0,0,"<LineString><coordinates>-111.934398,40.607285,0.0 -111.931809,40.609514,0.0</coordinates></LineString>",1319,11124,
11124,1319,f,300,660,504,1428.6000,0.0084,0.0000,21.0000,20.6321,98,A,0,0.0000,504,0.0000,0.0000,5040.0000,0.0000,0.0000,0.0000,0.0000,0.0000,504,0,0,0,"<LineString><coordinates>-111.931829,40.609538,0.0 -111.934418,40.607309,0.0</coordinates></LineString>",11124,1319,
1320,5820,f,300,660,365,1428.6000,0.0061,0.0399,21.0000,2.1042,10,F,0,0.0000,365,0.0000,0.0000,3650.0000,0.0000,0.0000,0.0000,0.0000,0.0000,365,0,0,0,"<LineString><coordinates>-111.934144,40.599980,0.0 -111.929258,40.603308,0.0</coordinates></LineString>",1320,5820,
5820,1320,f,300,660,1155,1428.6000,0.0192,0.0000,21.0000,20.8987,100,A,0,0.0000,1155,0.0000,0.0000,11550.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1155,0,0,0,"<LineString><coordinates>-111.929275,40.603334,0.0 -111.934161,40.600005,0.0</coordinates></LineString>",5820,1320,
1320,11148,f,300,660,1571,1428.6000,0.0262,0.8210,21.0000,0.6175,3,F,0,0.0000,1571,0.0000,0.0000,15710.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1571,0,0,0,"<LineString><coordinates>-111.934155,40.600008,0.0 -111.938796,40.599054,0.0</coordinates></LineString>",1320,11148,
