time_stamp_in_min,cumulative_in_flow_count,cumulative_out_flow_count,number_vehicles_in_network,flow_in_a_min,avg_trip_time_in_min
1336,24556,13578,10978,0,0,
1337,24556,13578,10978,0,0,
1338,24556,13617,10939,0,0,
1339,24556,13617,10939,0,0,
1340,24556,13654,10902,0,0,
1341,24556,13654,10902,0,0,
1342,24556,13692,10864,0,0,
1343,24556,13692,10864,0,0,
1344,24556,13733,10823,0,0,
1345,24556,13733,10823,0,0,
1346,24556,13775,10781,0,0,
1347,24556,13775,10781,0,0,
1348,24556,13810,10746,0,0,
1349,24556,13810,10746,0,0,
