origin_zone_no,destination_zone_no,number_of_vehicles,number_of_vehicles_completing_trips,trip_time_in_min,distance_in_mile
22,12,70,5,277.38,2.49255
22,13,72,5,276.11,3.04309
22,19,15,4,535.063,2.13963
22,21,23,13,475.035,1.0577
22,28,35,8,486,0.69486
22,30,114,23,506.783,0.97669
22,40,21,1,205.364,3.27635
24,1,443,44,315.12,4.00425
24,2,91,87,214.627,3.3473
24,3,69,69,305.261,2.66188
24,4,95,12,49.8438,3.14512
24,5,60,8,64.7746,3.85552
24,6,62,8,58,4.22962
24,7,64,23,475.866,3.48152
24,8,78,78,86.4667,1.92776
24,9,68,68,88.5,1.99296
24,10,70,70,84.6,1.82553
24,11,72,72,71.1694,0.63
24,12,74,74,132.892,1.4407
24,13,76,74,157.236,1.99124
24,19,35,12,483.583,2.88832
24,21,17,17,81.3765,2.52946
24,28,52,52,170.077,1.25892
24,30,17,17,66.4118,0.8223
24,40,9,7,153.437,2.2245
26,1,362,362,221.256,2.98956
26,2,100,100,165.18,2.05986
26,3,71,40,124.075,1.10323
26,4,74,41,128.5,2.16053
26,5,64,36,134.637,2.87093
26,6,66,37,130.481,3.24503
26,7,68,32,449.348,2.41944
26,8,103,17,463.251,2.11027
26,9,72,11,453.856,2.17547
26,10,74,12,434.233,2.00804
26,11,76,76,263.254,1.51448
26,12,78,78,167.641,2.91813
26,13,80,80,160.725,2.81807
26,19,72,34,445.149,1.82624
26,21,29,15,506.153,2.43314
26,28,12,12,299.5,1.5148
26,30,33,33,268.091,1.70678
26,40,22,22,169.364,2.74973
28,1,234,107,405.159,4.80881
28,2,79,45,406.075,3.8791
28,3,109,63,400.981,2.372
28,4,257,25,58.9878,2.85524
28,5,68,68,24,3.02276
28,6,70,70,24.0314,3.39686
28,7,72,72,19.9444,2.70116
28,8,90,90,9.86666,0.96286
28,9,76,76,9.81579,1.02806
28,10,78,78,7.92308,0.86063
28,11,80,48,262.119,0.96872
28,12,82,45,282.355,1.93632
28,13,2,1,106.867,2.48686
28,19,23,6,513.125,2.59844
28,21,98,98,12.002,1.56456
28,30,60,52,234.773,0.54159
28,40,20,9,230.667,2.72012
31,1,288,288,120.677,2.23938
31,2,81,81,51.6173,1.31319
31,3,85,85,120.435,1.26754
31,4,116,116,131.403,2.33153
31,5,72,72,127.751,3.0059
31,6,74,74,133.731,3.47083
31,7,76,76,132.214,3.6764
