speed_sensor_id,day_no,Min_0,Min_15,Min_30,Min_45,Min_60,Min_75,Min_90,Min_105,Min_120,Min_135,Min_150,Min_165,Min_180,Min_195,Min_210,Min_225,Min_240,Min_255,Min_270,Min_285,Min_300,Min_315,Min_330,Min_345,Min_360,Min_375,Min_390,Min_405,Min_420,Min_435,Min_450,Min_465,Min_480,Min_495,Min_510,Min_525,Min_540,Min_555,Min_570,Min_585,Min_600,Min_615,Min_630,Min_645,Min_660,Min_675,Min_690,Min_705,Min_720,Min_735,Min_750,Min_765,Min_780,Min_795,Min_810,Min_825,Min_840,Min_855,Min_870,Min_885,Min_900,Min_915,Min_930,Min_945,Min_960,Min_975,Min_990,Min_1005,Min_1020,Min_1035,Min_1050,Min_1065,Min_1080,Min_1095,Min_1110,Min_1125,Min_1140,Min_1155,Min_1170,Min_1185,Min_1200,Min_1215,Min_1230,Min_1245,Min_1260,Min_1275,Min_1290,Min_1305,Min_1320,Min_1335,Min_1350,Min_1365,Min_1380,Min_1395,Min_1410,Min_1425
114+04372,1,58.66666667,61.33333333,59.33333333,61,60.33333333,60.33333333,62,53.66666667,54,55.66666667,55.66666667,56.66666667,57.33333333,58.66666667,58,54.66666667,55,56,60.33333333,61.33333333,61.33333333,61.66666667,61,60.33333333,59.66666667,59,58.66666667,58,57.66666667,57.66666667,57.66666667,55.66666667,56,56.66666667,57,58,58,57.66666667,58,58,58,58,58,58,58.66666667,59,59,58.66666667,58.33333333,58.33333333,55.66666667,57,56,56.66666667,58,57.66666667,57.33333333,57.66666667,58.33333333,57,56.66666667,57,56.33333333,56.66666667,55.66666667,55.66666667,56,55.66666667,54.33333333,54.33333333,54.33333333,55,56.66666667,58.33333333,59.33333333,58.66666667,59.33333333,59,57.66666667,58,58.66666667,58,58.33333333,57.33333333,57.66666667,57.66666667,58,59,60.33333333,59.33333333,61,60.66666667,60.33333333,62,62,60.66666667
114+04373,1,63,63,63,63,63,63,63,60.33333333,60,60,61.66666667,63,62,61,59.66666667,58,59,60.33333333,61,62,62,62.33333333,61,60.66666667,60.33333333,60,59,59.33333333,58.66666667,58.66666667,58.33333333,58,59,58.66666667,59.66666667,59.66666667,59.33333333,59.66666667,59.66666667,59.66666667,59,58.66666667,58.66666667,59,59.33333333,59.66666667,59.66666667,60.33333333,60.33333333,60.66666667,60,59,57.33333333,58.66666667,59.33333333,59.66666667,60,59.33333333,59,58.66666667,58,58.33333333,57.66666667,57,56,56.33333333,56,54.66666667,54.33333333,54.33333333,55,56.33333333,58.66666667,59.66666667,60.33333333,61,59.66666667,58,59,59.33333333,61.66666667,59.33333333,58.66666667,61.33333333,58,59.33333333,59,58,62.33333333,62.33333333,61.66666667,63,63,61.66666667,63,63
114+04374,1,57.66666667,58,57.66666667,58,58.33333333,57.66666667,56.66666667,56.33333333,56,55.66666667,56.33333333,56.66666667,57.33333333,57,56.66666667,57,56.33333333,56.66666667,59.66666667,60.66666667,61,61,61,60.66666667,59,59,58,57,56.66666667,56,55.66666667,56,56.33333333,56.33333333,57.33333333,57.33333333,56.66666667,56.33333333,56.33333333,56.33333333,56.33333333,56.33333333,56.66666667,56.66666667,56.66666667,57,56.33333333,56,56,56,56.33333333,56.66666667,56.66666667,56.66666667,56.66666667,56.33333333,56.33333333,56.66666667,56.66666667,56.66666667,56.66666667,56.66666667,56,55.66666667,55.66666667,55.66666667,55.66666667,55.66666667,55,55,54.66666667,55.66666667,56.33333333,57.33333333,58.66666667,58.33333333,58,58,58.66666667,58.66666667,58.66666667,58.66666667,58,58,58.33333333,58.66666667,58.66666667,58.33333333,58.66666667,58.66666667,59,58.66666667,58.66666667,58.33333333,57.66666667,57.33333333
114+04375,1,55.66666667,56.33333333,56.66666667,58.33333333,59.33333333,60,56.66666667,55,55,55,55.66666667,55.66666667,56.33333333,54.66666667,53.66666667,54.33333333,54,54.33333333,58.33333333,59,60,60,59,58.66666667,57.66666667,58,57.33333333,57.66666667,57.33333333,57.66666667,57.66666667,58,57.66666667,58.33333333,58.33333333,58,58,58,57.66666667,57,57.66666667,57.33333333,56.66666667,57.33333333,57.33333333,57,57.66666667,57.33333333,57,57.33333333,57,57,57.66666667,57.33333333,58,57.33333333,57.33333333,57.33333333,57,57.66666667,57.33333333,57.66666667,57.66666667,57.33333333,57,57,57,56.66666667,57.66666667,57.66666667,57.33333333,57.66666667,57.33333333,58.66666667,58.33333333,58.66666667,58.66666667,58.33333333,58.66666667,59,58.66666667,59.33333333,58.66666667,58,58.33333333,57.66666667,58,57,57.33333333,58.66666667,58.33333333,58.66666667,58,57.66666667,56.66666667,57
114+04376,1,57.33333333,57.33333333,57,57,57,57.33333333,56.66666667,56,56,56,56,56.66666667,56.33333333,56,55.66666667,56,56.33333333,56.66666667,58.33333333,59,59.33333333,59.66666667,59.66666667,59.66666667,59.33333333,59.66666667,59.33333333,55.33333333,46.33333333,43,40.66666667,41,44,48,52,55,59,59,58.33333333,58.66666667,58.66666667,58.33333333,58.33333333,58.66666667,58.66666667,59,59,58.33333333,59,58.66666667,58.66666667,56.66666667,57,56,56.66666667,58,58.33333333,58.33333333,58.66666667,58.66666667,57.33333333,54,48.33333333,44.33333333,40,36.66666667,34,32,31,32.33333333,34.66666667,39.66666667,48.66666667,53.66666667,59.66666667,59.66666667,60.33333333,59.33333333,59.66666667,59.66666667,58.66666667,59.33333333,59,59,58.66666667,58,58,58,58.66666667,59.33333333,59.33333333,58.66666667,58.66666667,58.33333333,57.33333333,57
114+04377,1,55.33333333,55.33333333,55,55.66666667,56,55.66666667,55.66666667,55.33333333,55.66666667,55.33333333,55.66666667,55.33333333,55,55.33333333,55.66666667,55.66666667,55.66666667,55.66666667,57,58.66666667,59,59,58.66666667,58,57.33333333,57,53.33333333,41.33333333,33,28.33333333,26,27,28.66666667,30.33333333,33,35.33333333,41,48,55.33333333,55.66666667,56,55.66666667,55.66666667,56,55.66666667,54.33333333,52.66666667,52,51.66666667,52.66666667,54,53.33333333,51.66666667,52,51.66666667,51.66666667,53,51.66666667,50.66666667,46.33333333,41.33333333,36.66666667,31.66666667,28,26,24,23.66666667,28.66666667,28.66666667,30.33333333,32.33333333,31.66666667,37.33333333,43.66666667,53,56.33333333,57.66666667,58,58,58,57.66666667,58,57.33333333,56.33333333,56.66666667,56.33333333,57.33333333,57.33333333,57.33333333,57.33333333,56.66666667,56.66666667,57.33333333,56.33333333,56,55.66666667
114+04378,1,56.33333333,55.66666667,55.66666667,57.66666667,57.66666667,56,57.66666667,57.33333333,58,57.66666667,57,56.66666667,57,56.66666667,56.33333333,56.33333333,57.66666667,58,59,58.66666667,59,59,58,57.33333333,56,55.66666667,49.33333333,38,30,26.33333333,24.33333333,26.66666667,28.66666667,29.33333333,32.33333333,33.66666667,38.33333333,45.33333333,50.66666667,54.33333333,55.66666667,55.66666667,56,56,54.33333333,53.66666667,51.33333333,50.66666667,50.66666667,49.66666667,50.33333333,51,48.33333333,48,49.33333333,49,50.66666667,50,47.33333333,41,36,32.33333333,29.66666667,29,27.66666667,25.66666667,24,23.33333333,23,23.66666667,25,30,35,40,47.66666667,56,59,58.33333333,58,58.33333333,57,57,56.66666667,56,56.33333333,56.33333333,58,57,57,55.33333333,51.33333333,52,59,51.33333333,57.66666667,57.66666667
114+04379,1,55.66666667,55,54.66666667,54.66666667,55,55,55,54.33333333,55,55,55.33333333,55.33333333,55.66666667,55.66666667,55,55.33333333,55.66666667,55.66666667,57.33333333,58,58.33333333,58,57,55.66666667,54,53.33333333,50,46,43,41.66666667,42,42,42,42.66666667,44,45,46.33333333,49,51,52.33333333,53.33333333,53.66666667,53.66666667,53.33333333,52.33333333,51.33333333,51.66666667,51.66666667,52,52,51.33333333,51.66666667,50.33333333,50.33333333,50.33333333,50,49.66666667,50,48.33333333,47.33333333,45.33333333,44,44,43.33333333,43,42,40.33333333,39.66666667,39.33333333,40,41.33333333,42.33333333,44.33333333,48,51.66666667,55,56.66666667,57,56.66666667,56.33333333,56,56,56,55.66666667,56.33333333,55.33333333,54.66666667,54,53,53.66666667,53.66666667,55.66666667,56,55.66666667,55.33333333,55.66666667
114+04380,1,58,57.33333333,57,57.33333333,57.33333333,57,57.33333333,56.66666667,57,56.66666667,56.33333333,57,57.66666667,57.66666667,57.66666667,58,57.66666667,57.66666667,58.33333333,59.66666667,59.66666667,60,59.33333333,58.33333333,58,58,57.33333333,57.33333333,57,57,57,56.66666667,57,56.66666667,56.66666667,56.66666667,56.66666667,57,57.33333333,58,58,57.66666667,57.33333333,57.33333333,57.33333333,57.33333333,58,57.66666667,57.66666667,57.66666667,57,57.66666667,57.66666667,58,58,58,58.33333333,58.33333333,58.33333333,58.33333333,58.66666667,58.33333333,58.66666667,58,58.33333333,58.33333333,58.33333333,58.66666667,58.66666667,59,59.33333333,59.66666667,59.66666667,59.66666667,60,59.66666667,59.66666667,59.66666667,59.33333333,59.66666667,59.33333333,59.33333333,58.66666667,58.33333333,58.33333333,58.66666667,59,58.66666667,59,58.33333333,58.66666667,58.66666667,58.66666667,58.66666667,58.66666667,58.33333333
114+04381,1,58.66666667,58.66666667,58,57.66666667,57,57.33333333,58,57.33333333,56.33333333,56,56,55.66666667,58,58,57.66666667,58.33333333,57.33333333,56.33333333,57.33333333,56.66666667,58,58.33333333,57.66666667,57.66666667,57.66666667,57.66666667,57.33333333,57.33333333,57,56.33333333,57,57,57,57.33333333,57.33333333,57.33333333,57.33333333,57.33333333,57.33333333,57.66666667,57.66666667,58,58,58,58,57.66666667,57.33333333,57.33333333,57.33333333,57.33333333,57.66666667,58,58,58,57.66666667,57.66666667,57.66666667,57.66666667,58.33333333,58.33333333,58.33333333,58.33333333,58.33333333,58.66666667,58.33333333,57.66666667,57.66666667,57.33333333,57,58,58.33333333,59,59.33333333,59.66666667,59.66666667,59.33333333,59.33333333,59,58.33333333,58.66666667,58,58.33333333,58.33333333,58.33333333,58,57,57.66666667,58,58,57.66666667,57.66666667,58,59.33333333,59.33333333,59.33333333,59
114+04383,1,58,58,60,59.33333333,57.33333333,57.66666667,57,57.33333333,56.66666667,56.66666667,56.66666667,56.33333333,57.33333333,59.33333333,59.66666667,59.66666667,59.33333333,57,58.33333333,58,58,58.33333333,58,57.66666667,57.66666667,58,57.33333333,57.33333333,56.66666667,56.66666667,57.33333333,57.66666667,58,57.66666667,57.66666667,57.33333333,58,58,58.33333333,58.33333333,59,59,58.66666667,58,58,58.33333333,58.66666667,58.66666667,58.33333333,58.66666667,58.33333333,58.33333333,58.33333333,58.66666667,58.33333333,58.66666667,58.66666667,58.33333333,59,59,58.66666667,59,58.66666667,58.66666667,59,59,58.66666667,58.66666667,59,59,59.66666667,59.66666667,59.33333333,60,59,59,59.33333333,59.33333333,60,59.66666667,59.33333333,59,58.66666667,58.33333333,58,58,57,57.33333333,58,58.33333333,57.33333333,57,59.33333333,59.33333333,60,59.33333333
114+04385,1,57.66666667,57.66666667,57.66666667,57.66666667,57.66666667,57.66666667,57.33333333,57.33333333,57.33333333,57.33333333,57.66666667,58,58,57.66666667,57.66666667,57.66666667,57.66666667,58,58,58,58,58,58.66666667,59,59,59,58.66666667,58.66666667,58.33333333,58.66666667,59,59,59,59,59,59,58.33333333,58.66666667,58.33333333,58.33333333,58.66666667,58.66666667,58.66666667,58.66666667,58.66666667,58.33333333,58.66666667,58.66666667,58.66666667,59,58.66666667,58.33333333,58.66666667,58.33333333,58.66666667,58.33333333,58.33333333,58.33333333,56.66666667,55,51.66666667,46.33333333,40.66666667,35.66666667,32.66666667,30,29,29.33333333,29.66666667,31.66666667,34.66666667,39.66666667,48.33333333,54,58,59,58.33333333,58.66666667,58.66666667,58.66666667,58.66666667,59,58.33333333,58.66666667,58.33333333,58.33333333,58.33333333,58,58,57.66666667,57.66666667,57.66666667,57.66666667,57.66666667,57.66666667,58
114+04386,1,57.66666667,57.66666667,57.66666667,57.66666667,57.66666667,57.66666667,57.66666667,57.66666667,57.66666667,58,57.66666667,57.66666667,58,58,58,58,58,58,58,58,58,58.33333333,58.66666667,59,59,59,58.66666667,58,58,58.33333333,58.33333333,58.66666667,58.66666667,58,58.33333333,58.66666667,58,58.66666667,58.33333333,58,58,58,58,58,58.33333333,58,58.33333333,58.33333333,58,58,58,58,58,58,58,58,57.33333333,56,55,53.66666667,51.33333333,48,45,40.33333333,37.66666667,35.66666667,34,33.66666667,33,33.66666667,35.66666667,39.33333333,44.66666667,51.33333333,56.66666667,57.66666667,58,57.33333333,56.33333333,56,59,58.66666667,58.33333333,58,58,58,58.66666667,58,58,58,57.66666667,58,57.66666667,58,58,58
114+04387,1,56.66666667,57,56.66666667,56.66666667,56.33333333,56,56.66666667,56.66666667,57,56.66666667,56.66666667,57.33333333,57,57,57.33333333,57.33333333,57.33333333,57.33333333,57,57,57.33333333,57,57.33333333,57.33333333,57.33333333,57,57,56,56,56.33333333,56.66666667,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,56,56,56,55.66666667,55.66666667,54,53,50.66666667,48,46.33333333,43,40.66666667,39,37.33333333,36.66666667,35.33333333,34.33333333,35,36.66666667,41,46,51,54.66666667,56.66666667,57,57,57,57,57,57,57,57,57,57,57.33333333,57,57,57,57.33333333,57,57,57,57,57
114+04388,1,57,57,56.33333333,56.66666667,55.66666667,54.66666667,54.66666667,55,55.66666667,58,58,58.33333333,58,58.33333333,58.33333333,58,58.33333333,58.33333333,58.66666667,58,57.66666667,57.33333333,57.33333333,57,56.66666667,56,55.66666667,55,54.33333333,54,54,54,55,54.66666667,55,54.66666667,54.66666667,55,54.66666667,55,55,54.66666667,55,55,54.66666667,54.66666667,54.33333333,54.33333333,54,54.33333333,54,54.33333333,54,53.66666667,53.66666667,54,54,53,53,51.33333333,50.33333333,50,49,48.66666667,48.33333333,48.33333333,47,47.33333333,47.33333333,47,48.33333333,50,51.33333333,53.33333333,54.66666667,55.66666667,55.66666667,55.66666667,55.66666667,55.66666667,56,56.66666667,56.66666667,56.66666667,56.66666667,56,56.33333333,56.66666667,57,57.66666667,58.66666667,58.33333333,57.66666667,57,56.33333333,56.66666667
114+04389,1,57,56.66666667,57,56.33333333,56.66666667,56.66666667,56.33333333,56,56.33333333,56.66666667,56.66666667,56.66666667,56.66666667,57,57.33333333,57,57,57,56.33333333,56.33333333,56.66666667,57,57,57.66666667,57.33333333,57.33333333,57,56,56.33333333,56.66666667,56.33333333,56.66666667,56.66666667,56.66666667,57,56.66666667,56.66666667,56.66666667,56.33333333,56.66666667,56.66666667,56.66666667,57,56.66666667,57,57,57,57,56.66666667,56.66666667,56.66666667,57,57,57,57,57,57,56.66666667,56,55.33333333,55,54.33333333,54.33333333,54.66666667,55,54.66666667,55,55,55,55,55.33333333,55.66666667,55.66666667,56.66666667,56.66666667,57,57,57,57,57,57.33333333,57,56.66666667,57,57,57,57.33333333,57,56.66666667,56.66666667,56.66666667,57,57,57,57,57.66666667
114+04390,1,58,57.66666667,57.33333333,57,56.66666667,56.66666667,56.66666667,56,56.33333333,56,55.66666667,56,55.66666667,56.33333333,56.33333333,56.33333333,56.66666667,55,54.66666667,54.33333333,54.66666667,55,55.33333333,54.66666667,54.33333333,54.33333333,54.66666667,54.33333333,54,54,53.66666667,54.33333333,55,55.33333333,55.33333333,55.33333333,55.33333333,55,54.66666667,53.66666667,54.66666667,54.33333333,55,55,55,55,55.66666667,55.66666667,56,56,55.66666667,55.66666667,55,55.33333333,55.33333333,55.33333333,55,54,53.33333333,53.33333333,52.33333333,53,54,54.66666667,54.33333333,53.33333333,50.66666667,50.66666667,52,53,54.33333333,55.66666667,56,56,56.66666667,57,57,56.66666667,57,57,57,57,56.66666667,56.66666667,57,57,57,57,57,57,56.66666667,57,56.66666667,57.33333333,57.33333333,57.33333333
114+04391,1,56.66666667,56.66666667,56,55.66666667,56,56,56.33333333,55.66666667,55.66666667,56,56.33333333,56.33333333,56,56.66666667,56.66666667,56.33333333,56.66666667,56.33333333,56,56.66666667,56,56,56,56,56,56,55.33333333,55,55.33333333,55.33333333,55.33333333,55.33333333,55.33333333,55.66666667,55.66666667,55.66666667,55.66666667,55.66666667,55.66666667,56,56,56,56,56,56,56,56,56,56,56,56,56,55.66666667,55.66666667,55.66666667,55.66666667,55.33333333,55,54.66666667,54,53.66666667,53.66666667,54,54,53,52.33333333,51.66666667,51.33333333,52,53,54,54.66666667,55,55.66666667,56,56,56,56,56,56.66666667,56,56,56,56,56.33333333,56.33333333,56.66666667,56.33333333,56.33333333,55.66666667,55.66666667,56,56,56,56.33333333,56.66666667
114+04392,1,55.33333333,55.33333333,56,56.33333333,56,55.33333333,54.66666667,54.33333333,54.33333333,54,54.66666667,54.66666667,54.66666667,55,54.33333333,54.33333333,54.33333333,54,54.33333333,53.66666667,54,53.33333333,54,53.33333333,53.66666667,53.33333333,53.33333333,53.66666667,53.66666667,53.66666667,53.33333333,53.33333333,53.33333333,53.66666667,54,53.66666667,54,54.33333333,54.33333333,55,54.33333333,54.33333333,54,54,54,55,55.33333333,55,56,55.33333333,55.33333333,55.33333333,55,55.33333333,55.33333333,55.33333333,55.66666667,55,54.33333333,54,53.66666667,53.66666667,52.66666667,52,50,49.66666667,49,48.33333333,48.33333333,49,51.66666667,53,54.33333333,55,55,55.33333333,55.66666667,55.66666667,56,56,55.33333333,56,54.66666667,54.66666667,55,54.33333333,55.33333333,55,55,55,56,56.33333333,56.66666667,56.66666667,56,55.66666667
