agent_id,trip_id,from_zone_id,to_zone_id,from_origin__node_id,to_destination_node_id,start_time_in_min,end_time_in_min,travel_time_in_min,demand_type,pricing_type,information_type,value_of_time,vehicle_type,vehicle_age,distance
68,0,26,1,1323,5577,425.21,446.00,20.79,1,1,1,5.00,1,15,2.99,
69,0,20,2,1357,11123,425.21,462.00,36.79,1,1,1,30.00,1,0,4.43,
70,0,18,2,1286,11123,425.21,436.00,10.79,1,1,1,30.00,1,0,1.98,
71,0,6,1,5238,5577,425.23,464.00,38.77,1,1,1,20.00,2,10,5.09,
72,0,28,1,1359,5577,425.36,486.00,60.64,1,1,1,10.00,1,15,4.81,
73,0,18,8,1286,10847,425.38,518.00,92.62,1,1,1,15.00,1,10,5.93,
74,0,31,4,8002,11180,425.38,438.00,12.62,1,1,1,15.00,2,5,1.99,
75,0,41,1,5578,5577,425.42,428.00,2.58,1,1,1,30.00,1,15,0.62,
76,0,16,21,11827,6253,425.43,460.00,34.57,1,1,1,30.00,1,10,5.11,
77,0,8,40,10847,1296,425.48,482.00,56.52,1,1,1,10.00,1,5,3.54,
78,0,22,30,3689,1360,425.48,438.00,12.52,1,1,1,15.00,2,5,0.98,
79,0,37,2,1353,11123,425.48,444.00,18.52,1,1,1,10.00,1,10,2.25,
80,0,14,3,5037,11159,425.48,468.00,42.52,1,1,1,10.00,1,5,3.93,
81,0,33,3,1351,11159,425.48,438.00,12.52,1,1,1,30.00,1,5,1.87,
82,0,14,8,5037,10847,425.53,464.00,38.47,1,1,1,30.00,1,5,4.09,
83,0,24,1,1325,5577,425.68,524.00,98.32,1,1,1,1.00,2,10,4.00,
84,0,28,3,1359,11159,425.73,454.00,28.27,1,1,1,1.00,1,10,2.37,
85,0,22,1,3689,5577,425.74,508.00,82.26,1,1,1,30.00,1,5,5.37,
86,0,12,1,11151,5577,425.82,466.00,40.18,1,1,1,20.00,1,10,2.95,
87,0,39,2,1404,11123,425.89,484.00,58.11,1,1,1,30.00,2,15,4.57,
88,0,18,28,1286,1359,426.06,474.00,47.94,1,1,1,10.00,1,5,5.34,
89,0,4,21,11180,6253,426.06,446.00,19.94,1,1,1,20.00,1,5,2.92,
90,0,26,8,1323,10847,426.06,446.00,19.94,1,1,1,10.00,1,10,2.11,
91,0,35,3,1290,11159,426.12,448.00,21.88,1,1,1,15.00,1,10,2.62,
92,0,14,1,5037,5577,426.12,450.00,23.88,1,1,1,1.00,1,5,2.29,
93,0,35,4,1290,11180,426.12,456.00,29.88,1,1,1,30.00,1,10,3.68,
94,0,35,1,1290,5577,426.16,436.00,9.84,1,1,1,20.00,1,0,1.36,
95,0,6,21,5238,6253,426.18,442.00,15.82,1,1,1,1.00,2,5,2.51,
96,0,35,28,1290,1359,426.24,466.00,39.76,1,1,1,20.00,1,10,3.86,
97,0,26,2,1323,11123,426.24,444.00,17.76,1,1,1,10.00,1,5,2.06,
98,0,33,8,1351,10847,426.30,446.00,19.70,1,1,1,15.00,1,5,2.70,
99,0,10,1,5929,5577,426.36,510.00,83.64,1,1,1,10.00,1,10,5.53,
100,0,28,21,1359,6253,426.36,438.00,11.64,1,1,1,20.00,1,5,1.56,
101,0,4,1,11180,5577,426.36,458.00,31.64,1,1,1,10.00,1,15,4.01,
102,0,4,8,11180,10847,426.40,448.00,21.60,1,1,1,30.00,1,10,3.10,
103,0,2,1,11123,5577,426.46,434.00,7.54,1,1,1,10.00,1,10,1.45,
104,0,22,3,3689,11159,426.49,476.00,49.51,1,1,1,15.00,1,5,2.93,
105,0,31,1,1314,5577,426.54,436.00,9.46,1,1,1,10.00,1,5,1.72,
106,0,39,1,1404,5577,426.55,514.00,87.45,1,1,1,30.00,1,5,5.50,
107,0,24,4,1325,11180,426.56,464.00,37.44,1,1,1,10.00,2,10,3.15,
108,0,14,2,5037,11123,426.56,450.00,23.44,1,1,1,30.00,2,10,2.82,
109,0,33,1,1351,5577,426.56,458.00,31.44,1,1,1,10.00,1,10,4.30,
110,0,16,3,11827,11159,426.63,452.00,25.37,1,1,1,10.00,2,5,2.95,
111,0,8,28,10847,1359,426.63,438.00,11.37,1,1,1,10.00,1,15,0.96,
112,0,18,1,1286,5577,426.70,432.00,5.30,1,1,1,10.00,2,5,0.90,
113,0,41,1,5578,5577,426.77,430.00,3.23,1,1,1,10.00,1,5,0.62,
114,0,31,8,1314,10847,426.80,470.00,43.20,1,1,1,30.00,1,15,4.24,
115,0,37,1,1349,5577,426.81,452.00,25.19,1,1,1,30.00,1,5,3.67,
116,0,4,19,11180,1352,426.82,434.00,7.18,1,1,1,20.00,1,5,0.90,
117,0,24,2,1325,11123,426.85,462.00,35.15,1,1,1,20.00,1,5,3.35,
118,0,20,1,1356,5577,426.87,468.00,41.13,1,1,1,15.00,1,10,4.80,
119,0,28,8,1359,10847,426.92,436.00,9.08,1,1,1,30.00,1,10,0.96,
120,0,26,1,1323,5577,426.94,450.00,23.06,1,1,1,15.00,1,0,2.99,
121,0,12,30,11151,1360,427.00,452.00,25.00,1,1,1,15.00,1,5,1.95,
122,0,24,1,1325,5577,427.09,526.00,98.91,1,1,1,10.00,2,5,4.00,
123,0,20,8,1356,10847,427.16,440.00,12.84,1,1,1,15.00,2,5,1.65,
124,0,16,4,11827,11180,427.24,460.00,32.76,1,1,1,5.00,1,10,4.01,
125,0,8,1,10847,5577,427.27,526.10,98.83,1,1,1,10.00,1,5,5.63,
126,0,33,3,1351,11159,427.30,438.00,10.70,1,1,1,30.00,1,10,1.87,
127,0,37,4,1349,11180,427.33,432.00,4.67,1,1,1,30.00,1,5,0.80,
128,0,31,3,1316,11159,427.33,436.00,8.67,1,1,1,15.00,1,0,1.30,
129,0,28,4,1359,11180,427.33,462.10,34.77,1,1,1,10.00,1,0,2.86,
130,0,14,1,5037,5577,427.34,454.00,26.66,1,1,1,15.00,1,5,2.29,
131,0,10,40,5929,1296,427.37,472.00,44.63,1,1,1,5.00,1,5,3.44,
132,0,37,3,1349,11159,427.50,436.00,8.50,1,1,1,10.00,1,15,1.23,
133,0,39,30,1404,1360,427.50,442.00,14.50,1,1,1,10.00,1,15,1.11,
134,0,31,10,1316,5929,427.59,466.00,38.41,1,1,1,20.00,1,10,3.65,
135,0,35,6,1290,5238,427.59,460.00,32.41,1,1,1,15.00,1,10,4.76,
136,0,28,12,1359,11151,427.59,442.00,14.41,1,1,1,10.00,2,5,1.94,
137,0,12,8,11151,10847,427.59,454.00,26.41,1,1,1,5.00,1,10,2.88,
138,0,35,2,1290,11123,427.59,438.00,10.41,1,1,1,10.00,1,5,1.52,
139,0,16,1,11827,5577,427.65,434.00,6.35,1,1,1,20.00,1,5,0.90,
140,0,22,1,3689,5577,427.66,518.10,90.44,1,1,1,10.00,1,15,5.37,
141,0,6,3,5238,11159,427.68,444.00,16.32,1,1,1,10.00,2,5,2.65,
142,0,31,2,1318,11123,427.68,442.00,14.32,1,1,1,20.00,1,10,1.79,
143,0,14,13,5037,5034,427.68,442.00,14.32,1,1,1,1.00,2,10,1.50,
144,0,12,1,11151,5577,427.75,470.00,42.25,1,1,1,10.00,1,15,2.95,
145,0,33,7,1351,11281,427.78,438.00,10.22,1,1,1,10.00,1,10,1.60,
146,0,18,40,1286,1296,427.78,452.00,24.22,1,1,1,5.00,1,15,2.49,
147,0,28,11,1359,5119,427.78,442.10,14.32,1,1,1,30.00,1,5,0.97,
148,0,31,9,1318,5356,427.78,458.00,30.22,1,1,1,5.00,1,5,3.23,
149,0,26,13,1323,5034,427.78,450.00,22.22,1,1,1,10.00,1,0,2.82,
150,0,35,5,1290,11282,427.78,460.00,32.22,1,1,1,20.00,1,5,4.39,
151,0,6,1,5238,5577,427.84,468.00,40.16,1,1,1,10.00,1,5,5.09,
152,0,16,2,11827,11123,427.88,440.00,12.13,1,1,1,5.00,2,5,1.98,
153,0,28,2,1359,11123,427.88,470.00,42.13,1,1,1,30.00,1,5,3.88,
154,0,24,8,1325,10847,427.97,454.00,26.03,1,1,1,10.00,1,5,1.93,
155,0,26,12,1323,11151,427.97,452.00,24.03,1,1,1,60.00,1,5,2.92,
156,0,28,10,1359,5929,427.97,436.00,8.03,1,1,1,15.00,2,5,0.86,
157,0,14,12,5037,11151,427.97,444.00,16.03,1,1,1,5.00,1,5,1.60,
158,0,33,6,1351,5238,427.97,434.00,6.03,1,1,1,1.00,1,15,1.29,
159,0,28,1,1359,5577,428.04,490.00,61.96,1,1,1,10.00,1,10,4.81,
160,0,10,4,5929,11180,428.08,452.00,23.92,1,1,1,10.00,1,10,2.56,
161,0,8,21,10847,6253,428.08,434.00,5.92,1,1,1,30.00,1,10,0.86,
162,0,39,40,1404,1296,428.11,484.00,55.89,1,1,1,30.00,1,15,3.41,
163,0,41,1,5578,5577,428.13,432.00,3.87,1,1,1,5.00,2,5,0.62,
164,0,28,9,1359,5356,428.18,438.00,9.82,1,1,1,15.00,1,5,1.03,
165,0,39,1,1404,5577,428.18,526.00,97.82,1,1,1,30.00,2,5,5.50,
166,0,14,4,5037,11180,428.18,480.00,51.82,1,1,1,15.00,1,5,4.98,
167,0,33,5,1351,11282,428.18,434.00,5.82,1,1,1,10.00,1,0,0.92,
168,0,33,4,1351,11180,428.18,434.00,5.82,1,1,1,30.00,1,0,0.90,
169,0,24,13,1325,5034,428.18,454.00,25.82,1,1,1,5.00,1,5,1.99,
170,0,26,11,1323,5119,428.18,448.10,19.92,1,1,1,30.00,2,10,1.51,
171,0,22,8,3689,10847,428.18,434.00,5.82,1,1,1,30.00,1,15,0.46,
172,0,31,7,8002,11281,428.18,450.00,21.82,1,1,1,10.00,1,15,3.37,
173,0,35,1,1290,5577,428.21,438.00,9.79,1,1,1,30.00,2,5,1.36,
174,0,37,2,1353,11123,428.22,446.00,17.78,1,1,1,5.00,1,5,2.25,
