time_stamp_in_min,time_clock,cumulative_in_flow_count,cumulative_out_flow_count,number_vehicles_in_network,total_out_flow,total_vehicle_mile_traveled,avg_trip_time (departure_time_based),avg_trip_time_index = trip time/FFTT,avg_distance,avg_speed,avg_waiting_time_at_origin,
960,16:00,3123,2006,1117, ,2592.23,24.2838,4.80741,3.24029,8.00605,0.0106915,
965,16:05,3673,2412,1261, ,1361,26.4825,6.14489,2.74949,6.22937,0.0491993,
970,16:10,4216,2816,1400, ,2591.54,32.7009,6.69799,3.10365,5.69462,0.272703,
975,16:15,4765,3219,1546, ,2057.7,40.6261,8.26155,3.14153,4.63967,0.74061,
980,16:20,5306,3608,1698, ,2061.76,40.1402,8.3552,3.032,4.53212,0.832069,
985,16:25,5855,4005,1850, ,1507.66,44.6684,9.32917,3.01533,4.05028,0.894446,
990,16:30,6411,4409,2002, ,3265.36,45.935,10.1072,2.92857,3.82528,0.91531,
995,16:35,6965,4785,2180, ,2361.51,50.4774,10.369,3.16981,3.7678,1.04387,
1000,16:40,7498,5156,2342, ,1905.67,53.9486,11.7799,2.95453,3.28593,1.42071,
1005,16:45,7992,5498,2494, ,1690.96,56.0994,11.9111,3.04677,3.25862,6.64891,
1010,16:50,8579,5821,2758, ,2583.74,51.4455,10.7148,3.02192,3.52441,8.38822,
1015,16:55,9133,6131,3002, ,1878.72,52.3843,10.951,3.03019,3.47072,11.2359,
1020,17:00,9717,6473,3244, ,2617.3,53.4378,11.4915,2.9742,3.33944,15.1634,
1025,17:05,10185,6804,3381, ,1008.65,49.5434,10.111,3.10355,3.75859,12.6787,
1030,17:10,10777,7124,3653, ,1861.35,48.6087,10.3706,2.97816,3.67608,13.5303,
1035,17:15,11346,7425,3921, ,1974.41,45.2212,9.81216,2.90355,3.85246,15.0425,
1040,17:20,11895,7723,4172, ,1884.94,44.4908,9.64102,2.94522,3.97191,13.2197,
1045,17:25,12419,8027,4392, ,1244.3,41.3383,9.05638,2.89373,4.20006,15.7267,
1050,17:30,12638,8313,4325, ,0,0,0,0,0,0,
1055,17:35,12638,8597,4041, ,0,0,0,0,0,0,
1060,17:40,12638,8858,3780, ,0,0,0,0,0,0,
1065,17:45,12638,9106,3532, ,0,0,0,0,0,0,
1070,17:50,12638,9375,3263, ,0,0,0,0,0,0,
1075,17:55,12638,9638,3000, ,0,0,0,0,0,0,
1080,18:00,12638,9897,2741, ,0,0,0,0,0,0,
1085,18:05,12638,10154,2484, ,0,0,0,0,0,0,
1090,18:10,12638,10404,2234, ,0,0,0,0,0,0,
1095,18:15,12638,10641,1997, ,0,0,0,0,0,0,
1100,18:20,12638,10863,1775, ,0,0,0,0,0,0,
1105,18:25,12638,11087,1551, ,0,0,0,0,0,0,
1110,18:30,12638,11303,1335, ,0,0,0,0,0,0,
1115,18:35,12638,11504,1134, ,0,0,0,0,0,0,
1120,18:40,12638,11649,989, ,0,0,0,0,0,0,
1125,18:45,12638,11784,854, ,0,0,0,0,0,0,
1130,18:50,12638,11908,730, ,0,0,0,0,0,0,
1135,18:55,12638,12013,625, ,0,0,0,0,0,0,
1140,19:00,12638,12123,515, ,0,0,0,0,0,0,
1145,19:05,12638,12218,420, ,0,0,0,0,0,0,
1150,19:10,12638,12306,332, ,0,0,0,0,0,0,
1155,19:15,12638,12388,250, ,0,0,0,0,0,0,
1160,19:20,12638,12460,178, ,0,0,0,0,0,0,
1165,19:25,12638,12536,102, ,0,0,0,0,0,0,
1170,19:30,12638,12607,31, ,0,0,0,0,0,0,
1175,19:35,12638,12638,0, ,0,0,0,0,0,0,
Unit of output:
travel time=,min
travel Cost=,dollar
distance=,miles
speed=,mph
energy=,1000 joule
CO2=,gram


--MOE Group 1--
 , , , , , , , , , , , , , , , , ,
,#_of_vehicles,percentage,avg_distance,avg_travel_time,avg_speed,avg_toll_cost,avg_energy_K_joule,avg_CO2_gram,avg_NOX_gram,avg_CO_gram,avg_HC_gram,avg_energy_K_joule_per_mile,avg_CO2_gram_per_mile,avg_NOX_gram_per_mile,avg_CO_gram_per_mile,avg_HC_gram_per_mile,avg_MilesPerGallon,
network,12638,100,2.98096,36.5143,4.8983,0,55813.2,4011.11,0.509414,21.8466,0.181184,18723.2,1345.58,0.170889,7.32872,0.0607804,6.49996,


--MOE Group 2--
 , , , , , , , , , , , , , , , , ,
,#_of_vehicles,percentage,avg_distance,avg_travel_time,avg_speed,avg_toll_cost,avg_energy_K_joule,avg_CO2_gram,avg_NOX_gram,avg_CO_gram,avg_HC_gram,avg_energy_K_joule_per_mile,avg_CO2_gram_per_mile,avg_NOX_gram_per_mile,avg_CO_gram_per_mile,avg_HC_gram_per_mile,avg_MilesPerGallon,
sov,12638,100,2.98096,36.5143,4.8983,0,55813.2,4011.11,0.509414,21.8466,0.181184,18723.2,1345.58,0.170889,7.32872,0.0607804,6.49996,
hov,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
truck,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,


--MOE Group 3--
 , , , , , , , , , , , , , , , , ,
,#_of_vehicles,percentage,avg_distance,avg_travel_time,avg_speed,avg_toll_cost,avg_energy_K_joule,avg_CO2_gram,avg_NOX_gram,avg_CO_gram,avg_HC_gram,avg_energy_K_joule_per_mile,avg_CO2_gram_per_mile,avg_NOX_gram_per_mile,avg_CO_gram_per_mile,avg_HC_gram_per_mile,avg_MilesPerGallon,
passenger_car,10042,79.4588,2.98767,36.4988,4.9114,0,54121.4,3889.53,0.351605,21.4643,0.145537,18114.9,1301.86,0.117685,7.1843,0.0487126,6.71821,
passenger_truck,2596,20.5412,2.95502,36.5742,4.84772,0,62356.6,4481.35,1.11986,23.3256,0.319073,21101.9,1516.52,0.378969,7.89354,0.107976,5.76725,
light_commercial-truck,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
single_unit_long-haul_truck,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
combination_long-haul_truck,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,


--MOE Group 4--
 , , , , , , , , , , , , , , , , ,
,#_of_vehicles,percentage,avg_distance,avg_travel_time,avg_speed,avg_toll_cost,avg_energy_K_joule,avg_CO2_gram,avg_NOX_gram,avg_CO_gram,avg_HC_gram,avg_energy_K_joule_per_mile,avg_CO2_gram_per_mile,avg_NOX_gram_per_mile,avg_CO_gram_per_mile,avg_HC_gram_per_mile,avg_MilesPerGallon,
OD1,15,0.11869,1.4541,72.12,1.20973,0,87210.2,6267.5,0.606866,27.1455,0.220304,59975.4,4310.23,0.417348,18.6683,0.151506,2.02917,
OD2,15,0.11869,1.4541,16.5867,5.26001,0,19749.8,1419.36,0.132005,5.8091,0.0458883,13582.2,976.106,0.090781,3.99498,0.0315579,8.96027,


--MOE Group 5--
 , , , , , , , , , , , , , , , , ,
,#_of_vehicles,percentage,avg_distance,avg_travel_time,avg_speed,avg_toll_cost,avg_energy_K_joule,avg_CO2_gram,avg_NOX_gram,avg_CO_gram,avg_HC_gram,avg_energy_K_joule_per_mile,avg_CO2_gram_per_mile,avg_NOX_gram_per_mile,avg_CO_gram_per_mile,avg_HC_gram_per_mile,avg_MilesPerGallon,
link_48_41_ NB freeway,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
link_39_44_NB freeway,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
link_48_41_SB freeway,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
link_39_44_ SB freeway,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,


--MOE Group 6--
 , , , , , , , , , , , , , , , , ,
,#_of_vehicles,percentage,avg_distance,avg_travel_time,avg_speed,avg_toll_cost,avg_energy_K_joule,avg_CO2_gram,avg_NOX_gram,avg_CO_gram,avg_HC_gram,avg_energy_K_joule_per_mile,avg_CO2_gram_per_mile,avg_NOX_gram_per_mile,avg_CO_gram_per_mile,avg_HC_gram_per_mile,avg_MilesPerGallon,
Path1_Major freeway route,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Path2_Major freeway route,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Path3_Major arterial route,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Path4_Major arterial route,12638,100,2.98096,36.5143,4.8983,0,55813.2,4011.11,0.509414,21.8466,0.181184,18723.2,1345.58,0.170889,7.32872,0.0607804,6.49996,


--MOE Group 7--
Detailed Data:,output_NetworkTDMOE.csv
time_stamp_in_min,cumulative_in_flow_count,cumulative_out_flow_count,number_vehicles_in_network,flow_in_a_min,avg_trip_time_in_min
930,28,0,28,28,5.8692,
931,74,0,74,46,5.40654,
932,131,3,128,57,5.59965,
933,221,16,205,90,6.08369,
934,297,36,261,76,6.67291,
935,406,63,343,109,6.78006,
936,479,92,387,73,8.12024,
937,602,134,468,123,6.81059,
938,741,197,544,139,8.10875,
