agent_id,trip_id,from_zone_id,to_zone_id,from_origin__node_id,to_destination_node_id,departure_time,arrival_time,buffer_waiting_time,complete_flag,trip_time,demand_type,pricing_type,vehicle_type,information_type,value_of_time,number_of_nodes,path_node_sequence,path_time_sequence
0,0,14,2,5037,11123,930.05,934.6,0.05,c,4.55,1,6,2,1,20,13,5037;11128;5030;4958;5010;5240;5009;5863;5524;5022;11124;5017;11123;,930.1;930.4;930.6;930.9;931.1;931.4;931.9;932.2;933.0;933.3;933.6;934.2;934.6;
1,0,21,18,6253,1286,930.05,941.6,0.05,c,11.55,1,6,2,1,30,23,6253;5868;5174;5587;11259;5214;11261;5208;5209;5211;5210;11172;5112;11160;5113;11148;5736;11146;5017;5018;5436;11125;1286;,930.1;930.8;931.2;931.7;932.3;932.6;933.0;933.4;934.0;934.5;934.9;935.7;936.1;936.6;936.9;937.4;937.7;938.0;938.4;939.1;939.8;940.2;941.6;
