movement_index,three-node key,count
214,1285;5018;6185,18
215,1285;5018;6255,20
216,1285;5018;6256,174
217,1286;11125;1289,8
218,1286;11125;5436,132
219,1286;11125;5440,242
220,1289;11124;1319,12
221,1289;11124;5022,1
222,1289;11125;1286,15
223,1289;11125;5436,1
224,1289;4952;1290,5
225,1289;4952;5022,369
226,1289;4952;5440,87
227,1289;5018;1285,14
228,1289;5018;5017,137
229,1289;5018;5436,82
230,1290;4952;1289,4
231,1290;4952;5022,142
232,1290;4952;5440,50
233,1296;5240;5010,3
234,1299;11129;5027,41
235,1299;11129;5034,4
236,1299;4958;5010,16
237,1299;4958;5030,25
238,1314;11146;1319,6
239,1314;11146;5017,44
240,1314;11146;5736,57
241,1316;11148;1320,1
242,1316;11148;5113,56
243,1316;11148;5736,47
244,1318;11160;5112,57
245,1318;11160;5113,46
246,1319;11124;1289,12
247,1319;11146;1314,3
248,1319;11146;5017,29
249,1319;11146;5736,25
250,1319;11147;5022,92
251,1319;11147;5820,61
252,1320;11148;5113,86
253,1320;11148;5736,24
254,1320;5820;11147,51
255,1320;5820;5103,18
256,1322;11160;5112,26
257,1322;11160;5113,65
258,1322;11161;1323,2
259,1322;11161;5103,1
260,1322;11161;5114,3
261,1322;5589;1353,4
262,1322;5589;5114,114
263,1323;11161;1322,2
264,1323;11161;5103,80
265,1323;11161;5114,53
266,1323;5592;1,76
267,1325;10853;11910,56
268,1325;10853;6270,39
269,1346;11172;5112,145
270,1346;11172;5210,79
271,1348;5210;11172,140
272,1348;5210;5211,81
273,1349;11181;11182,73
274,1349;11181;1352,3
275,1349;5210;11172,75
276,1349;5210;5211,8
277,1349;5219;11173,84
278,1351;5209;1352,5
279,1351;5209;5208,31
280,1351;5209;5211,120
281,1352;11181;11182,23
282,1352;11181;1349,1
283,1352;11261;1397,5
284,1352;11261;5208,2
285,1352;5209;1351,2
286,1352;5209;5208,5
287,1352;5209;5211,79
288,1352;6256;1356,2
289,1352;6256;5214,34
290,1352;6256;5232,98
291,1353;11172;5112,2
292,1353;11172;5210,24
293,1353;11173;5114,8
294,1353;11173;5219,58
295,1353;5589;1322,7
296,1353;5589;5112,58
297,1353;5589;5114,89
298,1354;11173;5114,53
299,1354;11173;5219,17
300,1354;5592;1,54
301,1354;5592;1323,2
302,1354;5592;5114,2
303,1355;11183;5215,51
304,1355;5219;11173,61
305,1355;5219;5232,17
306,1356;11183;5215,51
307,1356;11259;5214,6
308,1356;6255;10857,4
309,1356;6255;1357,12
310,1356;6256;1352,6
311,1356;6256;5232,37
312,1357;5174;5587,5
313,1357;5174;5868,25
314,1357;5588;11184,23
315,1357;5588;5215,41
316,1357;6255;10857,1
317,1357;6255;1356,3
318,1358;3000;3001,1070
319,1358;5117;11255,33
320,1358;5117;5,355
321,1358;5117;5106,252
322,1359;3001;3000,178
323,1359;3001;8172,99
324,1359;6185;5175,18
325,1397;11261;1352,1
326,1397;11261;5208,10
327,1397;11261;5214,24
328,1404;11257;11184,3
329,1404;11257;5175,20
330,1;2;3,1719
331,1;5592;1323,20
332,1;5592;1354,5
333,1;5592;5114,698
334,2;1;5592,723
335,2;3;4,1719
336,3000;1358;5117,640
337,3000;3001;1359,188
338,3000;3001;8172,884
339,3001;3000;1358,178
340,3001;8172;11489,84
341,3001;8172;5730,77
342,3001;8172;6185,822
343,3;2;1,723
344,3;4;5,1719
345,4156;10849;7984,1
346,4804;5106;10852,669
347,4804;5106;5117,445
348,4804;5109;11150,481
349,4804;5109;11151,15
350,4899;5030;10872,24
351,4899;5030;11128,7
352,4899;5030;4958,76
353,4952;5022;11124,19
354,4952;5022;11147,514
355,4952;5022;5524,153
356,4952;5440;11125,132
357,4952;5440;11127,85
358,4952;5440;11827,230
359,4958;5010;5027,613
360,4958;5010;5240,141
361,4958;5030;10872,126
362,4958;5030;11128,535
363,4958;5030;4899,198
364,4;3;2,723
365,4;5;5117,1719
366,5009;5027;11129,234
367,5009;5027;11150,269
368,5009;5240;1296,26
369,5009;5240;5010,556
370,5009;5863;5524,211
371,5010;4958;1299,54
372,5010;4958;5030,834
373,5010;5027;11129,115
374,5010;5027;11150,499
375,5010;5240;1296,18
376,5010;5240;5009,132
377,5017;11124;5022,642
378,5017;11146;1314,33
379,5017;11146;1319,41
380,5017;11146;5736,1314
381,5017;5018;1285,176
382,5017;5018;1289,103
383,5017;5018;5436,1050
384,5018;5017;11123,47
385,5018;5017;11124,149
386,5018;5017;11146,1015
387,5018;5436;11125,193
388,5018;5436;5577,198
389,5018;5436;5578,858
390,5022;11124;1289,44
391,5022;11124;5017,199
392,5022;11147;1319,21
393,5022;11147;5820,764
394,5022;4952;1289,33
395,5022;4952;1290,65
396,5022;4952;5440,310
397,5022;5524;5863,1085
398,5027;11129;1299,40
399,5027;11129;5034,597
400,5027;11150;5109,943
401,5027;5009;5863,79
402,5027;5010;4958,330
403,5027;5010;5240,9
404,5030;10872;5861,210
405,5030;11128;5037,735
406,5030;4958;1299,40
407,5030;4958;5010,738
408,5034;11129;1299,3
409,5034;11129;5027,230
410,5037;11128;5030,282
411,5103;11161;1322,17
412,5103;11161;1323,48
413,5103;11161;5114,736
414,5103;5820;11147,893
415,5103;5820;1320,38
416,5106;10852;10851,669
417,5106;4804;5109,496
418,5106;5117;1358,327
419,5106;5117;5,118
420,5109;11150;5027,610
421,5109;4804;5106,1114
422,5112;11160;1318,49
423,5112;11160;1322,59
424,5112;11160;5113,1420
425,5112;11172;1346,62
426,5112;11172;1353,37
427,5112;11172;5210,1163
428,5112;5589;1322,1
429,5112;5589;1353,24
430,5112;5589;5114,1272
431,5113;11148;1316,40
432,5113;11148;1320,72
433,5113;11148;5736,1430
434,5113;11160;1318,33
435,5113;11160;1322,115
436,5113;11160;5112,1373
437,5114;11161;1323,50
438,5114;11161;5103,850
