from_node_id,to_node_id,day_no,starting_time_in_min,ending_time_in_min,travel_time_in_min
1285,5018,0,960,975,1.07
1285,5018,0,975,990,1.68
1285,5018,0,990,1005,4.45
1285,5018,0,1005,1020,54.31
1285,5018,0,1020,1035,54.84
1285,5018,0,1035,1050,48.28
1286,11125,0,1005,1020,75.42
1286,11125,0,1020,1035,78.36
1286,11125,0,1035,1050,69.04
1289,5018,0,960,975,1.09
1289,5018,0,975,990,1.72
1289,5018,0,990,1005,12.02
1289,5018,0,1005,1020,51.12
1289,5018,0,1020,1035,50.55
1289,5018,0,1035,1050,50.58
1314,11146,0,1005,1020,1.08
1314,11146,0,1020,1035,1.43
1314,11146,0,1035,1050,3.75
1316,11148,0,990,1005,0.97
1316,11148,0,1005,1020,0.95
1316,11148,0,1020,1035,1.87
1316,11148,0,1035,1050,2.61
1318,11160,0,975,990,0.70
1318,11160,0,990,1005,0.77
1318,11160,0,1005,1020,0.80
1318,11160,0,1020,1035,0.82
1318,11160,0,1035,1050,0.75
1320,11148,0,990,1005,0.84
1320,11148,0,1005,1020,1.28
1320,11148,0,1020,1035,1.57
1320,11148,0,1035,1050,4.04
1322,5589,0,960,975,0.85
1322,5589,0,975,990,0.69
1322,5589,0,990,1005,0.77
1322,5589,0,1005,1020,0.90
1322,5589,0,1020,1035,0.71
1322,5589,0,1035,1050,0.86
1323,5592,0,930,945,0.79
1323,5592,0,945,960,0.83
1323,5592,0,960,975,0.79
1323,5592,0,975,990,0.83
1323,5592,0,990,1005,0.78
1323,5592,0,1005,1020,0.85
1323,5592,0,1020,1035,0.79
1323,5592,0,1035,1050,0.88
1346,11172,0,945,960,0.75
1346,11172,0,960,975,0.91
1346,11172,0,975,990,1.12
1346,11172,0,990,1005,1.02
1346,11172,0,1005,1020,1.47
1346,11172,0,1020,1035,1.14
1346,11172,0,1035,1050,2.87
1348,5210,0,960,975,0.87
1348,5210,0,975,990,1.02
1348,5210,0,990,1005,1.75
1348,5210,0,1005,1020,1.41
1348,5210,0,1020,1035,1.39
1348,5210,0,1035,1050,2.46
1349,5210,0,960,975,0.77
1349,5210,0,975,990,0.80
1349,5210,0,990,1005,1.52
1349,5210,0,1005,1020,1.52
1349,5210,0,1020,1035,1.15
1349,5210,0,1035,1050,4.27
1351,5209,0,990,1005,4.14
1351,5209,0,1005,1020,4.04
1351,5209,0,1020,1035,2.59
1351,5209,0,1035,1050,5.41
