movement_index,three-node key,count
215,1346;11172;5210,77
216,1348;5210;11172,140
217,1348;5210;5211,75
218,1349;11181;11182,66
219,1349;11181;1352,2
220,1349;5210;11172,73
221,1349;5210;5211,14
222,1349;5219;11173,96
223,1351;5209;1352,4
224,1351;5209;5208,35
225,1351;5209;5211,116
226,1352;11181;11182,8
227,1352;11181;1349,1
228,1352;11261;1397,5
229,1352;5209;1351,3
230,1352;5209;5208,7
231,1352;5209;5211,93
232,1352;6256;1356,3
233,1352;6256;5214,34
234,1352;6256;5232,100
235,1353;11172;5112,19
236,1353;11172;5210,30
237,1353;11173;5114,8
238,1353;11173;5219,46
239,1353;5589;1322,8
240,1353;5589;5112,32
241,1353;5589;5114,96
242,1354;11173;5114,59
243,1354;11173;5219,25
244,1354;5592;1,45
245,1354;5592;1323,2
246,1354;5592;5114,4
247,1355;11183;5215,39
248,1355;5219;11173,74
249,1355;5219;5232,12
250,1356;11183;5215,23
251,1356;11259;5214,7
252,1356;6255;10857,12
253,1356;6256;1352,5
254,1356;6256;5232,50
255,1357;5174;5587,5
256,1357;5174;5868,17
257,1357;5588;11184,32
258,1357;5588;5215,43
259,1358;3000;3001,1081
260,1358;5117;11255,190
261,1358;5117;5,236
262,1358;5117;5106,222
263,1359;3001;3000,209
264,1359;3001;8172,12
265,1359;6185;5175,75
266,1360;10850;7210,1
267,1360;5730;8172,3
268,1397;11261;1352,1
269,1397;11261;5208,18
270,1397;11261;5214,15
271,1404;11257;11184,3
272,1404;11257;5175,20
273,1;2;3,1511
274,1;5592;1323,15
275,1;5592;1354,7
276,1;5592;5114,406
277,2;1;5592,428
278,2;3;4,1511
279,3000;1358;5117,648
280,3000;3001;1359,195
281,3000;3001;8172,888
282,3001;3000;1358,209
283,3001;8172;11489,105
284,3001;8172;5730,9
285,3001;8172;6185,786
286,3;2;1,428
287,3;4;5,1511
288,4804;5106;10852,805
289,4804;5106;5117,370
290,4804;5109;11150,391
291,4804;5109;11151,13
292,4899;5030;10872,24
293,4899;5030;11128,6
294,4899;5030;4958,83
295,4952;5022;11124,19
296,4952;5022;11147,302
297,4952;5022;5524,187
298,4952;5440;11125,51
299,4952;5440;11127,84
300,4952;5440;11827,109
301,4958;5010;5027,692
302,4958;5010;5240,120
303,4958;5030;10872,240
304,4958;5030;11128,532
305,4958;5030;4899,198
306,4;3;2,428
307,4;5;5117,1511
308,5009;5027;11129,424
309,5009;5027;11150,328
310,5009;5240;1296,33
311,5009;5240;5010,591
312,5009;5863;5524,303
313,5010;4958;1299,40
314,5010;4958;5030,945
315,5010;5027;11129,114
316,5010;5027;11150,578
317,5010;5240;1296,7
318,5010;5240;5009,113
319,5017;11124;5022,743
320,5017;11146;1314,28
321,5017;11146;1319,39
