movement_index,three-node key,count
1,10847;5216;11507,58,phase,-1,perm_phase,-1,detect_phase,-1
2,10847;5216;5356,5,phase,-1,perm_phase,-1,detect_phase,-1
3,10847;5216;5868,12,phase,-1,perm_phase,-1,detect_phase,-1
4,10849;7984;5728,1,phase,-1,perm_phase,-1,detect_phase,-1
5,10850;4156;10849,1,phase,-1,perm_phase,-1,detect_phase,-1
6,10851;10852;5106,107,phase,-1,perm_phase,-1,detect_phase,-1
7,10851;6273;6270,669,phase,-1,perm_phase,-1,detect_phase,-1
8,10852;10851;6273,669,phase,-1,perm_phase,-1,detect_phase,-1
9,10852;5106;4804,107,phase,-1,perm_phase,-1,detect_phase,-1
10,10853;11910;5118,354,phase,-1,perm_phase,-1,detect_phase,-1
11,10853;6270;6273,107,phase,-1,perm_phase,-1,detect_phase,-1
12,10854;5118;11255,0,phase,0,perm_phase,0,detect_phase,0
13,10854;5118;11910,201,phase,0,perm_phase,0,detect_phase,0
14,10854;5118;5727,276,phase,0,perm_phase,0,detect_phase,0
15,10854;7210;10850,1,phase,-1,perm_phase,-1,detect_phase,-1
16,10854;7210;11763,143,phase,-1,perm_phase,-1,detect_phase,-1
17,10857;5587;11259,1,phase,0,perm_phase,0,detect_phase,0
18,10857;5587;5174,13,phase,0,perm_phase,0,detect_phase,0
19,10857;6255;1356,4,phase,-1,perm_phase,-1,detect_phase,-1
20,10857;6255;1357,12,phase,-1,perm_phase,-1,detect_phase,-1
21,10857;6255;5215,1,phase,-1,perm_phase,-1,detect_phase,-1
22,10872;5030;11128,193,phase,0,perm_phase,0,detect_phase,0
23,10872;5030;4899,72,phase,0,perm_phase,0,detect_phase,0
24,10872;5030;4958,486,phase,0,perm_phase,0,detect_phase,0
25,10872;5861;5441,210,phase,-1,perm_phase,-1,detect_phase,-1
26,11123;5017;11124,261,phase,0,perm_phase,0,detect_phase,0
27,11123;5017;11146,321,phase,0,perm_phase,0,detect_phase,0
28,11123;5017;5018,133,phase,0,perm_phase,0,detect_phase,0
29,11124;5017;11123,40,phase,0,perm_phase,0,detect_phase,0
30,11124;5017;11146,52,phase,0,perm_phase,0,detect_phase,0
31,11124;5017;5018,107,phase,0,perm_phase,0,detect_phase,0
32,11124;5022;11147,150,phase,0,perm_phase,0,detect_phase,0
33,11124;5022;4952,51,phase,0,perm_phase,0,detect_phase,0
34,11124;5022;5524,442,phase,0,perm_phase,0,detect_phase,0
35,11125;5436;5018,107,phase,0,perm_phase,0,detect_phase,0
36,11125;5436;5577,45,phase,0,perm_phase,0,detect_phase,0
37,11125;5436;5578,205,phase,0,perm_phase,0,detect_phase,0
38,11125;5440;11127,621,phase,0,perm_phase,0,detect_phase,0
39,11125;5440;11827,86,phase,0,perm_phase,0,detect_phase,0
40,11125;5440;4952,130,phase,0,perm_phase,0,detect_phase,0
41,11126;11127;5440,210,phase,-1,perm_phase,-1,detect_phase,-1
42,11126;5441;5861,751,phase,-1,perm_phase,-1,detect_phase,-1
43,11127;11126;5441,751,phase,-1,perm_phase,-1,detect_phase,-1
44,11127;5440;11125,162,phase,0,perm_phase,0,detect_phase,0
45,11127;5440;11827,34,phase,0,perm_phase,0,detect_phase,0
46,11127;5440;4952,14,phase,0,perm_phase,0,detect_phase,0
47,11128;5030;10872,60,phase,0,perm_phase,0,detect_phase,0
48,11128;5030;4899,6,phase,0,perm_phase,0,detect_phase,0
49,11128;5030;4958,216,phase,0,perm_phase,0,detect_phase,0
50,11129;5027;11150,175,phase,0,perm_phase,0,detect_phase,0
51,11129;5027;5009,38,phase,0,perm_phase,0,detect_phase,0
52,11129;5027;5010,58,phase,0,perm_phase,0,detect_phase,0
53,11146;1319;11124,5,phase,-1,perm_phase,-1,detect_phase,-1
54,11146;1319;11147,26,phase,-1,perm_phase,-1,detect_phase,-1
55,11146;5017;11123,106,phase,0,perm_phase,0,detect_phase,0
56,11146;5017;11124,232,phase,0,perm_phase,0,detect_phase,0
57,11146;5017;5018,1089,phase,0,perm_phase,0,detect_phase,0
58,11146;5736;11148,1375,phase,-1,perm_phase,-1,detect_phase,-1
59,11146;5736;8116,21,phase,-1,perm_phase,-1,detect_phase,-1
60,11147;1319;11124,4,phase,-1,perm_phase,-1,detect_phase,-1
61,11147;1319;11146,8,phase,-1,perm_phase,-1,detect_phase,-1
62,11147;5022;11124,143,phase,0,perm_phase,0,detect_phase,0
63,11147;5022;4952,348,phase,0,perm_phase,0,detect_phase,0
64,11147;5022;5524,490,phase,0,perm_phase,0,detect_phase,0
65,11147;5820;1320,42,phase,-1,perm_phase,-1,detect_phase,-1
66,11147;5820;5103,783,phase,-1,perm_phase,-1,detect_phase,-1
67,11148;5113;11160,1459,phase,-1,perm_phase,-1,detect_phase,-1
68,11148;5113;8002,31,phase,-1,perm_phase,-1,detect_phase,-1
