  Iteration,0,direction,link name,link_type,Link from node,->,to node,time start time in min->end time in min,,observed link count,simulated link count, Error:, Simulated flow count -  Obs flow count,Abosolute Percentage Error ,,Lane Flow Error /h=,Capacity ,obs voc,simu VOC
Iteration,10,,1,Minor arterial,Link 4804,->,5109,time 16:30->17:30,Observed and simulated link count,214,232, Error:, 18,8.411 %,Lane Flow Error /h=, 18.000,666.400,0.321,0.348
Iteration,10,,1,Minor arterial,Link 4899,->,5030,time 16:30->17:30,Observed and simulated link count,471,51, Error:, -420,89.172 %,Lane Flow Error /h=, -210.000,633.000,0.744,0.081
Iteration,10,,1,Minor arterial,Link 4952,->,5022,time 16:30->17:30,Observed and simulated link count,443,340, Error:, -103,23.251 %,Lane Flow Error /h=, -103.000,666.400,0.665,0.510
Iteration,10,,1,Major arterial,Link 4958,->,5010,time 16:30->17:30,Observed and simulated link count,149,374, Error:, 225,151.007 %,Lane Flow Error /h=, 112.500,814.400,0.183,0.459
Iteration,10,,1,Major arterial,Link 5009,->,5027,time 16:30->17:30,Observed and simulated link count,683,283, Error:, -400,58.565 %,Lane Flow Error /h=, -200.000,814.400,0.839,0.347
Iteration,10,,1,Major arterial,Link 5010,->,4958,time 16:30->17:30,Observed and simulated link count,99,428, Error:, 329,332.323 %,Lane Flow Error /h=, 164.500,814.400,0.122,0.526
Iteration,10,,1,Major arterial,Link 5017,->,11123,time 16:30->17:30,Observed and simulated link count,1471,98, Error:, -1373,93.338 %,Lane Flow Error /h=, -686.500,814.400,1.806,0.120
Iteration,10,,1,Principal arterial,Link 5018,->,5436,time 16:30->17:30,Observed and simulated link count,1268,626, Error:, -642,50.631 %,Lane Flow Error /h=, -214.000,854.400,1.484,0.733
Iteration,10,,1,Minor arterial,Link 5022,->,4952,time 16:30->17:30,Observed and simulated link count,295,240, Error:, -55,18.644 %,Lane Flow Error /h=, -55.000,666.400,0.443,0.360
Iteration,10,,1,Major arterial,Link 5022,->,11124,time 16:30->17:30,Observed and simulated link count,1227,153, Error:, -1074,87.531 %,Lane Flow Error /h=, -537.000,814.400,1.507,0.188
Iteration,10,,1,Major arterial,Link 5027,->,5009,time 16:30->17:30,Observed and simulated link count,1024,54, Error:, -970,94.727 %,Lane Flow Error /h=, -485.000,814.400,1.257,0.066
Iteration,10,,1,Minor arterial,Link 5030,->,4899,time 16:30->17:30,Observed and simulated link count,314,135, Error:, -179,57.006 %,Lane Flow Error /h=, -89.500,633.000,0.496,0.213
Iteration,10,,1,Major arterial,Link 5030,->,11128,time 16:30->17:30,Observed and simulated link count,691,371, Error:, -320,46.310 %,Lane Flow Error /h=, -160.000,814.400,0.848,0.456
Iteration,10,,1,Minor arterial,Link 5103,->,5820,time 16:30->17:30,Observed and simulated link count,262,497, Error:, 235,89.695 %,Lane Flow Error /h=, 235.000,666.400,0.393,0.746
Iteration,10,,1,Minor arterial,Link 5109,->,4804,time 16:30->17:30,Observed and simulated link count,321,566, Error:, 245,76.324 %,Lane Flow Error /h=, 245.000,666.400,0.482,0.849
Iteration,10,,1,Principal arterial,Link 5112,->,11159,time 16:30->17:30,Observed and simulated link count,1894,186, Error:, -1708,90.180 %,Lane Flow Error /h=, -854.000,892.000,2.123,0.209
Iteration,10,,1,Principal arterial,Link 5113,->,11148,time 16:30->17:30,Observed and simulated link count,1228,762, Error:, -466,37.948 %,Lane Flow Error /h=, -155.333,854.400,1.437,0.892
Iteration,10,,1,Principal arterial,Link 5114,->,5589,time 16:30->17:30,Observed and simulated link count,2046,315, Error:, -1731,84.604 %,Lane Flow Error /h=, -865.500,892.000,2.294,0.353
Iteration,10,,1,Principal arterial,Link 5118,->,11255,time 16:30->17:30,Observed and simulated link count,1851,139, Error:, -1712,92.491 %,Lane Flow Error /h=, -856.000,847.400,2.184,0.164
