Vehicle Selection Mode,--,Partial Trips Passing Selected Path,--
,,14:00_16:00,10.30
,,16:00_18:00,10.34
Category,2-hour Departure Time Interval,Buffer Index: (95th percentile - mean)/mean,
,,14:00_16:00, 1.01
,,16:00_18:00, 1.69
Category,2-hour Departure Time Interval,Skew Index: (90th %ile-median)/(median-10th %ile),
,,14:00_16:00, 2.75
,,16:00_18:00,1310.00
Category,2-hour Departure Time Interval,Travel Time Per Mile STD (min/mile),
,,14:00_16:00, 5.79
,,16:00_18:00, 5.00
Category,2-hour Departure Time Interval,95th Percentile Travel Time Per Mile (min/mile),
,,14:00_16:00,17.17
,,16:00_18:00,17.24
Category,2-hour Departure Time Interval,90th Percentile Travel Time Per Mile (min/mile),
,,14:00_16:00,14.53
,,16:00_18:00,13.28
Category,2-hour Departure Time Interval,80th Percentile Travel Time Per Mile (min/mile),
,,14:00_16:00,11.89
,,16:00_18:00, 5.28
Category,2-hour Departure Time Interval,Total Generalized Time:TT+Toll/VOT (min),
,,14:00_16:00,5126.63
,,16:00_18:00,21166.94
Category,2-hour Departure Time Interval,Avg Generalized Travel Time:TT+Toll/VOT (min),
,,14:00_16:00,85.44
,,16:00_18:00,203.53
Category,2-hour Departure Time Interval,Total Energy (KJ),
,,14:00_16:00,5746837.00
,,16:00_18:00,19001226.00
Category,2-hour Departure Time Interval,Total CO2 (g),
,,14:00_16:00,413005.97
,,16:00_18:00,1365554.13
Category,2-hour Departure Time Interval,Total NOx (g),
,,14:00_16:00,35.18
,,16:00_18:00,63.57
Category,2-hour Departure Time Interval,Total CO (g),
,,14:00_16:00,1615.50
,,16:00_18:00,3106.11
Category,2-hour Departure Time Interval,Total HC (g),
,,14:00_16:00,12.45
,,16:00_18:00,21.49
Category,2-hour Departure Time Interval,Total Gallon,
,,14:00_16:00,47.22
,,16:00_18:00,156.13
Category,2-hour Departure Time Interval,Avg Energy (KJ/vehicle/mile),
,,14:00_16:00,63267.45
,,16:00_18:00,120684.34
Category,2-hour Departure Time Interval,Avg CO2 (g/vehicle/mile),
,,14:00_16:00,4546.82
,,16:00_18:00,8673.18
Category,2-hour Departure Time Interval,Avg NOx (g/vehicle/mile),
,,14:00_16:00, 0.39
,,16:00_18:00, 0.40
Category,2-hour Departure Time Interval,Avg CO (g/vehicle/mile),
,,14:00_16:00,17.79
,,16:00_18:00,19.73
Category,2-hour Departure Time Interval,Avg HC (g/vehicle/mile),
,,14:00_16:00, 0.14
,,16:00_18:00, 0.14
Category,2-hour Departure Time Interval,Avg Miles per Gallon,
,,14:00_16:00, 1.92
,,16:00_18:00, 1.01
Category,4-hour Departure Time Interval,Number of Vehicles,
,,12:00_16:00,60.00
,,16:00_20:00,104.00
Category,4-hour Departure Time Interval,Cumulative Number of Vehicles,
,,12:00_16:00,60.00
,,16:00_20:00,164.00
Category,4-hour Departure Time Interval,Total Travel Time (min),
,,12:00_16:00,777.60
,,16:00_20:00,1010.70
Category,4-hour Departure Time Interval,Total Travel Distance (mile),
,,12:00_16:00,90.83
,,16:00_20:00,157.45
Category,4-hour Departure Time Interval,Avg Travel Time (min),
,,12:00_16:00,12.96
,,16:00_20:00, 9.72
Category,4-hour Departure Time Interval,Avg Travel Distance (mile),
,,12:00_16:00, 1.51
,,16:00_20:00, 1.51
Category,4-hour Departure Time Interval,Avg Speed (mile/hour),
,,12:00_16:00, 7.01
,,16:00_20:00, 9.35
Category,4-hour Departure Time Interval,Avg Travel Time Per Mile (min/mile),
,,12:00_16:00, 8.56
,,16:00_20:00, 6.42
Category,4-hour Departure Time Interval,Travel Time Index: mean/FFTT,
,,12:00_16:00, 5.14
,,16:00_20:00, 3.85
Category,4-hour Departure Time Interval,Avg Travel Time STD (min),
,,12:00_16:00, 8.76
,,16:00_20:00, 7.57
Category,4-hour Departure Time Interval,95th Percentile Travel Time (min),
,,12:00_16:00,26.00
,,16:00_20:00,26.10
Category,4-hour Departure Time Interval,90th Percentile Travel Time (min),
,,12:00_16:00,22.00
,,16:00_20:00,20.10
Category,4-hour Departure Time Interval,80th Percentile Travel Time (min),
,,12:00_16:00,18.00
,,16:00_20:00, 8.00
Category,4-hour Departure Time Interval,Planning Time Index: 95th percentile/FFTT,
,,12:00_16:00,10.30
,,16:00_20:00,10.34
Category,4-hour Departure Time Interval,Buffer Index: (95th percentile - mean)/mean,
,,12:00_16:00, 1.01
,,16:00_20:00, 1.69
Category,4-hour Departure Time Interval,Skew Index: (90th %ile-median)/(median-10th %ile),
,,12:00_16:00, 2.75
,,16:00_20:00,1310.00
Category,4-hour Departure Time Interval,Travel Time Per Mile STD (min/mile),
,,12:00_16:00, 5.79
,,16:00_20:00, 5.00
Category,4-hour Departure Time Interval,95th Percentile Travel Time Per Mile (min/mile),
,,12:00_16:00,17.17
,,16:00_20:00,17.24
Category,4-hour Departure Time Interval,90th Percentile Travel Time Per Mile (min/mile),
,,12:00_16:00,14.53
,,16:00_20:00,13.28
Category,4-hour Departure Time Interval,80th Percentile Travel Time Per Mile (min/mile),
,,12:00_16:00,11.89
,,16:00_20:00, 5.28
Category,4-hour Departure Time Interval,Total Generalized Time:TT+Toll/VOT (min),
,,12:00_16:00,5126.63
,,16:00_20:00,21166.94
Category,4-hour Departure Time Interval,Avg Generalized Travel Time:TT+Toll/VOT (min),
,,12:00_16:00,85.44
,,16:00_20:00,203.53
Category,4-hour Departure Time Interval,Total Energy (KJ),
,,12:00_16:00,5746837.00
,,16:00_20:00,19001226.00
Category,4-hour Departure Time Interval,Total CO2 (g),
,,12:00_16:00,413005.97
,,16:00_20:00,1365554.13
Category,4-hour Departure Time Interval,Total NOx (g),
,,12:00_16:00,35.18
,,16:00_20:00,63.57
Category,4-hour Departure Time Interval,Total CO (g),
,,12:00_16:00,1615.50
,,16:00_20:00,3106.11
Category,4-hour Departure Time Interval,Total HC (g),
,,12:00_16:00,12.45
,,16:00_20:00,21.49
Category,4-hour Departure Time Interval,Total Gallon,
,,12:00_16:00,47.22
,,16:00_20:00,156.13
Category,4-hour Departure Time Interval,Avg Energy (KJ/vehicle/mile),
,,12:00_16:00,63267.45
,,16:00_20:00,120684.34
Category,4-hour Departure Time Interval,Avg CO2 (g/vehicle/mile),
,,12:00_16:00,4546.82
,,16:00_20:00,8673.18
Category,4-hour Departure Time Interval,Avg NOx (g/vehicle/mile),
,,12:00_16:00, 0.39
,,16:00_20:00, 0.40
Category,4-hour Departure Time Interval,Avg CO (g/vehicle/mile),
,,12:00_16:00,17.79
,,16:00_20:00,19.73
Category,4-hour Departure Time Interval,Avg HC (g/vehicle/mile),
,,12:00_16:00, 0.14
,,16:00_20:00, 0.14
Category,4-hour Departure Time Interval,Avg Miles per Gallon,
,,12:00_16:00, 1.92
,,16:00_20:00, 1.01
Category,Distance Bin (0.2 ml Interval),Number of Vehicles,
,,2.0_2.2,18.00
,,2.2_2.4, 5.00
,,2.4_2.6, 6.00
,,2.6_2.8,27.00
,,2.8_3.0, 6.00
,,3.0_3.2, 2.00
,,3.2_3.4,17.00
,,3.4_3.6, 4.00
,,3.6_3.8,66.00
,,3.8_4.0, 1.00
,,4.0_4.2, 1.00
,,4.2_4.4, 2.00
,,4.4_4.6, 3.00
,,5.0_5.2, 3.00
,,5.4_5.6, 2.00
,,5.8_6.0, 1.00
Category,Distance Bin (0.2 ml Interval),Cumulative Number of Vehicles,
,,2.0_2.2,18.00
,,2.2_2.4,23.00
,,2.4_2.6,29.00
,,2.6_2.8,56.00
,,2.8_3.0,62.00
,,3.0_3.2,64.00
,,3.2_3.4,81.00
,,3.4_3.6,85.00
,,3.6_3.8,151.00
,,3.8_4.0,152.00
,,4.0_4.2,153.00
,,4.2_4.4,155.00
,,4.4_4.6,158.00
,,5.0_5.2,161.00
,,5.4_5.6,163.00
,,5.8_6.0,164.00
Category,Distance Bin (0.2 ml Interval),Total Travel Time (min),
,,2.0_2.2,161.00
,,2.2_2.4,57.00
,,2.4_2.6,136.10
,,2.6_2.8,320.50
,,2.8_3.0,111.20
,,3.0_3.2,28.00
,,3.2_3.4,165.90
,,3.4_3.6,40.00
,,3.6_3.8,587.60
,,3.8_4.0, 7.00
,,4.0_4.2, 7.00
,,4.2_4.4,33.00
,,4.4_4.6,36.00
,,5.0_5.2,43.00
,,5.4_5.6,33.00
,,5.8_6.0,22.00
Category,Distance Bin (0.2 ml Interval),Total Travel Distance (mile),
,,2.0_2.2,27.25
,,2.2_2.4, 7.57
,,2.4_2.6, 9.08
,,2.6_2.8,40.88
,,2.8_3.0, 9.08
,,3.0_3.2, 3.03
,,3.2_3.4,25.74
,,3.4_3.6, 6.06
,,3.6_3.8,99.92
,,3.8_4.0, 1.51
,,4.0_4.2, 1.51
,,4.2_4.4, 3.03
,,4.4_4.6, 4.54
,,5.0_5.2, 4.54
,,5.4_5.6, 3.03
,,5.8_6.0, 1.51
Category,Distance Bin (0.2 ml Interval),Avg Travel Time (min),
,,2.0_2.2, 8.94
,,2.2_2.4,11.40
,,2.4_2.6,22.68
,,2.6_2.8,11.87
,,2.8_3.0,18.53
,,3.0_3.2,14.00
,,3.2_3.4, 9.76
,,3.4_3.6,10.00
,,3.6_3.8, 8.90
,,3.8_4.0, 7.00
,,4.0_4.2, 7.00
,,4.2_4.4,16.50
,,4.4_4.6,12.00
,,5.0_5.2,14.33
,,5.4_5.6,16.50
,,5.8_6.0,22.00
Category,Distance Bin (0.2 ml Interval),Avg Travel Distance (mile),
,,2.0_2.2, 1.51
,,2.2_2.4, 1.51
,,2.4_2.6, 1.51
,,2.6_2.8, 1.51
,,2.8_3.0, 1.51
,,3.0_3.2, 1.51
,,3.2_3.4, 1.51
,,3.4_3.6, 1.51
,,3.6_3.8, 1.51
,,3.8_4.0, 1.51
,,4.0_4.2, 1.51
,,4.2_4.4, 1.51
,,4.4_4.6, 1.51
,,5.0_5.2, 1.51
,,5.4_5.6, 1.51
,,5.8_6.0, 1.51
Category,Distance Bin (0.2 ml Interval),Avg Speed (mile/hour),
,,2.0_2.2,10.16
,,2.2_2.4, 7.97
,,2.4_2.6, 4.00
,,2.6_2.8, 7.65
,,2.8_3.0, 4.90
,,3.0_3.2, 6.49
,,3.2_3.4, 9.31
,,3.4_3.6, 9.08
,,3.6_3.8,10.20
,,3.8_4.0,12.98
,,4.0_4.2,12.98
,,4.2_4.4, 5.51
,,4.4_4.6, 7.57
,,5.0_5.2, 6.34
,,5.4_5.6, 5.51
,,5.8_6.0, 4.13
Category,Distance Bin (0.2 ml Interval),Avg Travel Time Per Mile (min/mile),
,,2.0_2.2, 5.91
,,2.2_2.4, 7.53
,,2.4_2.6,14.98
,,2.6_2.8, 7.84
,,2.8_3.0,12.24
,,3.0_3.2, 9.25
,,3.2_3.4, 6.45
,,3.4_3.6, 6.61
,,3.6_3.8, 5.88
,,3.8_4.0, 4.62
,,4.0_4.2, 4.62
,,4.2_4.4,10.90
,,4.4_4.6, 7.93
,,5.0_5.2, 9.47
,,5.4_5.6,10.90
,,5.8_6.0,14.53
Category,Distance Bin (0.2 ml Interval),Travel Time Index: mean/FFTT,
,,2.0_2.2, 3.54
,,2.2_2.4, 4.52
,,2.4_2.6, 8.99
,,2.6_2.8, 4.70
,,2.8_3.0, 7.35
,,3.0_3.2, 5.55
,,3.2_3.4, 3.87
,,3.4_3.6, 3.96
,,3.6_3.8, 3.53
,,3.8_4.0, 2.77
,,4.0_4.2, 2.77
,,4.2_4.4, 6.54
,,4.4_4.6, 4.76
,,5.0_5.2, 5.68
,,5.4_5.6, 6.54
,,5.8_6.0, 8.72
Category,Distance Bin (0.2 ml Interval),Avg Travel Time STD (min),
,,2.0_2.2, 5.16
,,2.2_2.4, 7.31
,,2.4_2.6,18.56
,,2.6_2.8, 7.04
,,2.8_3.0, 8.44
,,3.0_3.2, 7.00
,,3.2_3.4, 4.50
,,3.4_3.6, 3.32
,,3.6_3.8, 7.56
,,4.2_4.4, 4.50
,,4.4_4.6, 4.08
,,5.0_5.2, 5.73
,,5.4_5.6, 4.50
Category,Distance Bin (0.2 ml Interval),95th Percentile Travel Time (min),
,,2.0_2.2,27.00
,,2.2_2.4,26.00
,,2.4_2.6,62.00
,,2.6_2.8,27.00
,,2.8_3.0,27.00
,,3.0_3.2,21.00
,,3.2_3.4,21.00
,,3.4_3.6,15.00
,,3.6_3.8,17.00
,,3.8_4.0, 7.00
,,4.0_4.2, 7.00
,,4.2_4.4,21.00
,,4.4_4.6,17.00
,,5.0_5.2,21.00
,,5.4_5.6,21.00
,,5.8_6.0,22.00
Category,Distance Bin (0.2 ml Interval),90th Percentile Travel Time (min),
,,2.0_2.2,19.00
,,2.2_2.4,26.00
,,2.4_2.6,62.00
,,2.6_2.8,22.00
,,2.8_3.0,27.00
,,3.0_3.2,21.00
,,3.2_3.4,18.00
,,3.4_3.6,15.00
,,3.6_3.8,12.90
,,3.8_4.0, 7.00
,,4.0_4.2, 7.00
,,4.2_4.4,21.00
,,4.4_4.6,17.00
,,5.0_5.2,21.00
,,5.4_5.6,21.00
,,5.8_6.0,22.00
Category,Distance Bin (0.2 ml Interval),80th Percentile Travel Time (min),
,,2.0_2.2, 8.00
,,2.2_2.4,26.00
,,2.4_2.6,26.10
,,2.6_2.8,17.00
,,2.8_3.0,26.10
,,3.0_3.2,21.00
,,3.2_3.4,13.00
,,3.4_3.6,15.00
,,3.6_3.8, 7.00
,,3.8_4.0, 7.00
,,4.0_4.2, 7.00
,,4.2_4.4,21.00
,,4.4_4.6,17.00
,,5.0_5.2,21.00
,,5.4_5.6,21.00
,,5.8_6.0,22.00
Category,Distance Bin (0.2 ml Interval),Planning Time Index: 95th percentile/FFTT,
,,2.0_2.2,10.70
,,2.2_2.4,10.30
,,2.4_2.6,24.57
,,2.6_2.8,10.70
,,2.8_3.0,10.70
,,3.0_3.2, 8.32
,,3.2_3.4, 8.32
,,3.4_3.6, 5.94
,,3.6_3.8, 6.74
,,3.8_4.0, 2.77
,,4.0_4.2, 2.77
,,4.2_4.4, 8.32
,,4.4_4.6, 6.74
,,5.0_5.2, 8.32
,,5.4_5.6, 8.32
,,5.8_6.0, 8.72
Category,Distance Bin (0.2 ml Interval),Buffer Index: (95th percentile - mean)/mean,
,,2.0_2.2, 2.02
,,2.2_2.4, 1.28
,,2.4_2.6, 1.73
,,2.6_2.8, 1.27
,,2.8_3.0, 0.46
,,3.0_3.2, 0.50
,,3.2_3.4, 1.15
,,3.4_3.6, 0.50
,,3.6_3.8, 0.91
,,4.2_4.4, 0.27
,,4.4_4.6, 0.42
,,5.0_5.2, 0.47
,,5.4_5.6, 0.27
Category,Distance Bin (0.2 ml Interval),Skew Index: (90th %ile-median)/(median-10th %ile),
,,2.0_2.2,1200.00
,,2.2_2.4,18.00
,,2.4_2.6, 4.50
,,2.6_2.8,140.03
,,2.8_3.0, 0.18
,,3.2_3.4,1100.00
,,3.4_3.6, 1.00
,,3.6_3.8,590.00
,,4.4_4.6, 1.00
,,5.0_5.2, 0.75
Category,Distance Bin (0.2 ml Interval),Travel Time Per Mile STD (min/mile),
,,2.0_2.2, 3.41
,,2.2_2.4, 4.83
,,2.4_2.6,12.26
,,2.6_2.8, 4.65
,,2.8_3.0, 5.57
,,3.0_3.2, 4.62
,,3.2_3.4, 2.97
,,3.4_3.6, 2.19
,,3.6_3.8, 4.99
,,4.2_4.4, 2.97
,,4.4_4.6, 2.70
,,5.0_5.2, 3.79
,,5.4_5.6, 2.97
Category,Distance Bin (0.2 ml Interval),95th Percentile Travel Time Per Mile (min/mile),
,,2.0_2.2,17.83
,,2.2_2.4,17.17
,,2.4_2.6,40.95
,,2.6_2.8,17.83
,,2.8_3.0,17.83
,,3.0_3.2,13.87
,,3.2_3.4,13.87
,,3.4_3.6, 9.91
,,3.6_3.8,11.23
,,3.8_4.0, 4.62
,,4.0_4.2, 4.62
,,4.2_4.4,13.87
,,4.4_4.6,11.23
,,5.0_5.2,13.87
,,5.4_5.6,13.87
,,5.8_6.0,14.53
Category,Distance Bin (0.2 ml Interval),90th Percentile Travel Time Per Mile (min/mile),
,,2.0_2.2,12.55
,,2.2_2.4,17.17
,,2.4_2.6,40.95
,,2.6_2.8,14.53
,,2.8_3.0,17.83
,,3.0_3.2,13.87
,,3.2_3.4,11.89
,,3.4_3.6, 9.91
,,3.6_3.8, 8.52
,,3.8_4.0, 4.62
,,4.0_4.2, 4.62
,,4.2_4.4,13.87
,,4.4_4.6,11.23
,,5.0_5.2,13.87
,,5.4_5.6,13.87
,,5.8_6.0,14.53
Category,Distance Bin (0.2 ml Interval),80th Percentile Travel Time Per Mile (min/mile),
,,2.0_2.2, 5.28
,,2.2_2.4,17.17
,,2.4_2.6,17.24
,,2.6_2.8,11.23
,,2.8_3.0,17.24
,,3.0_3.2,13.87
,,3.2_3.4, 8.59
,,3.4_3.6, 9.91
,,3.6_3.8, 4.62
,,3.8_4.0, 4.62
,,4.0_4.2, 4.62
,,4.2_4.4,13.87
,,4.4_4.6,11.23
,,5.0_5.2,13.87
,,5.4_5.6,13.87
,,5.8_6.0,14.53
Category,Distance Bin (0.2 ml Interval),Total Generalized Time:TT+Toll/VOT (min),
,,2.0_2.2,3347.71
,,2.2_2.4,1014.13
,,2.4_2.6,282.46
,,2.6_2.8,2966.40
,,2.8_3.0,362.21
,,3.0_3.2,143.37
,,3.2_3.4,1763.22
,,3.4_3.6,289.07
,,3.6_3.8,14722.95
,,3.8_4.0,270.73
,,4.0_4.2,25.71
,,4.2_4.4,99.00
,,4.4_4.6,385.27
,,5.0_5.2,421.08
,,5.4_5.6,124.00
,,5.8_6.0,76.25
Category,Distance Bin (0.2 ml Interval),Avg Generalized Travel Time:TT+Toll/VOT (min),
,,2.0_2.2,185.98
,,2.2_2.4,202.83
,,2.4_2.6,47.08
,,2.6_2.8,109.87
,,2.8_3.0,60.37
,,3.0_3.2,71.68
,,3.2_3.4,103.72
,,3.4_3.6,72.27
,,3.6_3.8,223.08
,,3.8_4.0,270.73
,,4.0_4.2,25.71
,,4.2_4.4,49.50
,,4.4_4.6,128.42
,,5.0_5.2,140.36
,,5.4_5.6,62.00
,,5.8_6.0,76.25
Category,Distance Bin (0.2 ml Interval),Total Energy (KJ),
,,2.0_2.2,2883891.50
,,2.2_2.4,840416.00
,,2.4_2.6,324909.13
,,2.6_2.8,3076421.00
,,2.8_3.0,429064.38
,,3.0_3.2,150199.72
,,3.2_3.4,1771558.63
,,3.4_3.6,337151.94
,,3.6_3.8,13318268.00
,,3.8_4.0,229640.78
,,4.0_4.2,43398.62
,,4.2_4.4,147764.25
,,4.4_4.6,414401.31
,,5.0_5.2,446610.44
,,5.4_5.6,189241.38
,,5.8_6.0,145125.19
Category,Distance Bin (0.2 ml Interval),Total CO2 (g),
,,2.0_2.2,207255.67
,,2.2_2.4,60397.90
,,2.4_2.6,23350.13
,,2.6_2.8,221092.14
,,2.8_3.0,30835.42
,,3.0_3.2,10794.35
,,3.2_3.4,127315.98
,,3.4_3.6,24229.98
,,3.6_3.8,957139.38
,,3.8_4.0,16503.52
,,4.0_4.2,3118.91
,,4.2_4.4,10619.32
,,4.4_4.6,29781.64
,,5.0_5.2,32096.41
,,5.4_5.6,13600.15
,,5.8_6.0,10429.65
Category,Distance Bin (0.2 ml Interval),Total NOx (g),
,,2.0_2.2, 7.53
,,2.2_2.4, 0.97
,,2.4_2.6, 1.92
,,2.6_2.8,13.38
,,2.8_3.0, 2.74
,,3.0_3.2, 0.53
,,3.2_3.4, 9.00
,,3.4_3.6, 2.42
,,3.6_3.8,51.18
,,3.8_4.0, 0.33
,,4.0_4.2, 0.29
,,4.2_4.4, 0.99
,,4.4_4.6, 1.62
,,5.0_5.2, 1.74
,,5.4_5.6, 1.24
,,5.8_6.0, 2.86
Category,Distance Bin (0.2 ml Interval),Total CO (g),
,,2.0_2.2,423.40
,,2.2_2.4,112.19
,,2.4_2.6,95.24
,,2.6_2.8,643.64
,,2.8_3.0,126.62
,,3.0_3.2,35.89
,,3.2_3.4,396.31
,,3.4_3.6,83.54
,,3.6_3.8,2309.17
,,3.8_4.0,34.59
,,4.0_4.2,18.48
,,4.2_4.4,62.02
,,4.4_4.6,115.34
,,5.0_5.2,123.94
,,5.4_5.6,77.36
,,5.8_6.0,63.88
Category,Distance Bin (0.2 ml Interval),Total HC (g),
,,2.0_2.2, 2.59
,,2.2_2.4, 0.34
,,2.4_2.6, 0.68
,,2.6_2.8, 4.43
,,2.8_3.0, 0.97
,,3.0_3.2, 0.20
,,3.2_3.4, 3.16
,,3.4_3.6, 0.82
,,3.6_3.8,17.36
,,3.8_4.0, 0.12
,,4.0_4.2, 0.13
,,4.2_4.4, 0.42
,,4.4_4.6, 0.68
,,5.0_5.2, 0.73
,,5.4_5.6, 0.52
,,5.8_6.0, 0.80
Category,Distance Bin (0.2 ml Interval),Total Gallon,
,,2.0_2.2,23.70
,,2.2_2.4, 6.91
,,2.4_2.6, 2.67
,,2.6_2.8,25.28
,,2.8_3.0, 3.53
,,3.0_3.2, 1.23
,,3.2_3.4,14.56
,,3.4_3.6, 2.77
,,3.6_3.8,109.44
,,3.8_4.0, 1.89
,,4.0_4.2, 0.36
,,4.2_4.4, 1.21
,,4.4_4.6, 3.41
,,5.0_5.2, 3.67
,,5.4_5.6, 1.55
,,5.8_6.0, 1.19
Category,Distance Bin (0.2 ml Interval),Avg Energy (KJ/vehicle/mile),
,,2.0_2.2,105830.09
,,2.2_2.4,111026.63
,,2.4_2.6,35769.55
,,2.6_2.8,75263.55
,,2.8_3.0,47236.10
,,3.0_3.2,49606.89
,,3.2_3.4,68835.01
,,3.4_3.6,55676.06
,,3.6_3.8,133292.73
,,3.8_4.0,151688.22
,,4.0_4.2,28666.77
,,4.2_4.4,48802.52
,,4.4_4.6,91243.66
,,5.0_5.2,98335.52
,,5.4_5.6,62501.28
,,5.8_6.0,95861.81
Category,Distance Bin (0.2 ml Interval),Avg CO2 (g/vehicle/mile),
,,2.0_2.2,7605.66
,,2.2_2.4,7979.11
,,2.4_2.6,2570.64
,,2.6_2.8,5408.94
,,2.8_3.0,3394.70
,,3.0_3.2,3565.08
,,3.2_3.4,4946.94
,,3.4_3.6,4001.25
,,3.6_3.8,9579.30
,,3.8_4.0,10901.33
,,4.0_4.2,2060.19
,,4.2_4.4,3507.27
,,4.4_4.6,6557.38
,,5.0_5.2,7067.05
,,5.4_5.6,4491.76
,,5.8_6.0,6889.26
Category,Distance Bin (0.2 ml Interval),Avg NOx (g/vehicle/mile),
,,2.0_2.2, 0.28
,,2.2_2.4, 0.13
,,2.4_2.6, 0.21
,,2.6_2.8, 0.33
,,2.8_3.0, 0.30
,,3.0_3.2, 0.17
,,3.2_3.4, 0.35
,,3.4_3.6, 0.40
,,3.6_3.8, 0.51
,,3.8_4.0, 0.22
,,4.0_4.2, 0.19
,,4.2_4.4, 0.33
,,4.4_4.6, 0.36
,,5.0_5.2, 0.38
,,5.4_5.6, 0.41
,,5.8_6.0, 1.89
Category,Distance Bin (0.2 ml Interval),Avg CO (g/vehicle/mile),
,,2.0_2.2,15.54
,,2.2_2.4,14.82
,,2.4_2.6,10.49
,,2.6_2.8,15.75
,,2.8_3.0,13.94
,,3.0_3.2,11.85
,,3.2_3.4,15.40
,,3.4_3.6,13.80
,,3.6_3.8,23.11
,,3.8_4.0,22.85
,,4.0_4.2,12.20
,,4.2_4.4,20.48
,,4.4_4.6,25.40
,,5.0_5.2,27.29
,,5.4_5.6,25.55
,,5.8_6.0,42.19
Category,Distance Bin (0.2 ml Interval),Avg HC (g/vehicle/mile),
,,2.0_2.2, 0.10
,,2.2_2.4, 0.04
,,2.4_2.6, 0.07
,,2.6_2.8, 0.11
,,2.8_3.0, 0.11
,,3.0_3.2, 0.07
,,3.2_3.4, 0.12
,,3.4_3.6, 0.13
,,3.6_3.8, 0.17
,,3.8_4.0, 0.08
,,4.0_4.2, 0.08
,,4.2_4.4, 0.14
,,4.4_4.6, 0.15
,,5.0_5.2, 0.16
,,5.4_5.6, 0.17
,,5.8_6.0, 0.53
Category,Distance Bin (0.2 ml Interval),Avg Miles per Gallon,
,,2.0_2.2, 1.15
,,2.2_2.4, 1.10
,,2.4_2.6, 3.40
,,2.6_2.8, 1.62
,,2.8_3.0, 2.58
,,3.0_3.2, 2.45
,,3.2_3.4, 1.77
,,3.4_3.6, 2.19
,,3.6_3.8, 0.91
,,3.8_4.0, 0.80
,,4.0_4.2, 1.51
,,4.2_4.4, 2.49
,,4.4_4.6, 1.33
,,5.0_5.2, 1.24
,,5.4_5.6, 1.95
,,5.8_6.0, 1.27
Category,Distance Bin (1 ml Interval),Number of Vehicles,
,,2_3,62.00
,,3_4,90.00
,,4_5, 6.00
,,5_6, 6.00
Category,Distance Bin (1 ml Interval),Cumulative Number of Vehicles,
,,2_3,62.00
,,3_4,152.00
,,4_5,158.00
,,5_6,164.00
Category,Distance Bin (1 ml Interval),Total Travel Time (min),
,,2_3,785.80
,,3_4,828.50
,,4_5,76.00
,,5_6,98.00
Category,Distance Bin (1 ml Interval),Total Travel Distance (mile),
,,2_3,93.86
,,3_4,136.25
,,4_5, 9.08
,,5_6, 9.08
Category,Distance Bin (1 ml Interval),Avg Travel Time (min),
,,2_3,12.67
,,3_4, 9.21
,,4_5,12.67
,,5_6,16.33
Category,Distance Bin (1 ml Interval),Avg Travel Distance (mile),
,,2_3, 1.51
,,3_4, 1.51
,,4_5, 1.51
,,5_6, 1.51
Category,Distance Bin (1 ml Interval),Avg Speed (mile/hour),
,,2_3, 7.17
,,3_4, 9.87
,,4_5, 7.17
,,5_6, 5.56
Category,Distance Bin (1 ml Interval),Avg Travel Time Per Mile (min/mile),
,,2_3, 8.37
,,3_4, 6.08
,,4_5, 8.37
,,5_6,10.79
Category,Distance Bin (1 ml Interval),Travel Time Index: mean/FFTT,
,,2_3, 5.02
,,3_4, 3.65
,,4_5, 5.02
,,5_6, 6.47
Category,Distance Bin (1 ml Interval),Avg Travel Time STD (min),
,,2_3, 9.55
,,3_4, 6.93
,,4_5, 5.06
,,5_6, 5.53
Category,Distance Bin (1 ml Interval),95th Percentile Travel Time (min),
,,2_3,27.00
,,3_4,21.00
,,4_5,21.00
,,5_6,22.00
Category,Distance Bin (1 ml Interval),90th Percentile Travel Time (min),
,,2_3,26.10
,,3_4,17.00
,,4_5,21.00
,,5_6,22.00
Category,Distance Bin (1 ml Interval),80th Percentile Travel Time (min),
,,2_3,19.00
,,3_4, 7.00
,,4_5,17.00
,,5_6,21.00
Category,Distance Bin (1 ml Interval),Planning Time Index: 95th percentile/FFTT,
,,2_3,10.70
,,3_4, 8.32
,,4_5, 8.32
,,5_6, 8.72
Category,Distance Bin (1 ml Interval),Buffer Index: (95th percentile - mean)/mean,
,,2_3, 1.13
,,3_4, 1.28
,,4_5, 0.66
,,5_6, 0.35
Category,Distance Bin (1 ml Interval),Skew Index: (90th %ile-median)/(median-10th %ile),
,,2_3,18.10
,,3_4,1000.00
,,4_5, 1.80
,,5_6, 0.07
Category,Distance Bin (1 ml Interval),Travel Time Per Mile STD (min/mile),
,,2_3, 6.31
,,3_4, 4.58
,,4_5, 3.34
,,5_6, 3.65
Category,Distance Bin (1 ml Interval),95th Percentile Travel Time Per Mile (min/mile),
,,2_3,17.83
,,3_4,13.87
,,4_5,13.87
,,5_6,14.53
Category,Distance Bin (1 ml Interval),90th Percentile Travel Time Per Mile (min/mile),
,,2_3,17.24
,,3_4,11.23
,,4_5,13.87
,,5_6,14.53
Category,Distance Bin (1 ml Interval),80th Percentile Travel Time Per Mile (min/mile),
,,2_3,12.55
,,3_4, 4.62
,,4_5,11.23
,,5_6,13.87
Category,Distance Bin (1 ml Interval),Total Generalized Time:TT+Toll/VOT (min),
,,2_3,7972.92
,,3_4,17189.33
,,4_5,509.99
,,5_6,621.33
