Vehicle Selection Mode,--,Partial Trips Passing Selected Path,--
,,17:15_17:30, 1.51
Category,15-min Departure Time Interval,Avg Speed (mile/hour),
,,15:30_15:45, 7.31
,,15:45_16:00, 6.69
,,16:00_16:15, 9.77
,,16:15_16:30, 9.60
,,16:30_16:45, 8.05
,,16:45_17:00, 8.41
,,17:00_17:15,12.44
,,17:15_17:30,12.41
Category,15-min Departure Time Interval,Avg Travel Time Per Mile (min/mile),
,,15:30_15:45, 8.21
,,15:45_16:00, 8.96
,,16:00_16:15, 6.14
,,16:15_16:30, 6.25
,,16:30_16:45, 7.45
,,16:45_17:00, 7.13
,,17:00_17:15, 4.82
,,17:15_17:30, 4.83
Category,15-min Departure Time Interval,Travel Time Index: mean/FFTT,
,,15:30_15:45, 4.93
,,15:45_16:00, 5.38
,,16:00_16:15, 3.68
,,16:15_16:30, 3.75
,,16:30_16:45, 4.47
,,16:45_17:00, 4.28
,,17:00_17:15, 2.89
,,17:15_17:30, 2.90
Category,15-min Departure Time Interval,Avg Travel Time STD (min),
,,15:30_15:45, 5.65
,,15:45_16:00,11.29
,,16:00_16:15, 4.63
,,16:15_16:30, 5.49
,,16:30_16:45, 8.54
,,16:45_17:00,12.31
,,17:00_17:15, 0.46
,,17:15_17:30, 0.48
Category,15-min Departure Time Interval,95th Percentile Travel Time (min),
,,15:30_15:45,22.00
,,15:45_16:00,27.00
,,16:00_16:15,21.00
,,16:15_16:30,21.00
,,16:30_16:45,27.00
,,16:45_17:00,62.00
,,17:00_17:15, 8.00
,,17:15_17:30, 8.00
Category,15-min Departure Time Interval,90th Percentile Travel Time (min),
,,15:30_15:45,21.00
,,15:45_16:00,26.00
,,16:00_16:15,17.90
,,16:15_16:30,20.10
,,16:30_16:45,26.10
,,16:45_17:00,24.00
,,17:00_17:15, 8.00
,,17:15_17:30, 8.00
Category,15-min Departure Time Interval,80th Percentile Travel Time (min),
,,15:30_15:45,17.00
,,15:45_16:00,18.00
,,16:00_16:15, 8.00
,,16:15_16:30, 8.00
,,16:30_16:45, 8.00
,,16:45_17:00, 8.00
,,17:00_17:15, 8.00
,,17:15_17:30, 8.00
Category,15-min Departure Time Interval,Planning Time Index: 95th percentile/FFTT,
,,15:30_15:45, 8.72
,,15:45_16:00,10.70
,,16:00_16:15, 8.32
,,16:15_16:30, 8.32
,,16:30_16:45,10.70
,,16:45_17:00,24.57
,,17:00_17:15, 3.17
,,17:15_17:30, 3.17
Category,15-min Departure Time Interval,Buffer Index: (95th percentile - mean)/mean,
,,15:30_15:45, 0.77
,,15:45_16:00, 0.99
,,16:00_16:15, 1.26
,,16:15_16:30, 1.22
,,16:30_16:45, 1.39
,,16:45_17:00, 4.74
,,17:00_17:15, 0.10
,,17:15_17:30, 0.09
Category,15-min Departure Time Interval,Skew Index: (90th %ile-median)/(median-10th %ile),
,,15:30_15:45, 2.50
,,15:45_16:00,18.00
,,16:00_16:15,1090.00
,,16:15_16:30,1310.00
,,16:30_16:45,1910.00
,,16:45_17:00,1700.00
,,17:00_17:15,100.00
,,17:15_17:30,10.00
Category,15-min Departure Time Interval,Travel Time Per Mile STD (min/mile),
,,15:30_15:45, 3.73
,,15:45_16:00, 7.46
,,16:00_16:15, 3.06
,,16:15_16:30, 3.63
,,16:30_16:45, 5.64
,,16:45_17:00, 8.13
,,17:00_17:15, 0.30
,,17:15_17:30, 0.32
Category,15-min Departure Time Interval,95th Percentile Travel Time Per Mile (min/mile),
,,15:30_15:45,14.53
,,15:45_16:00,17.83
,,16:00_16:15,13.87
,,16:15_16:30,13.87
,,16:30_16:45,17.83
,,16:45_17:00,40.95
,,17:00_17:15, 5.28
,,17:15_17:30, 5.28
Category,15-min Departure Time Interval,90th Percentile Travel Time Per Mile (min/mile),
,,15:30_15:45,13.87
,,15:45_16:00,17.17
,,16:00_16:15,11.82
,,16:15_16:30,13.28
,,16:30_16:45,17.24
,,16:45_17:00,15.85
,,17:00_17:15, 5.28
,,17:15_17:30, 5.28
Category,15-min Departure Time Interval,80th Percentile Travel Time Per Mile (min/mile),
,,15:30_15:45,11.23
,,15:45_16:00,11.89
,,16:00_16:15, 5.28
,,16:15_16:30, 5.28
,,16:30_16:45, 5.28
,,16:45_17:00, 5.28
,,17:00_17:15, 5.28
,,17:15_17:30, 5.28
Category,15-min Departure Time Interval,Total Generalized Time:TT+Toll/VOT (min),
,,15:30_15:45,1477.82
,,15:45_16:00,3648.82
,,16:00_16:15,4268.89
,,16:15_16:30,5166.10
,,16:30_16:45,4609.23
