from_zone_id,from_zone_id,#_of_simulated_vehicle_count,simulated_travel_time_in_min,#_of_obs_vehicle_count,obs_travel_time_in_min
8,40,0,00,0
8,41,7,12.05,0,0
9,1,7,11.74,0,0
9,2,5,10.29,0,0
9,3,12, 6.08,0,0
9,4,0,00,0
9,5,4, 5.18,0,0
9,6,5, 5.75,0,0
9,7,3, 4.76,0,0
9,8,0,00,0
9,9,0,00,0
9,10,2, 2.02,0,0
9,11,33, 4.67,0,0
9,12,1, 6.21,0,0
9,13,17, 7.73,0,0
9,14,21, 9.70,0,0
9,15,7, 9.82,0,0
9,16,9,10.55,0,0
9,17,8,10.12,0,0
9,18,7,12.22,0,0
9,19,9, 5.28,0,0
9,20,8, 3.84,0,0
9,21,19, 2.47,0,0
9,22,10, 1.46,0,0
9,23,5, 2.89,0,0
9,24,25, 5.58,0,0
9,25,2, 4.76,0,0
9,26,3, 4.76,0,0
9,27,5, 7.04,0,0
9,28,8, 2.63,0,0
9,29,0,00,0
9,30,4, 2.81,0,0
9,31,11, 8.20,0,0
9,32,6,10.92,0,0
9,33,3, 6.22,0,0
9,34,16, 7.29,0,0
9,35,2, 9.55,0,0
9,36,4, 8.66,0,0
9,37,8, 6.19,0,0
9,38,7, 6.06,0,0
9,39,3, 2.37,0,0
9,40,2, 8.19,0,0
9,41,33,12.25,0,0
10,1,0,00,0
10,2,0,00,0
10,3,1, 5.68,0,0
10,4,0,00,0
10,5,0,00,0
10,6,1, 6.62,0,0
10,7,0,00,0
10,8,0,00,0
10,9,1, 2.27,0,0
10,10,0,00,0
10,11,3, 4.60,0,0
10,12,0,00,0
10,13,1, 7.75,0,0
10,14,2, 9.26,0,0
10,15,1, 9.03,0,0
10,16,0,00,0
10,17,1, 9.82,0,0
10,18,0,00,0
10,19,0,00,0
10,20,1, 4.48,0,0
10,21,1, 4.61,0,0
10,22,1, 2.07,0,0
10,23,0,00,0
10,24,2, 5.37,0,0
10,25,0,00,0
10,26,0,00,0
10,27,0,00,0
10,28,0,00,0
10,29,0,00,0
10,30,1, 2.44,0,0
10,31,1, 6.89,0,0
10,32,1,11.28,0,0
10,33,0,00,0
10,34,2, 6.68,0,0
10,35,0,00,0
10,36,0,00,0
10,37,1, 5.18,0,0
10,38,0,00,0
10,39,0,00,0
10,40,0,00,0
10,41,2,10.94,0,0
11,1,10,10.41,0,0
11,2,8, 8.17,0,0
11,3,16, 4.73,0,0
11,4,1, 7.47,0,0
11,5,6, 8.50,0,0
11,6,6, 9.11,0,0
11,7,5, 7.89,0,0
11,8,1, 5.08,0,0
11,9,33, 4.68,0,0
11,10,3, 3.72,0,0
11,11,0,00,0
11,12,1, 4.80,0,0
11,13,22, 6.26,0,0
11,14,28, 8.11,0,0
11,15,10, 8.28,0,0
11,16,13, 9.34,0,0
11,17,10, 9.04,0,0
11,18,9,10.48,0,0
11,19,13, 7.09,0,0
11,20,10, 6.89,0,0
11,21,25, 6.33,0,0
11,22,13, 3.80,0,0
11,23,6, 4.47,0,0
11,24,34, 2.24,0,0
11,25,3, 4.61,0,0
11,26,5, 2.76,0,0
11,27,7, 6.48,0,0
11,28,11, 2.72,0,0
11,29,0,00,0
11,30,4, 1.94,0,0
11,31,14, 6.90,0,0
11,32,9, 9.21,0,0
11,33,4, 8.15,0,0
11,34,23, 5.67,0,0
11,35,3, 7.95,0,0
11,36,5, 6.99,0,0
11,37,11, 5.31,0,0
11,38,9, 9.32,0,0
11,39,4, 4.51,0,0
11,40,2, 7.64,0,0
11,41,43,10.63,0,0
12,1,7, 6.81,0,0
12,2,5, 5.93,0,0
12,3,10, 6.90,0,0
12,4,1, 9.58,0,0
12,5,3,10.65,0,0
12,6,4,11.43,0,0
12,7,3,10.20,0,0
12,8,0,00,0
12,9,21, 7.40,0,0
12,10,1, 6.30,0,0
12,11,29, 5.29,0,0
12,12,0,00,0
12,13,15, 2.73,0,0
12,14,18, 4.32,0,0
12,15,7, 4.11,0,0
12,16,9, 5.97,0,0
12,17,6, 6.19,0,0
12,18,6, 7.58,0,0
12,19,9, 9.30,0,0
12,20,6, 9.04,0,0
12,21,17, 9.02,0,0
12,22,8, 6.67,0,0
12,23,4, 7.26,0,0
12,24,22, 3.80,0,0
12,25,1, 5.45,0,0
12,26,3, 4.91,0,0
12,27,4, 7.99,0,0
12,28,7, 4.87,0,0
12,29,0,00,0
12,30,3, 5.37,0,0
12,31,9, 7.37,0,0
12,32,6, 7.13,0,0
12,33,3,10.13,0,0
12,34,15, 6.34,0,0
12,35,2, 6.07,0,0
12,36,3, 2.53,0,0
12,37,7, 7.70,0,0
12,38,6,12.09,0,0
12,39,3, 6.62,0,0
12,40,1, 3.04,0,0
12,41,29, 7.47,0,0
13,1,5, 6.70,0,0
13,2,3, 5.58,0,0
13,3,8, 8.55,0,0
13,4,0,00,0
13,5,3,12.64,0,0
13,6,3,13.06,0,0
13,7,2,11.86,0,0
13,8,1, 9.29,0,0
13,9,17, 8.99,0,0
13,10,1, 8.35,0,0
13,11,23, 6.61,0,0
13,12,1, 2.66,0,0
13,13,0,00,0
13,14,14, 3.80,0,0
13,15,5, 3.65,0,0
13,16,6, 5.69,0,0
13,17,5, 5.74,0,0
13,18,5, 6.80,0,0
13,19,6,10.34,0,0
13,20,5,10.70,0,0
13,21,12,10.20,0,0
13,22,7, 7.76,0,0
13,23,3, 9.35,0,0
13,24,17, 5.54,0,0
13,25,1, 6.45,0,0
13,26,3, 7.05,0,0
13,27,4,10.22,0,0
13,28,5, 6.63,0,0
13,29,0,00,0
13,30,2, 7.51,0,0
13,31,7, 7.49,0,0
13,32,4, 6.75,0,0
13,33,2,12.61,0,0
13,34,12, 5.65,0,0
13,35,2, 5.86,0,0
13,36,3, 1.51,0,0
13,37,6, 8.54,0,0
13,38,5,13.62,0,0
13,39,2, 8.02,0,0
13,40,1, 2.98,0,0
13,41,22, 6.85,0,0
14,1,6, 4.67,0,0
14,2,5, 7.12,0,0
14,3,10,10.09,0,0
14,4,1,12.42,0,0
14,5,3,14.47,0,0
14,6,5,14.62,0,0
14,7,3,13.36,0,0
14,8,1,10.66,0,0
14,9,21,11.30,0,0
14,10,1,10.49,0,0
14,11,27, 9.05,0,0
14,12,1, 4.59,0,0
14,13,14, 4.07,0,0
14,14,0,00,0
14,15,6, 1.71,0,0
14,16,8, 3.37,0,0
14,17,6, 4.69,0,0
14,18,6, 5.07,0,0
14,19,8,12.85,0,0
14,20,6,12.67,0,0
14,21,15,12.98,0,0
14,22,8,10.54,0,0
14,23,3,11.25,0,0
14,24,21, 7.80,0,0
14,25,1,11.07,0,0
14,26,3, 8.16,0,0
14,27,4,11.66,0,0
14,28,6, 8.81,0,0
14,29,0,00,0
14,30,3, 9.09,0,0
14,31,9, 8.92,0,0
14,32,5, 5.76,0,0
14,33,3,13.32,0,0
14,34,14, 7.14,0,0
14,35,2, 4.62,0,0
14,36,3, 2.38,0,0
14,37,7,11.02,0,0
14,38,6,15.29,0,0
14,39,3,10.93,0,0
14,40,1, 2.96,0,0
14,41,27, 4.86,0,0
15,1,3, 4.11,0,0
15,2,2, 7.13,0,0
15,3,4, 9.87,0,0
15,4,0,00,0
15,5,2,14.53,0,0
15,6,2,14.45,0,0
15,7,1,14.10,0,0
15,8,0,00,0
15,9,8,11.23,0,0
15,10,0,00,0
15,11,10, 9.36,0,0
15,12,0,00,0
15,13,5, 4.20,0,0
15,14,7, 1.55,0,0
15,15,0,00,0
15,16,3, 3.58,0,0
15,17,3, 4.73,0,0
15,18,2, 4.76,0,0
15,19,3,12.38,0,0
15,20,2,12.71,0,0
15,21,6,12.80,0,0
15,22,3, 9.75,0,0
15,23,1,11.51,0,0
15,24,7, 7.36,0,0
15,25,0,00,0
15,26,1, 7.93,0,0
15,27,2,11.83,0,0
15,28,2, 9.35,0,0
15,29,0,00,0
15,30,1, 9.06,0,0
15,31,3, 9.09,0,0
15,32,2, 5.65,0,0
15,33,1,12.84,0,0
15,34,5, 7.22,0,0
15,35,1, 4.30,0,0
15,36,1, 1.69,0,0
15,37,2,10.02,0,0
15,38,2,15.22,0,0
15,39,0,00,0
15,40,0,00,0
15,41,10, 4.68,0,0
16,1,3, 1.72,0,0
16,2,3, 5.11,0,0
16,3,4, 7.63,0,0
16,4,0,00,0
16,5,1,11.77,0,0
16,6,2,12.61,0,0
16,7,2,11.84,0,0
16,8,1,13.19,0,0
16,9,9,13.22,0,0
16,10,1,16.62,0,0
16,11,12,12.04,0,0
16,12,0,00,0
16,13,7, 6.32,0,0
16,14,8, 3.68,0,0
16,15,3, 3.42,0,0
16,16,0,00,0
16,17,3, 2.44,0,0
16,18,3, 2.44,0,0
16,19,4,10.05,0,0
16,20,3,11.37,0,0
16,21,8,15.16,0,0
16,22,4,12.68,0,0
16,23,2,16.32,0,0
16,24,10, 9.48,0,0
16,25,1, 9.10,0,0
16,26,1, 5.31,0,0
16,27,2, 9.80,0,0
16,28,3,12.36,0,0
16,29,0,00,0
16,30,1,10.52,0,0
16,31,4, 6.23,0,0
16,32,2, 3.64,0,0
16,33,1,11.40,0,0
16,34,6, 4.43,0,0
16,35,1, 2.72,0,0
16,36,2, 4.03,0,0
16,37,3, 8.62,0,0
16,38,2,13.15,0,0
16,39,1,12.48,0,0
16,40,1, 5.53,0,0
16,41,12, 2.77,0,0
17,1,15, 2.31,0,0
17,2,11, 2.35,0,0
17,3,23, 5.80,0,0
17,4,1, 7.21,0,0
17,5,8, 9.98,0,0
17,6,11,10.68,0,0
17,7,7,10.37,0,0
17,8,2,12.73,0,0
17,9,51,13.17,0,0
17,10,3,12.29,0,0
17,11,68,11.25,0,0
17,12,1, 7.22,0,0
17,13,34, 5.98,0,0
17,14,43, 4.95,0,0
17,15,16, 4.83,0,0
17,16,20, 2.35,0,0
17,17,0,00,0
17,18,15, 2.77,0,0
17,19,20, 9.18,0,0
17,20,15,10.14,0,0
17,21,39,13.33,0,0
17,22,20,12.23,0,0
17,23,9,13.54,0,0
17,24,51, 9.33,0,0
17,25,4, 7.57,0,0
17,26,7, 4.83,0,0
17,27,11, 7.31,0,0
17,28,16,11.09,0,0
17,29,0,00,0
17,30,6,10.61,0,0
17,31,21, 4.39,0,0
17,32,14, 1.43,0,0
17,33,6, 9.63,0,0
17,34,35, 3.57,0,0
17,35,5, 1.41,0,0
17,36,8, 5.14,0,0
17,37,16, 7.50,0,0
17,38,14,11.44,0,0
17,39,6,13.06,0,0
17,40,3, 5.33,0,0
17,41,68, 2.61,0,0
18,1,8, 2.62,0,0
18,2,6, 4.64,0,0
18,3,12, 8.40,0,0
18,4,1,10.44,0,0
18,5,4,12.30,0,0
18,6,6,13.08,0,0
18,7,4,12.82,0,0
18,8,1,14.57,0,0
18,9,27,15.41,0,0
18,10,2,15.11,0,0
18,11,36,12.85,0,0
18,12,1, 7.94,0,0
18,13,18, 7.61,0,0
18,14,22, 5.66,0,0
18,15,8, 5.51,0,0
18,16,11, 2.53,0,0
18,17,8, 2.77,0,0
18,18,0,00,0
18,19,10,11.77,0,0
18,20,7,12.45,0,0
18,21,21,15.84,0,0
18,22,10,15.34,0,0
18,23,5,15.51,0,0
18,24,27,11.26,0,0
18,25,2,10.79,0,0
18,26,4, 7.47,0,0
18,27,6, 9.22,0,0
18,28,8,13.39,0,0
18,29,0,00,0
18,30,4,12.94,0,0
18,31,12, 7.39,0,0
18,32,7, 3.87,0,0
18,33,3,12.04,0,0
18,34,19, 6.04,0,0
18,35,3, 4.11,0,0
18,36,4, 6.00,0,0
18,37,8, 9.52,0,0
18,38,7,14.32,0,0
18,39,2,13.60,0,0
18,40,2, 6.57,0,0
18,41,36, 2.75,0,0
19,1,5, 9.49,0,0
19,2,4, 7.94,0,0
19,3,9, 4.14,0,0
19,4,0,00,0
19,5,3, 2.32,0,0
19,6,4, 2.82,0,0
19,7,3, 2.48,0,0
19,8,0,00,0
19,9,18, 6.03,0,0
19,10,1, 5.94,0,0
19,11,24, 8.93,0,0
19,12,0,00,0
19,13,13,12.50,0,0
19,14,15,13.37,0,0
19,15,6,12.26,0,0
19,16,7,10.45,0,0
19,17,5, 9.46,0,0
19,18,5,12.23,0,0
19,19,0,00,0
19,20,5, 3.33,0,0
19,21,14, 5.21,0,0
19,22,7, 5.62,0,0
19,23,3, 6.53,0,0
19,24,18,10.29,0,0
19,25,1, 4.32,0,0
19,26,2, 4.99,0,0
19,27,4, 3.65,0,0
19,28,5, 6.15,0,0
19,29,0,00,0
19,30,3, 6.39,0,0
19,31,7, 5.66,0,0
19,32,5, 9.24,0,0
19,33,2, 1.44,0,0
19,34,12, 6.11,0,0
19,35,2, 9.79,0,0
19,36,2,12.10,0,0
19,37,5, 3.78,0,0
19,38,5, 2.85,0,0
19,39,2, 4.48,0,0
19,40,1,10.86,0,0
19,41,24,10.43,0,0
20,1,5,11.81,0,0
20,2,3, 9.83,0,0
20,3,6, 5.89,0,0
20,4,0,00,0
20,5,2, 3.62,0,0
20,6,3, 5.13,0,0
20,7,2, 2.94,0,0
20,8,0,00,0
20,9,14, 4.21,0,0
20,10,1, 4.75,0,0
20,11,18, 7.12,0,0
20,12,0,00,0
20,13,10,10.09,0,0
20,14,12,12.16,0,0
20,15,4,11.76,0,0
20,16,5,10.96,0,0
20,17,5, 9.87,0,0
20,18,4,11.82,0,0
20,19,6, 2.27,0,0
20,20,0,00,0
20,21,11, 3.97,0,0
20,22,5, 4.24,0,0
20,23,3, 5.21,0,0
20,24,14, 7.93,0,0
20,25,1, 4.40,0,0
20,26,2, 6.24,0,0
20,27,3, 4.97,0,0
20,28,5, 4.85,0,0
20,29,0,00,0
20,30,1, 5.91,0,0
20,31,6, 8.32,0,0
20,32,4,10.97,0,0
20,33,1, 4.70,0,0
20,34,10, 7.33,0,0
20,35,1,10.69,0,0
20,36,2,10.84,0,0
20,37,5, 4.27,0,0
20,38,4, 4.01,0,0
20,39,2, 3.60,0,0
20,40,1,11.69,0,0
20,41,18,12.17,0,0
21,1,5,13.87,0,0
21,2,3,11.96,0,0
21,3,7, 8.02,0,0
21,4,0,00,0
21,5,3, 4.62,0,0
21,6,3, 5.10,0,0
21,7,2, 3.70,0,0
21,8,1, 2.07,0,0
21,9,14, 2.65,0,0
21,10,1, 3.56,0,0
21,11,18, 6.46,0,0
21,12,1, 7.66,0,0
21,13,9, 9.74,0,0
21,14,12,11.46,0,0
21,15,4,11.62,0,0
21,16,6,13.21,0,0
21,17,4,12.06,0,0
21,18,4,14.27,0,0
21,19,5, 4.85,0,0
21,20,4, 2.77,0,0
21,21,0,00,0
21,22,5, 3.06,0,0
21,23,2, 4.58,0,0
21,24,13, 7.06,0,0
21,25,1, 5.00,0,0
21,26,2, 6.48,0,0
21,27,3, 7.57,0,0
21,28,4, 4.33,0,0
21,29,0,00,0
21,30,2, 4.21,0,0
21,31,6,10.24,0,0
21,32,4,12.31,0,0
21,33,2, 5.41,0,0
21,34,10, 8.79,0,0
21,35,2,12.71,0,0
21,36,3,10.33,0,0
21,37,4, 6.28,0,0
21,38,4, 5.25,0,0
21,39,1, 3.84,0,0
21,40,1,11.15,0,0
21,41,18,13.94,0,0
22,1,0,00,0
22,2,0,00,0
22,3,0,00,0
22,4,0,00,0
22,5,0,00,0
22,6,0,00,0
22,7,0,00,0
22,8,0,00,0
22,9,0,00,0
22,10,0,00,0
22,11,0,00,0
22,12,0,00,0
22,13,0,00,0
22,14,0,00,0
22,15,0,00,0
22,16,0,00,0
22,17,0,00,0
22,18,0,00,0
22,19,0,00,0
22,20,0,00,0
22,21,0,00,0
22,22,0,00,0
22,23,0,00,0
22,24,0,00,0
22,25,0,00,0
22,26,0,00,0
22,27,0,00,0
22,28,0,00,0
22,29,0,00,0
22,30,0,00,0
22,31,0,00,0
22,32,0,00,0
22,33,0,00,0
22,34,0,00,0
22,35,0,00,0
22,36,0,00,0
22,37,0,00,0
22,38,0,00,0
22,39,0,00,0
22,40,0,00,0
22,41,0,00,0
23,1,0,00,0
23,2,0,00,0
23,3,0,00,0
23,4,0,00,0
23,5,0,00,0
23,6,0,00,0
23,7,0,00,0
23,8,0,00,0
23,9,0,00,0
23,10,0,00,0
23,11,0,00,0
23,12,0,00,0
23,13,0,00,0
23,14,0,00,0
23,15,0,00,0
23,16,0,00,0
23,17,0,00,0
23,18,0,00,0
23,19,0,00,0
23,20,0,00,0
23,21,0,00,0
23,22,0,00,0
23,23,0,00,0
23,24,0,00,0
23,25,0,00,0
23,26,0,00,0
23,27,0,00,0
23,28,0,00,0
23,29,0,00,0
23,30,0,00,0
23,31,0,00,0
23,32,0,00,0
23,33,0,00,0
23,34,0,00,0
23,35,0,00,0
23,36,0,00,0
23,37,0,00,0
23,38,0,00,0
23,39,0,00,0
23,40,0,00,0
23,41,0,00,0
24,1,2, 9.44,0,0
24,2,2, 8.18,0,0
24,3,4, 5.37,0,0
24,4,1, 7.37,0,0
24,5,1, 8.62,0,0
24,6,2, 9.83,0,0
24,7,1, 9.32,0,0
24,8,0,00,0
24,9,7, 5.72,0,0
24,10,0,00,0
24,11,9, 2.47,0,0
24,12,1, 3.54,0,0
24,13,5, 5.11,0,0
24,14,6, 7.06,0,0
24,15,2, 6.77,0,0
24,16,3, 8.61,0,0
24,17,2, 9.14,0,0
24,18,2, 9.95,0,0
24,19,3, 7.83,0,0
24,20,2, 7.23,0,0
24,21,5, 7.63,0,0
24,22,3, 4.32,0,0
24,23,1, 5.27,0,0
24,24,0,00,0
24,25,0,00,0
24,26,1, 3.69,0,0
24,27,1, 6.38,0,0
24,28,2, 3.70,0,0
24,29,0,00,0
24,30,1, 2.42,0,0
24,31,3, 6.99,0,0
24,32,2,10.16,0,0
24,33,0,00,0
24,34,5, 6.58,0,0
24,35,1, 8.85,0,0
24,36,1, 5.38,0,0
24,37,2, 5.65,0,0
24,38,2,10.88,0,0
24,39,0,00,0
24,40,0,00,0
24,41,10, 9.88,0,0
25,1,5, 9.78,0,0
25,2,4, 7.35,0,0
25,3,8, 3.27,0,0
25,4,1, 4.93,0,0
25,5,3, 4.83,0,0
25,6,3, 6.02,0,0
25,7,3, 4.90,0,0
25,8,0,00,0
25,9,18, 5.83,0,0
25,10,1, 4.74,0,0
