  Iteration,0,direction,link name,link_type,Link from node,->,to node,time start time in min->end time in min,,observed link count,simulated link count, Error:, Simulated flow count -  Obs flow count,Abosolute Percentage Error ,,Lane Flow Error /h=,Capacity ,obs voc,simu VOC,observed lane density,simulated lane density,Error:,Abosolute Percentage Error 
Iteration,0,,,Minor arterial,Link 4804,->,5109,time 16:30->17:30,Observed and simulated link count,214,140, Error:, -74,34.579 %,Lane Flow Error /h=, -74.000,666.400,0.321,0.210
Iteration,0,,,Minor arterial,Link 4899,->,5030,time 16:30->17:30,Observed and simulated link count,471,53, Error:, -418,88.747 %,Lane Flow Error /h=, -209.000,633.000,0.744,0.084
Iteration,0,,,Minor arterial,Link 4952,->,5022,time 16:30->17:30,Observed and simulated link count,443,144, Error:, -299,67.494 %,Lane Flow Error /h=, -299.000,666.400,0.665,0.216
Iteration,0,,,Major arterial,Link 4958,->,5010,time 16:30->17:30,Observed and simulated link count,149,164, Error:, 15,10.067 %,Lane Flow Error /h=, 7.500,814.400,0.183,0.201
Iteration,0,,,Major arterial,Link 5009,->,5027,time 16:30->17:30,Observed and simulated link count,683,191, Error:, -492,72.035 %,Lane Flow Error /h=, -246.000,814.400,0.839,0.235
Iteration,0,,,Major arterial,Link 5010,->,4958,time 16:30->17:30,Observed and simulated link count,99,330, Error:, 231,233.333 %,Lane Flow Error /h=, 115.500,814.400,0.122,0.405
Iteration,0,,,Major arterial,Link 5017,->,11123,time 16:30->17:30,Observed and simulated link count,1471,56, Error:, -1415,96.193 %,Lane Flow Error /h=, -707.500,814.400,1.806,0.069
Iteration,0,,,Principal arterial,Link 5018,->,5436,time 16:30->17:30,Observed and simulated link count,1268,500, Error:, -768,60.568 %,Lane Flow Error /h=, -256.000,854.400,1.484,0.585
Iteration,0,,,Minor arterial,Link 5022,->,4952,time 16:30->17:30,Observed and simulated link count,295,85, Error:, -210,71.186 %,Lane Flow Error /h=, -210.000,666.400,0.443,0.128
Iteration,0,,,Major arterial,Link 5022,->,11124,time 16:30->17:30,Observed and simulated link count,1227,125, Error:, -1102,89.813 %,Lane Flow Error /h=, -551.000,814.400,1.507,0.153
Iteration,0,,,Major arterial,Link 5027,->,5009,time 16:30->17:30,Observed and simulated link count,1024,75, Error:, -949,92.676 %,Lane Flow Error /h=, -474.500,814.400,1.257,0.092
Iteration,0,,,Minor arterial,Link 5030,->,4899,time 16:30->17:30,Observed and simulated link count,314,98, Error:, -216,68.790 %,Lane Flow Error /h=, -108.000,633.000,0.496,0.155
Iteration,0,,,Major arterial,Link 5030,->,11128,time 16:30->17:30,Observed and simulated link count,691,261, Error:, -430,62.229 %,Lane Flow Error /h=, -215.000,814.400,0.848,0.320
Iteration,0,,,Minor arterial,Link 5103,->,5820,time 16:30->17:30,Observed and simulated link count,262,137, Error:, -125,47.710 %,Lane Flow Error /h=, -125.000,666.400,0.393,0.206
Iteration,0,,,Minor arterial,Link 5109,->,4804,time 16:30->17:30,Observed and simulated link count,321,293, Error:, -28,8.723 %,Lane Flow Error /h=, -28.000,666.400,0.482,0.440
Iteration,0,,,Principal arterial,Link 5112,->,11159,time 16:30->17:30,Observed and simulated link count,1894,91, Error:, -1803,95.195 %,Lane Flow Error /h=, -901.500,892.000,2.123,0.102
Iteration,0,,,Principal arterial,Link 5113,->,11148,time 16:30->17:30,Observed and simulated link count,1228,865, Error:, -363,29.560 %,Lane Flow Error /h=, -121.000,854.400,1.437,1.012
Iteration,0,,,Principal arterial,Link 5114,->,5589,time 16:30->17:30,Observed and simulated link count,2046,342, Error:, -1704,83.284 %,Lane Flow Error /h=, -852.000,892.000,2.294,0.383
Iteration,0,,,Principal arterial,Link 5118,->,11255,time 16:30->17:30,Observed and simulated link count,1851,200, Error:, -1651,89.195 %,Lane Flow Error /h=, -825.500,847.400,2.184,0.236
Iteration,0,,,Minor arterial,Link 5175,->,5729,time 16:30->17:30,Observed and simulated link count,100,39, Error:, -61,61.000 %,Lane Flow Error /h=, -61.000,633.100,0.158,0.062
Iteration,0,,,Principal arterial,Link 5208,->,5238,time 16:30->17:30,Observed and simulated link count,947,43, Error:, -904,95.459 %,Lane Flow Error /h=, -904.000,929.500,1.019,0.046
Iteration,0,,,Major arterial,Link 5208,->,11282,time 16:30->17:30,Observed and simulated link count,710,36, Error:, -674,94.930 %,Lane Flow Error /h=, -674.000,857.300,0.828,0.042
Iteration,0,,,Principal arterial,Link 5209,->,5211,time 16:30->17:30,Observed and simulated link count,869,126, Error:, -743,85.501 %,Lane Flow Error /h=, -371.500,892.000,0.974,0.141
Iteration,0,,,Principal arterial,Link 5210,->,11172,time 16:30->17:30,Observed and simulated link count,911,341, Error:, -570,62.569 %,Lane Flow Error /h=, -285.000,892.000,1.021,0.382
Iteration,0,,,Principal arterial,Link 5211,->,5209,time 16:30->17:30,Observed and simulated link count,1304,220, Error:, -1084,83.129 %,Lane Flow Error /h=, -542.000,892.000,1.462,0.247
Iteration,0,,,Minor arterial,Link 5211,->,11180,time 16:30->17:30,Observed and simulated link count,100,1, Error:, -99,99.000 %,Lane Flow Error /h=, -99.000,666.400,0.150,0.002
Iteration,0,,,Major arterial,Link 5214,->,11261,time 16:30->17:30,Observed and simulated link count,1676,152, Error:, -1524,90.931 %,Lane Flow Error /h=, -762.000,814.400,2.058,0.187
Iteration,0,,,Minor arterial,Link 5214,->,11281,time 16:30->17:30,Observed and simulated link count,665,34, Error:, -631,94.887 %,Lane Flow Error /h=, -631.000,666.400,0.998,0.051
