Vehicle Selection Mode,--,Network-wide,--
,,16:45_17:00, 2.98
,,17:00_17:15, 2.98
,,17:15_17:30, 2.98
Category,15-min Departure Time Interval,Avg Speed (mile/hour),
,,15:30_15:45,22.22
,,15:45_16:00,11.64
,,16:00_16:15, 6.32
,,16:15_16:30, 4.52
,,16:30_16:45, 3.81
,,16:45_17:00, 3.66
,,17:00_17:15, 3.84
,,17:15_17:30, 4.43
Category,15-min Departure Time Interval,Avg Travel Time Per Mile (min/mile),
,,15:30_15:45, 2.60
,,15:45_16:00, 4.67
,,16:00_16:15, 8.25
,,16:15_16:30,12.00
,,16:30_16:45,15.79
,,16:45_17:00,18.40
,,17:00_17:15,17.94
,,17:15_17:30,15.45
Category,15-min Departure Time Interval,Travel Time Index: mean/FFTT,
,,15:30_15:45, 1.63
,,15:45_16:00, 3.11
,,16:00_16:15, 5.71
,,16:15_16:30, 8.02
,,16:30_16:45, 9.49
,,16:45_17:00, 9.89
,,17:00_17:15, 9.45
,,17:15_17:30, 8.18
Category,15-min Departure Time Interval,Avg Travel Time STD (min),
,,15:30_15:45, 5.64
,,15:45_16:00,15.03
,,16:00_16:15,33.05
,,16:15_16:30,43.31
,,16:30_16:45,44.23
,,16:45_17:00,38.68
,,17:00_17:15,34.23
,,17:15_17:30,29.96
Category,15-min Departure Time Interval,95th Percentile Travel Time (min),
,,15:30_15:45,18.84
,,15:45_16:00,46.31
,,16:00_16:15,109.02
,,16:15_16:30,132.50
,,16:30_16:45,125.23
,,16:45_17:00,112.04
,,17:00_17:15,100.09
,,17:15_17:30,88.90
Category,15-min Departure Time Interval,90th Percentile Travel Time (min),
,,15:30_15:45,15.08
,,15:45_16:00,36.25
,,16:00_16:15,91.19
,,16:15_16:30,121.62
,,16:30_16:45,117.49
,,16:45_17:00,106.20
,,17:00_17:15,93.85
,,17:15_17:30,82.11
Category,15-min Departure Time Interval,80th Percentile Travel Time (min),
,,15:30_15:45,11.47
,,15:45_16:00,23.20
,,16:00_16:15,46.00
,,16:15_16:30,79.75
,,16:30_16:45,96.25
,,16:45_17:00,89.60
,,17:00_17:15,83.46
,,17:15_17:30,73.00
Category,15-min Departure Time Interval,Planning Time Index: 95th percentile/FFTT,
,,15:30_15:45, 3.85
,,15:45_16:00, 9.32
,,16:00_16:15,21.90
,,16:15_16:30,26.77
,,16:30_16:45,25.52
,,16:45_17:00,22.66
,,17:00_17:15,20.31
,,17:15_17:30,18.02
Category,15-min Departure Time Interval,Buffer Index: (95th percentile - mean)/mean,
,,15:30_15:45, 1.35
,,15:45_16:00, 1.99
,,16:00_16:15, 2.83
,,16:15_16:30, 2.34
,,16:30_16:45, 1.69
,,16:45_17:00, 1.29
,,17:00_17:15, 1.15
,,17:15_17:30, 1.20
Category,15-min Departure Time Interval,Skew Index: (90th %ile-median)/(median-10th %ile),
,,15:30_15:45, 2.28
,,15:45_16:00, 3.04
,,16:00_16:15, 6.30
,,16:15_16:30, 6.82
,,16:30_16:45, 3.76
,,16:45_17:00, 1.44
,,17:00_17:15, 1.20
,,17:15_17:30, 1.22
Category,15-min Departure Time Interval,Travel Time Per Mile STD (min/mile),
,,15:30_15:45, 1.00
,,15:45_16:00, 3.30
,,16:00_16:15, 7.84
,,16:15_16:30,12.42
,,16:30_16:45,16.52
,,16:45_17:00,19.35
,,17:00_17:15,18.66
,,17:15_17:30,16.37
Category,15-min Departure Time Interval,95th Percentile Travel Time Per Mile (min/mile),
,,15:30_15:45, 4.84
,,15:45_16:00,11.35
,,16:00_16:15,25.14
,,16:15_16:30,31.84
,,16:30_16:45,42.86
,,16:45_17:00,49.05
,,17:00_17:15,47.70
,,17:15_17:30,42.42
Category,15-min Departure Time Interval,90th Percentile Travel Time Per Mile (min/mile),
,,15:30_15:45, 3.98
,,15:45_16:00, 9.48
,,16:00_16:15,20.50
,,16:15_16:30,27.74
,,16:30_16:45,32.36
,,16:45_17:00,37.78
,,17:00_17:15,36.68
,,17:15_17:30,30.63
Category,15-min Departure Time Interval,80th Percentile Travel Time Per Mile (min/mile),
,,15:30_15:45, 3.11
,,15:45_16:00, 7.18
,,16:00_16:15,14.16
,,16:15_16:30,22.62
,,16:30_16:45,26.41
,,16:45_17:00,26.71
,,17:00_17:15,25.04
,,17:15_17:30,21.45
Category,15-min Departure Time Interval,Total Generalized Time:TT+Toll/VOT (min),
,,15:30_15:45,10930.23
,,15:45_16:00,24695.47
,,16:00_16:15,47626.13
,,16:15_16:30,61644.10
,,16:30_16:45,78767.42
,,16:45_17:00,81370.52
,,17:00_17:15,77519.02
,,17:15_17:30,57563.19
Category,15-min Departure Time Interval,Avg Generalized Travel Time:TT+Toll/VOT (min),
,,15:30_15:45, 8.00
,,15:45_16:00,15.46
,,16:00_16:15,28.45
,,16:15_16:30,39.67
,,16:30_16:45,46.58
,,16:45_17:00,48.90
,,17:00_17:15,46.56
,,17:15_17:30,40.34
Category,15-min Departure Time Interval,Total Energy (KJ),
,,15:30_15:45,24280098.00
,,15:45_16:00,41573768.00
,,16:00_16:15,64864152.00
,,16:15_16:30,75373712.00
,,16:30_16:45,89239168.00
,,16:45_17:00,90265800.00
,,17:00_17:15,86091936.00
,,17:15_17:30,66409800.00
Category,15-min Departure Time Interval,Total CO2 (g),
,,15:30_15:45,1744930.88
,,15:45_16:00,2987763.75
,,16:00_16:15,4661571.50
,,16:15_16:30,5416857.00
,,16:30_16:45,6413325.50
,,16:45_17:00,6487095.00
,,17:00_17:15,6187144.50
,,17:15_17:30,4772654.50
Category,15-min Departure Time Interval,Total NOx (g),
,,15:30_15:45,1664.40
,,15:45_16:00,2434.64
,,16:00_16:15,3561.41
,,16:15_16:30,3732.59
,,16:30_16:45,4003.42
,,16:45_17:00,3716.90
,,17:00_17:15,3765.61
,,17:15_17:30,3012.09
Category,15-min Departure Time Interval,Total CO (g),
,,15:30_15:45,31415.51
,,15:45_16:00,46105.77
,,16:00_16:15,64044.74
,,16:15_16:30,66958.00
,,16:30_16:45,72321.34
,,16:45_17:00,67491.71
,,17:00_17:15,65959.85
,,17:15_17:30,52666.44
Category,15-min Departure Time Interval,Total HC (g),
,,15:30_15:45,541.99
,,15:45_16:00,824.58
,,16:00_16:15,1446.56
,,16:15_16:30,1636.91
,,16:30_16:45,1971.24
,,16:45_17:00,1788.79
,,17:00_17:15,1880.80
,,17:15_17:30,1376.44
Category,15-min Departure Time Interval,Total Gallon,
,,15:30_15:45,199.51
,,15:45_16:00,341.61
,,16:00_16:15,532.98
,,16:15_16:30,619.34
,,16:30_16:45,733.27
,,16:45_17:00,741.71
,,17:00_17:15,707.41
,,17:15_17:30,545.68
Category,15-min Departure Time Interval,Avg Energy (KJ/vehicle/mile),
,,15:30_15:45,5996.99
,,15:45_16:00,8676.19
,,16:00_16:15,12930.16
,,16:15_16:30,16248.67
,,16:30_16:45,17833.41
,,16:45_17:00,18205.72
,,17:00_17:15,17349.16
,,17:15_17:30,15613.77
Category,15-min Departure Time Interval,Avg CO2 (g/vehicle/mile),
,,15:30_15:45,430.98
,,15:45_16:00,623.53
,,16:00_16:15,929.25
,,16:15_16:30,1167.74
,,16:30_16:45,1281.63
,,16:45_17:00,1308.38
,,17:00_17:15,1246.83
,,17:15_17:30,1122.11
Category,15-min Departure Time Interval,Avg NOx (g/vehicle/mile),
,,15:30_15:45, 0.41
,,15:45_16:00, 0.51
,,16:00_16:15, 0.71
,,16:15_16:30, 0.80
,,16:30_16:45, 0.80
,,16:45_17:00, 0.75
,,17:00_17:15, 0.76
,,17:15_17:30, 0.71
Category,15-min Departure Time Interval,Avg CO (g/vehicle/mile),
,,15:30_15:45, 7.76
,,15:45_16:00, 9.62
,,16:00_16:15,12.77
,,16:15_16:30,14.43
,,16:30_16:45,14.45
,,16:45_17:00,13.61
,,17:00_17:15,13.29
,,17:15_17:30,12.38
Category,15-min Departure Time Interval,Avg HC (g/vehicle/mile),
,,15:30_15:45, 0.13
,,15:45_16:00, 0.17
,,16:00_16:15, 0.29
,,16:15_16:30, 0.35
,,16:30_16:45, 0.39
,,16:45_17:00, 0.36
,,17:00_17:15, 0.38
,,17:15_17:30, 0.32
Category,15-min Departure Time Interval,Avg Miles per Gallon,
,,15:30_15:45,20.29
,,15:45_16:00,14.03
,,16:00_16:15, 9.41
,,16:15_16:30, 7.49
,,16:30_16:45, 6.82
,,16:45_17:00, 6.68
,,17:00_17:15, 7.01
,,17:15_17:30, 7.79
Category,30-min Departure Time Interval,Number of Vehicles,
,,15:30_16:00,2963.00
,,16:00_16:30,3228.00
,,16:30_17:00,3355.00
,,17:00_17:30,3092.00
Category,30-min Departure Time Interval,Cumulative Number of Vehicles,
,,15:30_16:00,2963.00
,,16:00_16:30,6191.00
,,16:30_17:00,9546.00
,,17:00_17:30,12638.00
Category,30-min Departure Time Interval,Total Travel Time (min),
,,15:30_16:00,35625.71
,,16:00_16:30,109270.20
,,16:30_17:00,160137.78
,,17:00_17:30,135082.30
Category,30-min Departure Time Interval,Total Travel Distance (mile),
,,15:30_16:00,8840.42
,,16:00_16:30,9655.26
,,16:30_17:00,9962.14
,,17:00_17:30,9215.59
Category,30-min Departure Time Interval,Avg Travel Time (min),
,,15:30_16:00,12.02
,,16:00_16:30,33.85
,,16:30_17:00,47.73
,,17:00_17:30,43.69
Category,30-min Departure Time Interval,Avg Travel Distance (mile),
,,15:30_16:00, 2.98
,,16:00_16:30, 2.99
,,16:30_17:00, 2.97
,,17:00_17:30, 2.98
Category,30-min Departure Time Interval,Avg Speed (mile/hour),
,,15:30_16:00,14.89
,,16:00_16:30, 5.30
,,16:30_17:00, 3.73
,,17:00_17:30, 4.09
Category,30-min Departure Time Interval,Avg Travel Time Per Mile (min/mile),
,,15:30_16:00, 3.72
,,16:00_16:30,10.05
,,16:30_17:00,17.09
,,17:00_17:30,16.79
Category,30-min Departure Time Interval,Travel Time Index: mean/FFTT,
,,15:30_16:00, 2.44
,,16:00_16:30, 6.82
,,16:30_17:00, 9.69
