Vehicle Selection Mode,--,Network-wide,--
Category,2-hour Departure Time Interval,Buffer Index: (95th percentile - mean)/mean,
,,14:00_16:00, 2.10
,,16:00_18:00, 1.74
Category,2-hour Departure Time Interval,Skew Index: (90th %ile-median)/(median-10th %ile),
,,14:00_16:00, 3.59
,,16:00_18:00, 2.44
Category,2-hour Departure Time Interval,Travel Time Per Mile STD (min/mile),
,,14:00_16:00, 2.72
,,16:00_18:00,16.12
Category,2-hour Departure Time Interval,95th Percentile Travel Time Per Mile (min/mile),
,,14:00_16:00, 9.73
,,16:00_18:00,41.16
Category,2-hour Departure Time Interval,90th Percentile Travel Time Per Mile (min/mile),
,,14:00_16:00, 7.36
,,16:00_18:00,29.66
Category,2-hour Departure Time Interval,80th Percentile Travel Time Per Mile (min/mile),
,,14:00_16:00, 5.11
,,16:00_18:00,23.79
Category,2-hour Departure Time Interval,Total Generalized Time:TT+Toll/VOT (min),
,,14:00_16:00,35625.71
,,16:00_18:00,404490.59
Category,2-hour Departure Time Interval,Avg Generalized Travel Time:TT+Toll/VOT (min),
,,14:00_16:00,12.02
,,16:00_18:00,41.81
Category,2-hour Departure Time Interval,Total Energy (KJ),
,,14:00_16:00,65853892.00
,,16:00_18:00,472244768.00
Category,2-hour Departure Time Interval,Total CO2 (g),
,,14:00_16:00,4732693.00
,,16:00_18:00,33938616.00
Category,2-hour Departure Time Interval,Total NOx (g),
,,14:00_16:00,4099.03
,,16:00_18:00,21792.06
Category,2-hour Departure Time Interval,Total CO (g),
,,14:00_16:00,77521.34
,,16:00_18:00,389442.97
Category,2-hour Departure Time Interval,Total HC (g),
,,14:00_16:00,1366.57
,,16:00_18:00,10100.74
Category,2-hour Departure Time Interval,Total Gallon,
,,14:00_16:00,541.12
,,16:00_18:00,3880.40
Category,2-hour Departure Time Interval,Avg Energy (KJ/vehicle/mile),
,,14:00_16:00,7449.18
,,16:00_18:00,16378.63
Category,2-hour Departure Time Interval,Avg CO2 (g/vehicle/mile),
,,14:00_16:00,535.35
,,16:00_18:00,1177.08
Category,2-hour Departure Time Interval,Avg NOx (g/vehicle/mile),
,,14:00_16:00, 0.46
,,16:00_18:00, 0.76
Category,2-hour Departure Time Interval,Avg CO (g/vehicle/mile),
,,14:00_16:00, 8.77
,,16:00_18:00,13.51
Category,2-hour Departure Time Interval,Avg HC (g/vehicle/mile),
,,14:00_16:00, 0.15
,,16:00_18:00, 0.35
Category,2-hour Departure Time Interval,Avg Miles per Gallon,
,,14:00_16:00,16.34
,,16:00_18:00, 7.43
Category,4-hour Departure Time Interval,Number of Vehicles,
,,12:00_16:00,2963.00
,,16:00_20:00,9675.00
Category,4-hour Departure Time Interval,Cumulative Number of Vehicles,
,,12:00_16:00,2963.00
,,16:00_20:00,12638.00
Category,4-hour Departure Time Interval,Total Travel Time (min),
,,12:00_16:00,35625.71
,,16:00_20:00,404490.59
Category,4-hour Departure Time Interval,Total Travel Distance (mile),
,,12:00_16:00,8840.42
,,16:00_20:00,28832.98
Category,4-hour Departure Time Interval,Avg Travel Time (min),
,,12:00_16:00,12.02
,,16:00_20:00,41.81
Category,4-hour Departure Time Interval,Avg Travel Distance (mile),
,,12:00_16:00, 2.98
,,16:00_20:00, 2.98
Category,4-hour Departure Time Interval,Avg Speed (mile/hour),
,,12:00_16:00,14.89
,,16:00_20:00, 4.28
Category,4-hour Departure Time Interval,Avg Travel Time Per Mile (min/mile),
,,12:00_16:00, 3.72
,,16:00_20:00,14.65
Category,4-hour Departure Time Interval,Travel Time Index: mean/FFTT,
,,12:00_16:00, 2.44
,,16:00_20:00, 8.46
Category,4-hour Departure Time Interval,Avg Travel Time STD (min),
,,12:00_16:00,12.26
,,16:00_20:00,38.37
Category,4-hour Departure Time Interval,95th Percentile Travel Time (min),
,,12:00_16:00,37.25
,,16:00_20:00,114.60
Category,4-hour Departure Time Interval,90th Percentile Travel Time (min),
,,12:00_16:00,26.03
,,16:00_20:00,99.92
Category,4-hour Departure Time Interval,80th Percentile Travel Time (min),
,,12:00_16:00,17.41
,,16:00_20:00,81.95
Category,4-hour Departure Time Interval,Planning Time Index: 95th percentile/FFTT,
,,12:00_16:00, 7.55
,,16:00_20:00,23.20
Category,4-hour Departure Time Interval,Buffer Index: (95th percentile - mean)/mean,
,,12:00_16:00, 2.10
,,16:00_20:00, 1.74
Category,4-hour Departure Time Interval,Skew Index: (90th %ile-median)/(median-10th %ile),
,,12:00_16:00, 3.59
,,16:00_20:00, 2.44
Category,4-hour Departure Time Interval,Travel Time Per Mile STD (min/mile),
,,12:00_16:00, 2.72
,,16:00_20:00,16.12
Category,4-hour Departure Time Interval,95th Percentile Travel Time Per Mile (min/mile),
,,12:00_16:00, 9.73
,,16:00_20:00,41.16
Category,4-hour Departure Time Interval,90th Percentile Travel Time Per Mile (min/mile),
,,12:00_16:00, 7.36
,,16:00_20:00,29.66
Category,4-hour Departure Time Interval,80th Percentile Travel Time Per Mile (min/mile),
,,12:00_16:00, 5.11
,,16:00_20:00,23.79
Category,4-hour Departure Time Interval,Total Generalized Time:TT+Toll/VOT (min),
,,12:00_16:00,35625.71
,,16:00_20:00,404490.59
Category,4-hour Departure Time Interval,Avg Generalized Travel Time:TT+Toll/VOT (min),
,,12:00_16:00,12.02
,,16:00_20:00,41.81
Category,4-hour Departure Time Interval,Total Energy (KJ),
,,12:00_16:00,65853892.00
,,16:00_20:00,472244768.00
Category,4-hour Departure Time Interval,Total CO2 (g),
,,12:00_16:00,4732693.00
,,16:00_20:00,33938616.00
Category,4-hour Departure Time Interval,Total NOx (g),
,,12:00_16:00,4099.03
,,16:00_20:00,21792.06
Category,4-hour Departure Time Interval,Total CO (g),
,,12:00_16:00,77521.34
,,16:00_20:00,389442.97
Category,4-hour Departure Time Interval,Total HC (g),
,,12:00_16:00,1366.57
,,16:00_20:00,10100.74
Category,4-hour Departure Time Interval,Total Gallon,
,,12:00_16:00,541.12
,,16:00_20:00,3880.40
Category,4-hour Departure Time Interval,Avg Energy (KJ/vehicle/mile),
,,12:00_16:00,7449.18
,,16:00_20:00,16378.63
Category,4-hour Departure Time Interval,Avg CO2 (g/vehicle/mile),
,,12:00_16:00,535.35
,,16:00_20:00,1177.08
Category,4-hour Departure Time Interval,Avg NOx (g/vehicle/mile),
,,12:00_16:00, 0.46
,,16:00_20:00, 0.76
Category,4-hour Departure Time Interval,Avg CO (g/vehicle/mile),
,,12:00_16:00, 8.77
,,16:00_20:00,13.51
Category,4-hour Departure Time Interval,Avg HC (g/vehicle/mile),
,,12:00_16:00, 0.15
,,16:00_20:00, 0.35
Category,4-hour Departure Time Interval,Avg Miles per Gallon,
,,12:00_16:00,16.34
,,16:00_20:00, 7.43
Category,Distance Bin (0.2 ml Interval),Number of Vehicles,
,,0.2_0.4,23.00
,,0.4_0.6,132.00
,,0.6_0.8,298.00
,,0.8_1.0,419.00
,,1.0_1.2,361.00
,,1.2_1.4,398.00
,,1.4_1.6,464.00
,,1.6_1.8,532.00
,,1.8_2.0,544.00
,,2.0_2.2,858.00
,,2.2_2.4,787.00
,,2.4_2.6,751.00
,,2.6_2.8,711.00
,,2.8_3.0,563.00
,,3.0_3.2,634.00
,,3.2_3.4,541.00
,,3.4_3.6,451.00
,,3.6_3.8,586.00
,,3.8_4.0,475.00
,,4.0_4.2,447.00
,,4.2_4.4,478.00
,,4.4_4.6,330.00
,,4.6_4.8,362.00
,,4.8_5.0,350.00
,,5.0_5.2,321.00
,,5.2_5.4,205.00
,,5.4_5.6,253.00
,,5.6_5.8,130.00
,,5.8_6.0,138.00
,,6.0_6.2,26.00
,,6.2_6.4,60.00
,,6.4_6.6,10.00
Category,Distance Bin (0.2 ml Interval),Cumulative Number of Vehicles,
,,0.2_0.4,23.00
,,0.4_0.6,155.00
,,0.6_0.8,453.00
,,0.8_1.0,872.00
,,1.0_1.2,1233.00
,,1.2_1.4,1631.00
,,1.4_1.6,2095.00
,,1.6_1.8,2627.00
,,1.8_2.0,3171.00
,,2.0_2.2,4029.00
,,2.2_2.4,4816.00
,,2.4_2.6,5567.00
,,2.6_2.8,6278.00
,,2.8_3.0,6841.00
,,3.0_3.2,7475.00
,,3.2_3.4,8016.00
,,3.4_3.6,8467.00
,,3.6_3.8,9053.00
,,3.8_4.0,9528.00
,,4.0_4.2,9975.00
,,4.2_4.4,10453.00
,,4.4_4.6,10783.00
,,4.6_4.8,11145.00
,,4.8_5.0,11495.00
,,5.0_5.2,11816.00
,,5.2_5.4,12021.00
,,5.4_5.6,12274.00
,,5.6_5.8,12404.00
,,5.8_6.0,12542.00
,,6.0_6.2,12568.00
,,6.2_6.4,12628.00
,,6.4_6.6,12638.00
Category,Distance Bin (0.2 ml Interval),Total Travel Time (min),
,,0.2_0.4,19.72
,,0.4_0.6,1321.19
,,0.6_0.8,4477.08
,,0.8_1.0,7438.82
,,1.0_1.2,7546.97
,,1.2_1.4,7008.64
,,1.4_1.6,8541.85
,,1.6_1.8,9205.95
,,1.8_2.0,11865.16
,,2.0_2.2,17428.68
,,2.2_2.4,19270.04
,,2.4_2.6,20611.66
,,2.6_2.8,17846.15
,,2.8_3.0,16875.79
,,3.0_3.2,20636.22
,,3.2_3.4,15989.73
,,3.4_3.6,16284.98
,,3.6_3.8,23250.86
,,3.8_4.0,24411.34
,,4.0_4.2,20305.43
,,4.2_4.4,29924.78
,,4.4_4.6,18037.60
,,4.6_4.8,23547.59
,,4.8_5.0,22511.40
,,5.0_5.2,21137.89
,,5.2_5.4,15471.53
,,5.4_5.6,15565.39
,,5.6_5.8,8342.84
,,5.8_6.0,8868.10
,,6.0_6.2,2214.29
,,6.2_6.4,3729.53
,,6.4_6.6,428.83
Category,Distance Bin (0.2 ml Interval),Total Travel Distance (mile),
,,0.2_0.4, 7.14
,,0.4_0.6,67.92
,,0.6_0.8,201.49
,,0.8_1.0,391.88
,,1.0_1.2,397.19
,,1.2_1.4,510.24
,,1.4_1.6,700.39
,,1.6_1.8,900.97
,,1.8_2.0,1040.03
,,2.0_2.2,1797.26
,,2.2_2.4,1797.39
,,2.4_2.6,1887.81
,,2.6_2.8,1930.27
,,2.8_3.0,1635.06
,,3.0_3.2,1976.51
,,3.2_3.4,1777.01
,,3.4_3.6,1567.54
,,3.6_3.8,2166.81
,,3.8_4.0,1859.65
,,4.0_4.2,1838.82
,,4.2_4.4,2063.99
,,4.4_4.6,1488.88
,,4.6_4.8,1685.80
,,4.8_5.0,1715.38
,,5.0_5.2,1628.88
,,5.2_5.4,1088.14
,,5.4_5.6,1399.48
,,5.6_5.8,738.60
,,5.8_6.0,812.38
,,6.0_6.2,157.62
,,6.2_6.4,378.03
,,6.4_6.6,64.86
Category,Distance Bin (0.2 ml Interval),Avg Travel Time (min),
,,0.2_0.4, 0.86
,,0.4_0.6,10.01
,,0.6_0.8,15.02
,,0.8_1.0,17.75
,,1.0_1.2,20.91
,,1.2_1.4,17.61
,,1.4_1.6,18.41
,,1.6_1.8,17.30
,,1.8_2.0,21.81
,,2.0_2.2,20.31
,,2.2_2.4,24.49
,,2.4_2.6,27.45
,,2.6_2.8,25.10
,,2.8_3.0,29.97
,,3.0_3.2,32.55
,,3.2_3.4,29.56
,,3.4_3.6,36.11
,,3.6_3.8,39.68
,,3.8_4.0,51.39
,,4.0_4.2,45.43
,,4.2_4.4,62.60
,,4.4_4.6,54.66
,,4.6_4.8,65.05
,,4.8_5.0,64.32
,,5.0_5.2,65.85
,,5.2_5.4,75.47
,,5.4_5.6,61.52
,,5.6_5.8,64.18
,,5.8_6.0,64.26
,,6.0_6.2,85.17
,,6.2_6.4,62.16
,,6.4_6.6,42.88
Category,Distance Bin (0.2 ml Interval),Avg Travel Distance (mile),
,,0.2_0.4, 0.31
,,0.4_0.6, 0.51
,,0.6_0.8, 0.68
,,0.8_1.0, 0.94
,,1.0_1.2, 1.10
,,1.2_1.4, 1.28
,,1.4_1.6, 1.51
,,1.6_1.8, 1.69
,,1.8_2.0, 1.91
,,2.0_2.2, 2.09
,,2.2_2.4, 2.28
,,2.4_2.6, 2.51
,,2.6_2.8, 2.71
,,2.8_3.0, 2.90
,,3.0_3.2, 3.12
,,3.2_3.4, 3.28
,,3.4_3.6, 3.48
,,3.6_3.8, 3.70
,,3.8_4.0, 3.92
,,4.0_4.2, 4.11
,,4.2_4.4, 4.32
,,4.4_4.6, 4.51
,,4.6_4.8, 4.66
,,4.8_5.0, 4.90
,,5.0_5.2, 5.07
,,5.2_5.4, 5.31
,,5.4_5.6, 5.53
,,5.6_5.8, 5.68
,,5.8_6.0, 5.89
,,6.0_6.2, 6.06
,,6.2_6.4, 6.30
,,6.4_6.6, 6.49
Category,Distance Bin (0.2 ml Interval),Avg Speed (mile/hour),
,,0.2_0.4,21.73
,,0.4_0.6, 3.08
,,0.6_0.8, 2.70
,,0.8_1.0, 3.16
,,1.0_1.2, 3.16
,,1.2_1.4, 4.37
,,1.4_1.6, 4.92
,,1.6_1.8, 5.87
,,1.8_2.0, 5.26
,,2.0_2.2, 6.19
,,2.2_2.4, 5.60
,,2.4_2.6, 5.50
,,2.6_2.8, 6.49
,,2.8_3.0, 5.81
,,3.0_3.2, 5.75
,,3.2_3.4, 6.67
,,3.4_3.6, 5.78
,,3.6_3.8, 5.59
,,3.8_4.0, 4.57
,,4.0_4.2, 5.43
,,4.2_4.4, 4.14
,,4.4_4.6, 4.95
,,4.6_4.8, 4.30
,,4.8_5.0, 4.57
,,5.0_5.2, 4.62
,,5.2_5.4, 4.22
,,5.4_5.6, 5.39
,,5.6_5.8, 5.31
,,5.8_6.0, 5.50
,,6.0_6.2, 4.27
,,6.2_6.4, 6.08
,,6.4_6.6, 9.07
Category,Distance Bin (0.2 ml Interval),Avg Travel Time Per Mile (min/mile),
,,0.2_0.4, 2.77
,,0.4_0.6,19.57
,,0.6_0.8,23.06
,,0.8_1.0,19.13
,,1.0_1.2,18.84
,,1.2_1.4,14.04
,,1.4_1.6,12.23
,,1.6_1.8,10.19
,,1.8_2.0,11.36
,,2.0_2.2, 9.77
,,2.2_2.4,10.75
,,2.4_2.6,10.91
,,2.6_2.8, 9.27
,,2.8_3.0,10.28
,,3.0_3.2,10.44
,,3.2_3.4, 8.99
,,3.4_3.6,10.41
,,3.6_3.8,10.71
,,3.8_4.0,13.12
,,4.0_4.2,11.06
,,4.2_4.4,14.51
,,4.4_4.6,12.07
,,4.6_4.8,13.97
,,4.8_5.0,13.13
,,5.0_5.2,13.00
,,5.2_5.4,14.23
,,5.4_5.6,11.13
,,5.6_5.8,11.29
,,5.8_6.0,10.92
,,6.0_6.2,14.03
,,6.2_6.4, 9.87
,,6.4_6.6, 6.61
Category,Distance Bin (0.2 ml Interval),Travel Time Index: mean/FFTT,
,,0.2_0.4, 1.19
,,0.4_0.6, 8.40
,,0.6_0.8,12.21
,,0.8_1.0, 9.19
,,1.0_1.2, 9.90
,,1.2_1.4, 7.62
,,1.4_1.6, 6.72
,,1.6_1.8, 5.93
,,1.8_2.0, 6.66
,,2.0_2.2, 5.37
,,2.2_2.4, 6.05
,,2.4_2.6, 6.35
,,2.6_2.8, 5.40
,,2.8_3.0, 5.97
,,3.0_3.2, 6.39
,,3.2_3.4, 5.17
,,3.4_3.6, 6.39
,,3.6_3.8, 6.61
,,3.8_4.0, 8.16
,,4.0_4.2, 6.98
,,4.2_4.4, 9.30
,,4.4_4.6, 7.60
,,4.6_4.8, 9.12
,,4.8_5.0, 8.27
,,5.0_5.2, 8.54
,,5.2_5.4, 9.32
,,5.4_5.6, 6.91
,,5.6_5.8, 7.31
,,5.8_6.0, 6.81
,,6.0_6.2, 8.77
,,6.2_6.4, 6.27
,,6.4_6.6, 3.89
Category,Distance Bin (0.2 ml Interval),Avg Travel Time STD (min),
,,0.2_0.4, 0.09
,,0.4_0.6,16.07
,,0.6_0.8,25.29
,,0.8_1.0,28.93
,,1.0_1.2,29.90
,,1.2_1.4,21.23
,,1.4_1.6,26.86
,,1.6_1.8,23.27
,,1.8_2.0,21.85
,,2.0_2.2,28.82
,,2.2_2.4,26.07
,,2.4_2.6,28.66
,,2.6_2.8,27.53
,,2.8_3.0,30.05
,,3.0_3.2,30.08
,,3.2_3.4,30.74
,,3.4_3.6,32.43
,,3.6_3.8,35.11
,,3.8_4.0,39.17
,,4.0_4.2,33.89
,,4.2_4.4,42.35
,,4.4_4.6,40.94
,,4.6_4.8,44.25
,,4.8_5.0,41.13
,,5.0_5.2,43.65
,,5.2_5.4,36.92
,,5.4_5.6,42.44
,,5.6_5.8,39.32
,,5.8_6.0,30.63
,,6.0_6.2,43.83
,,6.2_6.4,25.93
,,6.4_6.6,23.72
Category,Distance Bin (0.2 ml Interval),95th Percentile Travel Time (min),
,,0.2_0.4, 0.96
,,0.4_0.6,50.44
,,0.6_0.8,79.87
,,0.8_1.0,83.60
,,1.0_1.2,88.35
,,1.2_1.4,56.03
,,1.4_1.6,80.98
,,1.6_1.8,77.43
,,1.8_2.0,57.80
,,2.0_2.2,84.03
,,2.2_2.4,83.10
,,2.4_2.6,97.80
,,2.6_2.8,81.65
,,2.8_3.0,87.84
,,3.0_3.2,96.20
,,3.2_3.4,89.70
,,3.4_3.6,97.87
,,3.6_3.8,102.30
,,3.8_4.0,117.41
,,4.0_4.2,102.31
,,4.2_4.4,128.53
,,4.4_4.6,121.74
,,4.6_4.8,132.20
,,4.8_5.0,131.22
,,5.0_5.2,131.10
,,5.2_5.4,132.45
,,5.4_5.6,132.70
,,5.6_5.8,130.26
,,5.8_6.0,120.62
,,6.0_6.2,137.27
,,6.2_6.4,93.00
,,6.4_6.6,87.77
Category,Distance Bin (0.2 ml Interval),90th Percentile Travel Time (min),
,,0.2_0.4, 0.94
,,0.4_0.6,38.20
,,0.6_0.8,72.50
,,0.8_1.0,75.20
,,1.0_1.2,77.13
,,1.2_1.4,51.71
,,1.4_1.6,66.20
,,1.6_1.8,49.97
,,1.8_2.0,51.64
,,2.0_2.2,77.10
,,2.2_2.4,61.05
,,2.4_2.6,61.43
,,2.6_2.8,71.50
,,2.8_3.0,79.40
,,3.0_3.2,81.22
,,3.2_3.4,80.30
,,3.4_3.6,88.69
,,3.6_3.8,95.14
,,3.8_4.0,108.46
,,4.0_4.2,96.65
,,4.2_4.4,119.35
,,4.4_4.6,116.62
,,4.6_4.8,126.03
,,4.8_5.0,121.61
,,5.0_5.2,123.30
,,5.2_5.4,127.64
,,5.4_5.6,125.87
,,5.6_5.8,125.15
,,5.8_6.0,93.95
,,6.0_6.2,134.76
,,6.2_6.4,91.50
,,6.4_6.6,87.77
Category,Distance Bin (0.2 ml Interval),80th Percentile Travel Time (min),
,,0.2_0.4, 0.93
,,0.4_0.6,17.09
,,0.6_0.8,22.02
,,0.8_1.0,45.12
,,1.0_1.2,50.18
,,1.2_1.4,34.67
,,1.4_1.6,37.13
,,1.6_1.8,31.04
,,1.8_2.0,44.80
,,2.0_2.2,35.70
,,2.2_2.4,50.67
,,2.4_2.6,51.91
,,2.6_2.8,47.44
,,2.8_3.0,55.37
,,3.0_3.2,54.45
,,3.2_3.4,64.53
,,3.4_3.6,72.76
,,3.6_3.8,80.20
,,3.8_4.0,95.36
,,4.0_4.2,84.23
,,4.2_4.4,106.30
,,4.4_4.6,101.76
,,4.6_4.8,108.77
,,4.8_5.0,108.35
,,5.0_5.2,111.69
,,5.2_5.4,113.19
,,5.4_5.6,104.68
,,5.6_5.8,100.06
,,5.8_6.0,87.50
,,6.0_6.2,125.90
,,6.2_6.4,84.80
,,6.4_6.6,63.50
Category,Distance Bin (0.2 ml Interval),Planning Time Index: 95th percentile/FFTT,
,,0.2_0.4, 1.34
,,0.4_0.6,42.31
,,0.6_0.8,64.91
,,0.8_1.0,43.26
,,1.0_1.2,41.85
,,1.2_1.4,24.26
,,1.4_1.6,29.54
,,1.6_1.8,26.55
,,1.8_2.0,17.65
,,2.0_2.2,22.22
,,2.2_2.4,20.54
,,2.4_2.6,22.62
,,2.6_2.8,17.57
,,2.8_3.0,17.50
,,3.0_3.2,18.90
,,3.2_3.4,15.69
,,3.4_3.6,17.31
,,3.6_3.8,17.03
,,3.8_4.0,18.64
,,4.0_4.2,15.71
,,4.2_4.4,19.10
,,4.4_4.6,16.93
,,4.6_4.8,18.54
,,4.8_5.0,16.88
,,5.0_5.2,17.01
,,5.2_5.4,16.35
,,5.4_5.6,14.91
,,5.6_5.8,14.84
,,5.8_6.0,12.78
,,6.0_6.2,14.14
,,6.2_6.4, 9.37
,,6.4_6.6, 7.97
Category,Distance Bin (0.2 ml Interval),Buffer Index: (95th percentile - mean)/mean,
,,0.2_0.4, 0.12
,,0.4_0.6, 4.04
,,0.6_0.8, 4.32
,,0.8_1.0, 3.71
,,1.0_1.2, 3.23
,,1.2_1.4, 2.18
,,1.4_1.6, 3.40
,,1.6_1.8, 3.47
,,1.8_2.0, 1.65
,,2.0_2.2, 3.14
,,2.2_2.4, 2.39
,,2.4_2.6, 2.56
,,2.6_2.8, 2.25
,,2.8_3.0, 1.93
,,3.0_3.2, 1.96
,,3.2_3.4, 2.03
,,3.4_3.6, 1.71
,,3.6_3.8, 1.58
,,3.8_4.0, 1.28
,,4.0_4.2, 1.25
,,4.2_4.4, 1.05
,,4.4_4.6, 1.23
,,4.6_4.8, 1.03
,,4.8_5.0, 1.04
,,5.0_5.2, 0.99
,,5.2_5.4, 0.75
,,5.4_5.6, 1.16
,,5.6_5.8, 1.03
,,5.8_6.0, 0.88
,,6.0_6.2, 0.61
,,6.2_6.4, 0.50
,,6.4_6.6, 1.05
Category,Distance Bin (0.2 ml Interval),Skew Index: (90th %ile-median)/(median-10th %ile),
,,0.2_0.4, 0.32
,,0.4_0.6,116.76
,,0.6_0.8,94.28
,,0.8_1.0,163.97
,,1.0_1.2,81.56
,,1.2_1.4,15.82
,,1.4_1.6,76.55
,,1.6_1.8,30.11
,,1.8_2.0, 4.78
,,2.0_2.2,112.55
,,2.2_2.4, 7.81
,,2.4_2.6, 5.03
,,2.6_2.8,15.29
,,2.8_3.0, 5.74
,,3.0_3.2, 4.44
,,3.2_3.4,19.98
,,3.4_3.6, 5.53
,,3.6_3.8, 4.27
,,3.8_4.0, 2.22
,,4.0_4.2, 2.13
,,4.2_4.4, 0.92
,,4.4_4.6, 2.38
,,4.6_4.8, 0.86
,,4.8_5.0, 1.00
,,5.0_5.2, 0.97
,,5.2_5.4, 0.81
,,5.4_5.6, 1.38
,,5.6_5.8, 1.23
,,5.8_6.0, 0.41
,,6.0_6.2, 0.41
,,6.2_6.4, 0.36
,,6.4_6.6, 1.08
Category,Distance Bin (0.2 ml Interval),Travel Time Per Mile STD (min/mile),
,,0.2_0.4, 0.34
,,0.4_0.6,31.45
,,0.6_0.8,40.35
,,0.8_1.0,31.27
,,1.0_1.2,26.65
,,1.2_1.4,17.26
,,1.4_1.6,18.01
,,1.6_1.8,13.65
,,1.8_2.0,11.31
,,2.0_2.2,13.92
,,2.2_2.4,11.44
,,2.4_2.6,11.41
,,2.6_2.8,10.17
,,2.8_3.0,10.25
,,3.0_3.2, 9.66
,,3.2_3.4, 9.38
,,3.4_3.6, 9.37
,,3.6_3.8, 9.47
,,3.8_4.0, 9.99
,,4.0_4.2, 8.28
,,4.2_4.4, 9.82
,,4.4_4.6, 9.00
,,4.6_4.8, 9.51
,,4.8_5.0, 8.40
,,5.0_5.2, 8.64
,,5.2_5.4, 6.97
,,5.4_5.6, 7.67
,,5.6_5.8, 6.88
,,5.8_6.0, 5.20
,,6.0_6.2, 7.22
,,6.2_6.4, 4.12
,,6.4_6.6, 3.66
Category,Distance Bin (0.2 ml Interval),95th Percentile Travel Time Per Mile (min/mile),
,,0.2_0.4, 3.13
,,0.4_0.6,100.77
,,0.6_0.8,127.89
,,0.8_1.0,92.25
,,1.0_1.2,78.64
,,1.2_1.4,44.15
,,1.4_1.6,54.63
,,1.6_1.8,44.85
,,1.8_2.0,30.68
,,2.0_2.2,41.21
,,2.2_2.4,36.57
,,2.4_2.6,38.85
,,2.6_2.8,30.32
,,2.8_3.0,30.21
,,3.0_3.2,30.38
,,3.2_3.4,27.53
,,3.4_3.6,28.48
,,3.6_3.8,27.66
,,3.8_4.0,30.01
,,4.0_4.2,25.12
,,4.2_4.4,29.54
,,4.4_4.6,26.74
,,4.6_4.8,28.32
,,4.8_5.0,26.74
,,5.0_5.2,25.91
,,5.2_5.4,24.98
,,5.4_5.6,23.96
,,5.6_5.8,22.77
,,5.8_6.0,20.77
,,6.0_6.2,22.62
,,6.2_6.4,14.77
,,6.4_6.6,13.53
Category,Distance Bin (0.2 ml Interval),90th Percentile Travel Time Per Mile (min/mile),
,,0.2_0.4, 3.07
,,0.4_0.6,69.85
,,0.6_0.8,116.09
,,0.8_1.0,80.81
,,1.0_1.2,70.88
,,1.2_1.4,42.65
,,1.4_1.6,42.80
,,1.6_1.8,29.96
,,1.8_2.0,26.76
,,2.0_2.2,37.74
,,2.2_2.4,26.75
,,2.4_2.6,23.96
,,2.6_2.8,26.71
,,2.8_3.0,27.61
,,3.0_3.2,26.71
,,3.2_3.4,24.55
,,3.4_3.6,25.50
,,3.6_3.8,25.49
,,3.8_4.0,27.85
,,4.0_4.2,23.64
,,4.2_4.4,27.98
,,4.4_4.6,25.65
,,4.6_4.8,27.04
,,4.8_5.0,24.84
,,5.0_5.2,24.32
,,5.2_5.4,23.89
,,5.4_5.6,22.73
,,5.6_5.8,22.13
,,5.8_6.0,15.87
,,6.0_6.2,22.21
,,6.2_6.4,14.52
,,6.4_6.6,13.53
Category,Distance Bin (0.2 ml Interval),80th Percentile Travel Time Per Mile (min/mile),
,,0.2_0.4, 3.03
,,0.4_0.6,33.90
,,0.6_0.8,30.64
,,0.8_1.0,49.73
,,1.0_1.2,45.79
,,1.2_1.4,27.65
,,1.4_1.6,24.21
,,1.6_1.8,18.58
,,1.8_2.0,22.94
,,2.0_2.2,16.93
,,2.2_2.4,22.24
,,2.4_2.6,20.33
,,2.6_2.8,17.70
,,2.8_3.0,19.04
,,3.0_3.2,17.57
,,3.2_3.4,19.42
,,3.4_3.6,20.84
,,3.6_3.8,21.45
,,3.8_4.0,24.46
,,4.0_4.2,20.57
,,4.2_4.4,24.62
,,4.4_4.6,22.27
,,4.6_4.8,23.42
,,4.8_5.0,22.16
,,5.0_5.2,22.04
,,5.2_5.4,21.27
,,5.4_5.6,19.05
,,5.6_5.8,17.28
,,5.8_6.0,14.82
,,6.0_6.2,20.75
,,6.2_6.4,13.46
,,6.4_6.6, 9.79
Category,Distance Bin (0.2 ml Interval),Total Generalized Time:TT+Toll/VOT (min),
,,0.2_0.4,19.72
,,0.4_0.6,1321.19
,,0.6_0.8,4477.08
,,0.8_1.0,7438.82
,,1.0_1.2,7546.97
,,1.2_1.4,7008.64
,,1.4_1.6,8541.85
,,1.6_1.8,9205.95
,,1.8_2.0,11865.16
,,2.0_2.2,17428.68
,,2.2_2.4,19270.04
,,2.4_2.6,20611.66
,,2.6_2.8,17846.15
,,2.8_3.0,16875.79
,,3.0_3.2,20636.22
,,3.2_3.4,15989.73
,,3.4_3.6,16284.98
,,3.6_3.8,23250.86
,,3.8_4.0,24411.34
,,4.0_4.2,20305.43
,,4.2_4.4,29924.78
,,4.4_4.6,18037.60
,,4.6_4.8,23547.59
,,4.8_5.0,22511.40
,,5.0_5.2,21137.89
,,5.2_5.4,15471.53
,,5.4_5.6,15565.39
,,5.6_5.8,8342.84
,,5.8_6.0,8868.10
,,6.0_6.2,2214.29
,,6.2_6.4,3729.53
,,6.4_6.6,428.83
Category,Distance Bin (0.2 ml Interval),Avg Generalized Travel Time:TT+Toll/VOT (min),
,,0.2_0.4, 0.86
,,0.4_0.6,10.01
,,0.6_0.8,15.02
,,0.8_1.0,17.75
,,1.0_1.2,20.91
,,1.2_1.4,17.61
